 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         8870.301     8816.744
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.2290552E+02   22.72            22.86      22.82        1.00         22.80     22.55     720.00
trc_ldf             0.1661137E+02   16.48            16.61      16.58        1.00         16.96     15.29     720.00
tra_adv             0.8869714E+01    8.80             8.86       8.84        1.00          8.87      8.69     720.00
tra_ldf             0.6515460E+01    6.46             6.51       6.50        1.00          6.65      6.04     720.00
trc_nxt             0.6507945E+01    6.46             6.49       6.47        1.00          7.74      5.77     720.00
zdf_phy             0.5241737E+01    5.20             5.24       5.23        1.00          5.55      4.85     720.00
trc_stp             0.4153043E+01    4.12             4.08       4.07        0.98          5.38      3.48     720.00
stp                 0.3980075E+01    3.95             3.81       3.80        0.96          4.08      3.83     720.00
ldf_slp             0.3216157E+01    3.19             3.21       3.20        1.00          3.72      3.02     720.00
trc_zdf             0.2616529E+01    2.60             2.61       2.61        1.00          2.77      2.45     720.00
dyn_spg             0.2186272E+01    2.17             2.17       2.17        0.99          2.43      2.01     720.00
dyn_nxt             0.2138555E+01    2.12             2.13       2.12        0.99          2.54      1.97     720.00
dyn_zdf             0.1903234E+01    1.89             1.91       1.90        1.00          1.92      1.84     720.00
dia_wri             0.1782846E+01    1.77             1.67       1.66        0.94          1.87      1.63     720.00
tra_zdf             0.1095799E+01    1.09             1.10       1.09        1.00          1.17      1.01     720.00
div_hor             0.1064427E+01    1.06             1.06       1.06        1.00          1.11      1.01    1441.00
bn2                 0.9455483E+00    0.94             0.94       0.94        1.00          1.00      0.79    1440.00
trc_trp             0.9358853E+00    0.93             0.91       0.91        0.97          1.05      0.85     720.00
p2z_opt             0.9234857E+00    0.92             0.92       0.92        1.00          1.00      0.86     720.00
tra_nxt             0.8690766E+00    0.86             0.87       0.87        1.00          1.28      0.63     720.00
p2z_bio             0.8517137E+00    0.84             0.85       0.85        1.00          0.94      0.56     720.00
dyn_ldf             0.7528249E+00    0.75             0.74       0.74        0.99          0.81      0.60     720.00
wzv                 0.7348977E+00    0.73             0.73       0.73        1.00          0.77      0.64    1440.00
rab_3d              0.7148139E+00    0.71             0.71       0.71        1.00          0.74      0.67    1440.00
ssh_nxt             0.6454349E+00    0.64             0.64       0.64        1.00          0.69      0.60     720.00
tra_qsr             0.4155231E+00    0.41             0.42       0.42        1.00          0.43      0.39     720.00
eos-insitu          0.3774208E+00    0.37             0.37       0.37        0.98          0.40      0.26     720.00
p2z_sms             0.3771086E+00    0.37             0.37       0.37        0.97          0.43      0.32     720.00
dyn_hpg             0.3516523E+00    0.35             0.36       0.36        1.01          0.45      0.31     720.00
eos-pot             0.2994293E+00    0.30             0.31       0.30        1.02          0.31      0.28     720.00
dyn_zad             0.2947408E+00    0.29             0.29       0.29        0.99          0.31      0.25     720.00
p2z_exp             0.2780691E+00    0.28             0.28       0.28        1.01          0.76      0.13     720.00
dyn_keg             0.2203298E+00    0.22             0.21       0.21        0.97          0.23      0.19     720.00
sbc                 0.2069060E+00    0.21             0.21       0.21        1.00          0.23      0.16     720.00
trc_sbc             0.1844258E+00    0.18             0.19       0.19        1.01          0.39      0.13     720.00
dyn_adv             0.1682683E+00    0.17             0.17       0.17        1.02          0.19      0.13     720.00
p2z_sed             0.1676174E+00    0.17             0.17       0.17        1.01          0.28      0.12     720.00
dyn_vor             0.1559575E+00    0.15             0.16       0.16        1.02          0.17      0.14     720.00
trc_init            0.7940393E-01    0.08             0.02       0.02        0.31          0.08      0.08       1.00
day                 0.6867820E-01    0.07             0.00       0.00        0.07          0.08      0.05     720.00
nemo_init           0.6464937E-01    0.06             0.05       0.05        0.83          0.07      0.06       1.00
tra_sbc             0.3247001E-01    0.03             0.03       0.03        1.05          0.04      0.03     720.00
ssh_swp             0.8273341E-02    0.01             0.01       0.01        1.14          0.01      0.01     720.00
trc_sms             0.5063737E-02    0.01             0.01       0.01        1.29          0.01      0.00     720.00
dom_hgr             0.2400089E-03    0.00             0.00       0.00        0.95          0.00      0.00       1.00
dia_ar5             0.2105372E-03    0.00             0.00       0.00       11.23          0.00     -0.00     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |     100.790      |      99.280  |      0.985
    1         |     100.799      |     100.168  |      0.994
    2         |     100.799      |     100.232  |      0.994
    3         |     100.799      |     100.204  |      0.994
    4         |     100.799      |     100.168  |      0.994
    5         |     100.799      |     100.272  |      0.995
    6         |     100.799      |     100.192  |      0.994
    7         |     100.799      |     100.280  |      0.995
    8         |     100.799      |     100.100  |      0.993
    9         |     100.799      |     100.156  |      0.994
   10         |     100.799      |     100.036  |      0.992
   11         |     100.799      |     100.188  |      0.994
   12         |     100.799      |     100.116  |      0.993
   13         |     100.799      |     100.224  |      0.994
   14         |     100.799      |     100.188  |      0.994
   15         |     100.799      |     100.248  |      0.995
   16         |     100.799      |     100.188  |      0.994
   17         |     100.799      |     100.200  |      0.994
   18         |     100.799      |     100.172  |      0.994
   19         |     100.799      |     100.120  |      0.993
   20         |     100.799      |     100.096  |      0.993
   21         |     100.799      |     100.056  |      0.993
   22         |     100.799      |     100.248  |      0.995
   23         |     100.799      |     100.236  |      0.994
   24         |     100.799      |     100.180  |      0.994
   25         |     100.799      |     100.204  |      0.994
   26         |     100.799      |     100.212  |      0.994
   27         |     100.799      |     100.228  |      0.994
   28         |     100.799      |     100.260  |      0.995
   29         |     100.799      |     100.192  |      0.994
   30         |     100.799      |     100.136  |      0.993
   31         |     100.799      |     100.124  |      0.993
   32         |     100.799      |     100.076  |      0.993
   33         |     100.799      |     100.228  |      0.994
   34         |     100.799      |     100.252  |      0.995
   35         |     100.799      |     100.260  |      0.995
   36         |     100.799      |     100.220  |      0.994
   37         |     100.799      |     100.300  |      0.995
   38         |     100.799      |     100.232  |      0.994
   39         |     100.799      |     100.272  |      0.995
   40         |     100.799      |     100.256  |      0.995
   41         |     100.799      |     100.144  |      0.994
   42         |     100.799      |     100.144  |      0.994
   43         |     100.799      |     100.184  |      0.994
   44         |     100.799      |     100.264  |      0.995
   45         |     100.799      |     100.268  |      0.995
   46         |     100.799      |     100.224  |      0.994
   47         |     100.799      |     100.208  |      0.994
   48         |     100.799      |     100.204  |      0.994
   49         |     100.799      |     100.168  |      0.994
   50         |     100.799      |     100.236  |      0.994
   51         |     100.799      |     100.208  |      0.994
   52         |     100.799      |     100.204  |      0.994
   53         |     100.799      |     100.108  |      0.993
   54         |     100.799      |     100.012  |      0.992
   55         |     100.799      |     100.136  |      0.993
   56         |     100.799      |     100.224  |      0.994
   57         |     100.799      |     100.256  |      0.995
   58         |     100.799      |     100.204  |      0.994
   59         |     100.799      |     100.192  |      0.994
   60         |     100.799      |     100.208  |      0.994
   61         |     100.799      |     100.204  |      0.994
   62         |     100.799      |     100.220  |      0.994
   63         |     100.799      |     100.100  |      0.993
   64         |     100.799      |     100.192  |      0.994
   65         |     100.799      |     100.084  |      0.993
   66         |     100.799      |     100.268  |      0.995
   67         |     100.799      |     100.220  |      0.994
   68         |     100.799      |     100.272  |      0.995
   69         |     100.799      |     100.284  |      0.995
   70         |     100.799      |     100.220  |      0.994
   71         |     100.799      |     100.284  |      0.995
   72         |     100.799      |     100.276  |      0.995
   73         |     100.799      |     100.264  |      0.995
   74         |     100.799      |     100.176  |      0.994
   75         |     100.799      |     100.200  |      0.994
   76         |     100.799      |     100.116  |      0.993
   77         |     100.799      |     100.232  |      0.994
   78         |     100.799      |     100.256  |      0.995
   79         |     100.799      |     100.264  |      0.995
   80         |     100.799      |     100.280  |      0.995
   81         |     100.799      |     100.264  |      0.995
   82         |     100.799      |     100.268  |      0.995
   83         |     100.799      |     100.288  |      0.995
   84         |     100.799      |     100.228  |      0.994
   85         |     100.799      |     100.152  |      0.994
   86         |     100.799      |     100.172  |      0.994
   87         |     100.799      |     100.164  |      0.994
 -------------|------------------|--------------|------------------
 Total        |    8870.301      |    8816.744  |     87.469
 -------------|------------------|--------------|------------------
 Minimum      |     100.790      |      99.280  |      0.985
 -------------|------------------|--------------|------------------
 Maximum      |     100.799      |     100.300  |      0.995
 -------------|------------------|--------------|------------------
 Average      |     100.799      |     100.190  |      0.994
 
 Detailed timing for proc : 0
 --------------------------
 Section             Elapsed Time (s)  Elapsed Time (%)  CPU Time(s)  CPU Time (%)  CPU/Elapsed  Frequency
 trc_adv                       22.972            22.792       22.948        23.114        0.999        720
 trc_ldf                       17.091            16.957       17.096        17.220        1.000        720
 tra_adv                        8.909             8.839        8.904         8.969        0.999        720
 tra_ldf                        6.652             6.600        6.628         6.676        0.996        720
 trc_nxt                        5.887             5.841        5.852         5.894        0.994        720
 zdf_phy                        5.153             5.113        5.148         5.185        0.999        720
