 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        13817.255    12923.108
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.1887305E+01   19.23             1.85      20.14        0.98         21.47     17.45     720.00
stp                 0.1264111E+01   12.88             1.12      12.15        0.88         14.38     11.46     720.00
trc_stp             0.1188680E+01   12.11             1.09      11.83        0.91         17.78      7.00     720.00
dyn_spg             0.8373667E+00    8.53             0.82       8.96        0.98         10.20      7.59     720.00
trc_nxt             0.6756623E+00    6.89             0.67       7.27        0.99          8.20      4.07     720.00
tra_adv             0.6660528E+00    6.79             0.66       7.19        0.99          7.71      6.03     720.00
zdf_phy             0.4450247E+00    4.53             0.44       4.80        0.99          5.24      3.58     720.00
ldf_slp             0.3730741E+00    3.80             0.37       4.01        0.99          5.01      2.78     720.00
trc_ldf             0.3102265E+00    3.16             0.31       3.35        0.99          4.52      2.80     720.00
dia_wri             0.3086784E+00    3.15             0.11       1.19        0.35          4.48      1.55     720.00
tra_nxt             0.2584075E+00    2.63             0.26       2.81        1.00          3.34      1.77     720.00
trc_init            0.1770247E+00    1.80             0.07       0.76        0.40          1.80      1.80       1.00
trc_sbc             0.1389158E+00    1.42             0.14       1.50        0.99          2.66      0.55     720.00
sbc                 0.1326220E+00    1.35             0.13       1.44        1.00          1.95      0.67     720.00
dyn_nxt             0.1321769E+00    1.35             0.13       1.44        1.00          1.93      0.79     720.00
p2z_exp             0.1237859E+00    1.26             0.12       1.34        1.00          3.83      0.30     720.00
tra_ldf             0.1102675E+00    1.12             0.11       1.22        1.01          1.61      0.99     720.00
div_hor             0.1037988E+00    1.06             0.11       1.15        1.02          1.80      0.67    1441.00
p2z_opt             0.1004603E+00    1.02             0.10       1.08        0.99          1.38      0.93     720.00
nemo_init           0.9183838E-01    0.94             0.08       0.88        0.88          1.11      0.87       1.00
day                 0.8358932E-01    0.85             0.00       0.05        0.05          1.16      0.24     720.00
rab_3d              0.7921458E-01    0.81             0.08       0.89        1.03          1.05      0.72    1440.00
ssh_nxt             0.7373975E-01    0.75             0.07       0.81        1.01          1.50      0.36     720.00
trc_zdf             0.5101877E-01    0.52             0.05       0.56        1.02          0.76      0.45     720.00
tra_qsr             0.4368055E-01    0.45             0.05       0.50        1.04          0.58      0.39     720.00
dyn_zdf             0.3887887E-01    0.40             0.04       0.44        1.04          0.63      0.34     720.00
eos-pot             0.3164597E-01    0.32             0.03       0.36        1.04          0.44      0.28     720.00
eos-insitu          0.3072935E-01    0.31             0.03       0.35        1.04          0.43      0.28     720.00
trc_trp             0.2944827E-01    0.30             0.02       0.24        0.73          0.39      0.26     720.00
dyn_ldf             0.2657018E-01    0.27             0.03       0.30        1.04          0.35      0.22     720.00
tra_zdf             0.2603934E-01    0.27             0.03       0.30        1.06          0.39      0.23     720.00
bn2                 0.2446236E-01    0.25             0.03       0.30        1.13          0.34      0.21    1440.00
p2z_bio             0.2209731E-01    0.23             0.02       0.26        1.06          0.29      0.18     720.00
p2z_sms             0.1672204E-01    0.17             0.01       0.12        0.67          0.26      0.15     720.00
dyn_zad             0.1158400E-01    0.12             0.01       0.14        1.11          0.16      0.10     720.00
wzv                 0.1128447E-01    0.11             0.01       0.16        1.30          0.18      0.09    1440.00
dyn_vor             0.1080558E-01    0.11             0.01       0.13        1.13          0.15      0.09     720.00
dyn_adv             0.8572942E-02    0.09             0.01       0.07        0.78          0.11      0.08     720.00
dyn_keg             0.7415202E-02    0.08             0.01       0.10        1.24          0.10      0.06     720.00
dyn_hpg             0.7340787E-02    0.07             0.01       0.10        1.23          0.11      0.06     720.00
p2z_sed             0.4600755E-02    0.05             0.01       0.07        1.40          0.07      0.03     720.00
tra_sbc             0.3680675E-02    0.04             0.01       0.06        1.46          0.06      0.02     720.00
trc_sms             0.3481231E-02    0.04             0.00       0.04        0.99          0.04      0.03     720.00
ssh_swp             0.4557356E-03    0.00             0.00       0.02        4.76          0.01     -0.01     720.00
dia_ar5             0.2322790E-03    0.00             0.00       0.02        7.99          0.01     -0.01     720.00
dom_hgr             0.1045494E-03    0.00             0.00       0.00        0.54          0.01      0.00       1.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |       9.802      |       8.184  |      0.835
    1         |       9.813      |       9.124  |      0.930
    2         |       9.813      |       9.076  |      0.925
    3         |       9.813      |       9.172  |      0.935
    4         |       9.813      |       9.076  |      0.925
    5         |       9.813      |       9.072  |      0.924
    6         |       9.813      |       9.092  |      0.926
    7         |       9.813      |       9.004  |      0.918
    8         |       9.813      |       9.024  |      0.920
    9         |       9.813      |       9.100  |      0.927
   10         |       9.813      |       9.108  |      0.928
   11         |       9.813      |       9.060  |      0.923
   12         |       9.813      |       9.080  |      0.925
   13         |       9.813      |       8.992  |      0.916
   14         |       9.813      |       9.052  |      0.922
   15         |       9.813      |       9.096  |      0.927
   16         |       9.813      |       9.064  |      0.924
   17         |       9.813      |       9.144  |      0.932
   18         |       9.813      |       9.184  |      0.936
   19         |       9.813      |       9.064  |      0.924
   20         |       9.813      |       9.004  |      0.918
   21         |       9.813      |       9.096  |      0.927
   22         |       9.813      |       9.048  |      0.922
   23         |       9.813      |       9.120  |      0.929
   24         |       9.813      |       9.072  |      0.924
   25         |       9.813      |       9.080  |      0.925
   26         |       9.813      |       9.056  |      0.923
   27         |       9.813      |       9.060  |      0.923
   28         |       9.813      |       9.144  |      0.932
   29         |       9.813      |       9.132  |      0.931
   30         |       9.813      |       9.192  |      0.937
   31         |       9.813      |       9.104  |      0.928
   32         |       9.813      |       9.096  |      0.927
   33         |       9.813      |       9.052  |      0.922
   34         |       9.813      |       9.136  |      0.931
   35         |       9.813      |       9.068  |      0.924
   36         |       9.813      |       9.048  |      0.922
   37         |       9.813      |       9.056  |      0.923
   38         |       9.813      |       9.068  |      0.924
   39         |       9.813      |       9.180  |      0.935
   40         |       9.813      |       9.140  |      0.931
   41         |       9.813      |       9.284  |      0.946
   42         |       9.813      |       9.188  |      0.936
   43         |       9.813      |       9.100  |      0.927
   44         |       9.813      |       9.080  |      0.925
   45         |       9.813      |       9.168  |      0.934
   46         |       9.813      |       9.124  |      0.930
   47         |       9.813      |       9.152  |      0.933
   48         |       9.813      |       9.080  |      0.925
   49         |       9.813      |       9.156  |      0.933
   50         |       9.813      |       9.316  |      0.949
   51         |       9.813      |       9.152  |      0.933
   52         |       9.813      |       9.104  |      0.928
   53         |       9.813      |       9.224  |      0.940
   54         |       9.813      |       9.168  |      0.934
   55         |       9.813      |       9.188  |      0.936
   56         |       9.813      |       9.108  |      0.928
   57         |       9.813      |       9.084  |      0.926
   58         |       9.813      |       9.104  |      0.928
   59         |       9.813      |       9.180  |      0.935
   60         |       9.813      |       9.156  |      0.933
   61         |       9.813      |       9.136  |      0.931
   62         |       9.813      |       9.184  |      0.936
   63         |       9.813      |       9.200  |      0.937
   64         |       9.813      |       9.300  |      0.948
   65         |       9.813      |       9.160  |      0.933
   66         |       9.813      |       9.228  |      0.940
   67         |       9.813      |       9.132  |      0.931
   68         |       9.813      |       9.164  |      0.934
   69         |       9.813      |       9.108  |      0.928
   70         |       9.813      |       9.140  |      0.931
   71         |       9.813      |       9.128  |      0.930
   72         |       9.813      |       9.280  |      0.946
   73         |       9.813      |       9.212  |      0.939
   74         |       9.813      |       9.192  |      0.937
   75         |       9.813      |       9.144  |      0.932
   76         |       9.813      |       9.132  |      0.931
   77         |       9.813      |       9.196  |      0.937
   78         |       9.813      |       9.120  |      0.929
   79         |       9.813      |       9.224  |      0.940
   80         |       9.813      |       9.192  |      0.937
   81         |       9.813      |       9.312  |      0.949
   82         |       9.813      |       9.188  |      0.936
   83         |       9.813      |       9.164  |      0.934
   84         |       9.813      |       9.204  |      0.938
   85         |       9.813      |       9.308  |      0.948
   86         |       9.813      |       9.280  |      0.946
   87         |       9.813      |       9.264  |      0.944
   88         |       9.813      |       9.196  |      0.937
   89         |       9.813      |       9.128  |      0.930
   90         |       9.813      |       9.164  |      0.934
   91         |       9.813      |       9.192  |      0.937
   92         |       9.813      |       9.232  |      0.941
   93         |       9.813      |       9.164  |      0.934
   94         |       9.813      |       9.112  |      0.929
   95         |       9.813      |       9.176  |      0.935
   96         |       9.813      |       9.156  |      0.933
   97         |       9.813      |       9.288  |      0.946
   98         |       9.813      |       9.244  |      0.942
   99         |       9.813      |       9.188  |      0.936
  100         |       9.813      |       9.208  |      0.938
  101         |       9.813      |       9.156  |      0.933
  102         |       9.813      |       9.308  |      0.949
  103         |       9.813      |       9.204  |      0.938
  104         |       9.813      |       9.172  |      0.935
  105         |       9.813      |       9.236  |      0.941
  106         |       9.813      |       9.232  |      0.941
  107         |       9.813      |       9.140  |      0.931
  108         |       9.813      |       9.140  |      0.931
  109         |       9.813      |       9.216  |      0.939
  110         |       9.813      |       9.304  |      0.948
  111         |       9.813      |       9.192  |      0.937
  112         |       9.813      |       9.192  |      0.937
  113         |       9.813      |       9.320  |      0.950
  114         |       9.813      |       9.208  |      0.938
  115         |       9.813      |       9.240  |      0.942
  116         |       9.813      |       9.168  |      0.934
  117         |       9.813      |       9.184  |      0.936
  118         |       9.813      |       9.352  |      0.953
  119         |       9.813      |       9.304  |      0.948
  120         |       9.813      |       9.176  |      0.935
  121         |       9.813      |       9.252  |      0.943
  122         |       9.813      |       9.208  |      0.938
  123         |       9.813      |       9.348  |      0.953
  124         |       9.813      |       9.324  |      0.950
  125         |       9.813      |       9.148  |      0.932
  126         |       9.813      |       9.148  |      0.932
  127         |       9.813      |       9.252  |      0.943
  128         |       9.813      |       9.252  |      0.943
  129         |       9.813      |       9.248  |      0.942
  130         |       9.813      |       9.268  |      0.944
  131         |       9.813      |       9.380  |      0.956
  132         |       9.813      |       9.128  |      0.930
  133         |       9.813      |       9.156  |      0.933
  134         |       9.813      |       9.168  |      0.934
  135         |       9.813      |       9.172  |      0.935
  136         |       9.813      |       9.284  |      0.946
  137         |       9.813      |       9.196  |      0.937
  138         |       9.813      |       9.176  |      0.935
  139         |       9.813      |       9.124  |      0.930
  140         |       9.813      |       9.180  |      0.935
  141         |       9.813      |       9.168  |      0.934
  142         |       9.813      |       9.172  |      0.935
  143         |       9.813      |       9.124  |      0.930
  144         |       9.813      |       9.148  |      0.932
  145         |       9.813      |       9.140  |      0.931
  146         |       9.813      |       9.120  |      0.929
  147         |       9.813      |       9.188  |      0.936
  148         |       9.813      |       9.180  |      0.935
  149         |       9.813      |       9.140  |      0.931
  150         |       9.813      |       9.140  |      0.931
  151         |       9.813      |       9.152  |      0.933
  152         |       9.813      |       9.132  |      0.931
  153         |       9.813      |       9.180  |      0.935
  154         |       9.813      |       9.204  |      0.938
  155         |       9.813      |       9.208  |      0.938
  156         |       9.813      |       9.236  |      0.941
  157         |       9.813      |       9.304  |      0.948
  158         |       9.813      |       9.340  |      0.952
  159         |       9.813      |       9.236  |      0.941
  160         |       9.813      |       9.176  |      0.935
  161         |       9.813      |       9.244  |      0.942
  162         |       9.813      |       9.320  |      0.950
  163         |       9.813      |       9.208  |      0.938
  164         |       9.813      |       9.228  |      0.940
  165         |       9.813      |       9.288  |      0.946
  166         |       9.813      |       9.268  |      0.944
  167         |       9.813      |       9.228  |      0.940
  168         |       9.813      |       9.300  |      0.948
  169         |       9.813      |       9.360  |      0.954
  170         |       9.813      |       9.388  |      0.957
  171         |       9.813      |       9.316  |      0.949
  172         |       9.813      |       9.312  |      0.949
  173         |       9.813      |       9.308  |      0.948
  174         |       9.813      |       9.376  |      0.955
  175         |       9.813      |       9.372  |      0.955
  176         |       9.813      |       9.080  |      0.925
  177         |       9.813      |       9.136  |      0.931
  178         |       9.813      |       9.272  |      0.945
  179         |       9.813      |       9.156  |      0.933
  180         |       9.813      |       9.108  |      0.928
  181         |       9.813      |       9.120  |      0.929
  182         |       9.813      |       9.148  |      0.932
  183         |       9.813      |       9.140  |      0.931
  184         |       9.813      |       9.144  |      0.932
  185         |       9.813      |       9.172  |      0.935
  186         |       9.813      |       9.104  |      0.928
  187         |       9.813      |       9.172  |      0.935
  188         |       9.813      |       9.108  |      0.928
  189         |       9.813      |       9.156  |      0.933
  190         |       9.813      |       9.148  |      0.932
  191         |       9.813      |       9.092  |      0.926
  192         |       9.813      |       9.144  |      0.932
  193         |       9.813      |       9.184  |      0.936
  194         |       9.813      |       9.224  |      0.940
  195         |       9.813      |       9.176  |      0.935
  196         |       9.813      |       9.160  |      0.933
  197         |       9.813      |       9.172  |      0.935
  198         |       9.813      |       9.224  |      0.940
  199         |       9.813      |       9.344  |      0.952
  200         |       9.813      |       9.232  |      0.941
  201         |       9.813      |       9.204  |      0.938
  202         |       9.813      |       9.204  |      0.938
  203         |       9.813      |       9.284  |      0.946
  204         |       9.813      |       9.252  |      0.943
  205         |       9.813      |       9.184  |      0.936
  206         |       9.813      |       9.192  |      0.937
  207         |       9.813      |       9.180  |      0.935
  208         |       9.813      |       9.232  |      0.941
  209         |       9.813      |       9.140  |      0.931
  210         |       9.813      |       9.172  |      0.935
  211         |       9.813      |       9.292  |      0.947
  212         |       9.813      |       9.352  |      0.953
  213         |       9.813      |       9.296  |      0.947
  214         |       9.813      |       9.320  |      0.950
  215         |       9.813      |       9.320  |      0.950
  216         |       9.813      |       9.364  |      0.954
  217         |       9.813      |       9.412  |      0.959
  218         |       9.813      |       9.340  |      0.952
  219         |       9.813      |       9.364  |      0.954
  220         |       9.813      |       9.136  |      0.931
  221         |       9.813      |       9.120  |      0.929
  222         |       9.813      |       9.212  |      0.939
  223         |       9.813      |       9.132  |      0.931
  224         |       9.813      |       9.188  |      0.936
  225         |       9.813      |       9.144  |      0.932
  226         |       9.813      |       9.168  |      0.934
  227         |       9.813      |       9.092  |      0.926
  228         |       9.813      |       9.188  |      0.936
  229         |       9.813      |       9.144  |      0.932
  230         |       9.813      |       9.116  |      0.929
  231         |       9.813      |       9.164  |      0.934
  232         |       9.813      |       9.164  |      0.934
  233         |       9.813      |       9.132  |      0.931
  234         |       9.813      |       9.140  |      0.931
  235         |       9.813      |       9.188  |      0.936
  236         |       9.813      |       9.152  |      0.933
  237         |       9.813      |       9.100  |      0.927
  238         |       9.813      |       9.136  |      0.931
  239         |       9.813      |       9.148  |      0.932
  240         |       9.813      |       9.116  |      0.929
  241         |       9.813      |       9.092  |      0.926
  242         |       9.813      |       9.168  |      0.934
  243         |       9.813      |       9.152  |      0.933
  244         |       9.813      |       9.172  |      0.935
  245         |       9.813      |       9.228  |      0.940
  246         |       9.813      |       9.100  |      0.927
  247         |       9.813      |       9.180  |      0.935
  248         |       9.813      |       9.324  |      0.950
  249         |       9.813      |       9.172  |      0.935
  250         |       9.813      |       9.120  |      0.929
  251         |       9.813      |       9.164  |      0.934
  252         |       9.813      |       9.188  |      0.936
  253         |       9.813      |       9.148  |      0.932
  254         |       9.813      |       9.256  |      0.943
  255         |       9.813      |       9.152  |      0.933
  256         |       9.813      |       9.180  |      0.935
  257         |       9.813      |       9.252  |      0.943
  258         |       9.813      |       9.168  |      0.934
  259         |       9.813      |       9.160  |      0.933
  260         |       9.813      |       9.312  |      0.949
  261         |       9.813      |       9.232  |      0.941
  262         |       9.813      |       9.212  |      0.939
  263         |       9.813      |       9.264  |      0.944
  264         |       9.813      |       9.196  |      0.937
  265         |       9.813      |       9.196  |      0.937
  266         |       9.813      |       9.224  |      0.940
  267         |       9.813      |       9.180  |      0.935
  268         |       9.813      |       9.196  |      0.937
  269         |       9.813      |       9.196  |      0.937
  270         |       9.813      |       9.196  |      0.937
  271         |       9.813      |       9.144  |      0.932
  272         |       9.813      |       9.184  |      0.936
  273         |       9.813      |       9.152  |      0.933
  274         |       9.813      |       9.164  |      0.934
  275         |       9.813      |       9.324  |      0.950
  276         |       9.813      |       9.200  |      0.937
  277         |       9.813      |       9.176  |      0.935
  278         |       9.813      |       9.112  |      0.929
  279         |       9.813      |       9.144  |      0.932
  280         |       9.813      |       9.124  |      0.930
  281         |       9.813      |       9.296  |      0.947
  282         |       9.813      |       9.188  |      0.936
  283         |       9.813      |       9.260  |      0.944
  284         |       9.813      |       9.260  |      0.944
