 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         6904.147     6821.192
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.8202954E+01   20.91             8.16      21.05        0.99         21.13     20.50     720.00
trc_ldf             0.4419400E+01   11.27             4.42      11.40        1.00         11.99     10.28     720.00
tra_adv             0.3440381E+01    8.77             3.43       8.85        1.00          8.94      8.36     720.00
trc_nxt             0.2717783E+01    6.93             2.70       6.96        0.99          9.17      5.57     720.00
trc_stp             0.2497439E+01    6.37             2.43       6.27        0.97          8.66      4.86     720.00
stp                 0.2424926E+01    6.18             2.27       5.86        0.94          6.78      5.75     720.00
zdf_phy             0.2221188E+01    5.66             2.21       5.70        1.00          6.05      5.14     720.00
tra_ldf             0.2064850E+01    5.26             2.06       5.32        1.00          5.51      4.81     720.00
dyn_spg             0.1411061E+01    3.60             1.40       3.61        0.99          4.31      3.24     720.00
ldf_slp             0.1284998E+01    3.28             1.28       3.31        1.00          4.24      2.94     720.00
trc_zdf             0.9550739E+00    2.43             0.96       2.46        1.00          2.55      2.30     720.00
dia_wri             0.8158475E+00    2.08             0.73       1.89        0.90          2.22      1.90     720.00
dyn_nxt             0.7980152E+00    2.03             0.80       2.06        1.00          2.30      1.76     720.00
dyn_zdf             0.6402024E+00    1.63             0.64       1.64        1.00          1.73      1.49     720.00
p2z_opt             0.4830170E+00    1.23             0.48       1.25        1.00          1.32      1.16     720.00
div_hor             0.4617097E+00    1.18             0.46       1.20        1.00          1.33      1.06    1441.00
tra_nxt             0.4615299E+00    1.18             0.46       1.20        1.01          1.46      0.89     720.00
rab_3d              0.3797740E+00    0.97             0.38       0.97        0.99          1.02      0.91    1440.00
tra_zdf             0.3744558E+00    0.95             0.38       0.97        1.00          1.09      0.86     720.00
ssh_nxt             0.3535501E+00    0.90             0.35       0.92        1.00          1.08      0.79     720.00
wzv                 0.3392391E+00    0.86             0.34       0.88        1.01          0.99      0.59    1440.00
dyn_ldf             0.3338792E+00    0.85             0.33       0.86        1.00          0.96      0.61     720.00
trc_trp             0.2695239E+00    0.69             0.25       0.66        0.94          0.79      0.58     720.00
bn2                 0.2547593E+00    0.65             0.26       0.66        1.01          0.71      0.56    1440.00
tra_qsr             0.2483479E+00    0.63             0.25       0.64        0.99          0.68      0.59     720.00
p2z_bio             0.2354658E+00    0.60             0.24       0.61        1.00          0.70      0.39     720.00
eos-insitu          0.1772908E+00    0.45             0.18       0.46        1.01          0.51      0.34     720.00
eos-pot             0.1702385E+00    0.43             0.17       0.44        1.00          0.46      0.40     720.00
p2z_exp             0.1659707E+00    0.42             0.16       0.42        0.99          1.01      0.19     720.00
sbc                 0.1608960E+00    0.41             0.16       0.42        1.00          0.46      0.26     720.00
trc_sbc             0.1375219E+00    0.35             0.14       0.36        1.01          0.68      0.20     720.00
p2z_sms             0.1065920E+00    0.27             0.10       0.26        0.94          0.33      0.21     720.00
dyn_zad             0.1051796E+00    0.27             0.11       0.27        1.01          0.30      0.24     720.00
dyn_hpg             0.1024316E+00    0.26             0.10       0.26        0.98          0.35      0.22     720.00
dyn_keg             0.9720350E-01    0.25             0.10       0.26        1.02          0.28      0.20     720.00
nemo_init           0.8953641E-01    0.23             0.07       0.19        0.82          0.24      0.22       1.00
dyn_adv             0.8046031E-01    0.21             0.08       0.20        0.95          0.25      0.17     720.00
dyn_vor             0.7671688E-01    0.20             0.08       0.20        1.00          0.21      0.18     720.00
day                 0.5718116E-01    0.15             0.01       0.01        0.09          0.17      0.10     720.00
trc_init            0.5160760E-01    0.13             0.02       0.04        0.29          0.13      0.13       1.00
p2z_sed             0.3292242E-01    0.08             0.03       0.09        1.04          0.11      0.07     720.00
tra_sbc             0.2328939E-01    0.06             0.03       0.07        1.10          0.08      0.05     720.00
ssh_swp             0.4308657E-02    0.01             0.01       0.01        1.26          0.02      0.01     720.00
trc_sms             0.4248871E-02    0.01             0.00       0.01        1.13          0.01      0.01     720.00
dia_ar5             0.2421926E-03    0.00             0.00       0.01        9.38          0.00     -0.00     720.00
dom_hgr             0.1639060E-03    0.00             0.00       0.00        0.69          0.00      0.00       1.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      39.219      |      37.852  |      0.965
    1         |      39.228      |      38.696  |      0.986
    2         |      39.228      |      38.792  |      0.989
    3         |      39.228      |      38.780  |      0.989
    4         |      39.228      |      38.788  |      0.989
    5         |      39.228      |      38.748  |      0.988
    6         |      39.228      |      38.764  |      0.988
    7         |      39.228      |      38.740  |      0.988
    8         |      39.228      |      38.712  |      0.987
    9         |      39.228      |      38.668  |      0.986
   10         |      39.228      |      38.688  |      0.986
   11         |      39.228      |      38.764  |      0.988
   12         |      39.228      |      38.740  |      0.988
   13         |      39.228      |      38.696  |      0.986
   14         |      39.228      |      38.752  |      0.988
   15         |      39.228      |      38.784  |      0.989
   16         |      39.228      |      38.724  |      0.987
   17         |      39.228      |      38.756  |      0.988
   18         |      39.228      |      38.764  |      0.988
   19         |      39.228      |      38.760  |      0.988
   20         |      39.228      |      38.736  |      0.987
   21         |      39.228      |      38.728  |      0.987
   22         |      39.228      |      38.772  |      0.988
   23         |      39.228      |      38.756  |      0.988
   24         |      39.228      |      38.712  |      0.987
   25         |      39.228      |      38.760  |      0.988
   26         |      39.228      |      38.768  |      0.988
   27         |      39.228      |      38.744  |      0.988
   28         |      39.228      |      38.744  |      0.988
   29         |      39.228      |      38.788  |      0.989
   30         |      39.228      |      38.736  |      0.987
   31         |      39.228      |      38.744  |      0.988
   32         |      39.228      |      38.744  |      0.988
   33         |      39.228      |      38.792  |      0.989
   34         |      39.228      |      38.800  |      0.989
   35         |      39.228      |      38.768  |      0.988
   36         |      39.228      |      38.736  |      0.987
   37         |      39.228      |      38.740  |      0.988
   38         |      39.228      |      38.768  |      0.988
   39         |      39.228      |      38.764  |      0.988
   40         |      39.228      |      38.768  |      0.988
   41         |      39.228      |      38.744  |      0.988
   42         |      39.228      |      38.692  |      0.986
   43         |      39.228      |      38.724  |      0.987
   44         |      39.228      |      38.760  |      0.988
   45         |      39.228      |      38.788  |      0.989
   46         |      39.228      |      38.836  |      0.990
   47         |      39.228      |      38.740  |      0.988
   48         |      39.228      |      38.780  |      0.989
   49         |      39.228      |      38.868  |      0.991
   50         |      39.228      |      38.788  |      0.989
   51         |      39.228      |      38.816  |      0.989
   52         |      39.228      |      38.808  |      0.989
   53         |      39.228      |      38.796  |      0.989
   54         |      39.228      |      38.784  |      0.989
   55         |      39.228      |      38.832  |      0.990
   56         |      39.228      |      38.768  |      0.988
   57         |      39.228      |      38.784  |      0.989
   58         |      39.228      |      38.812  |      0.989
   59         |      39.228      |      38.776  |      0.988
   60         |      39.228      |      38.828  |      0.990
   61         |      39.228      |      38.784  |      0.989
   62         |      39.228      |      38.788  |      0.989
   63         |      39.228      |      38.736  |      0.987
   64         |      39.228      |      38.844  |      0.990
   65         |      39.228      |      38.736  |      0.987
   66         |      39.228      |      38.716  |      0.987
   67         |      39.228      |      38.852  |      0.990
   68         |      39.228      |      38.804  |      0.989
   69         |      39.228      |      38.784  |      0.989
   70         |      39.228      |      38.780  |      0.989
   71         |      39.228      |      38.780  |      0.989
   72         |      39.228      |      38.808  |      0.989
   73         |      39.228      |      38.796  |      0.989
   74         |      39.228      |      38.772  |      0.988
   75         |      39.228      |      38.728  |      0.987
   76         |      39.228      |      38.728  |      0.987
   77         |      39.228      |      38.800  |      0.989
   78         |      39.228      |      38.812  |      0.989
   79         |      39.228      |      38.764  |      0.988
   80         |      39.228      |      38.756  |      0.988
   81         |      39.228      |      38.780  |      0.989
   82         |      39.228      |      38.744  |      0.988
   83         |      39.228      |      38.812  |      0.989
   84         |      39.228      |      38.824  |      0.990
   85         |      39.228      |      38.780  |      0.989
   86         |      39.228      |      38.772  |      0.988
   87         |      39.228      |      38.776  |      0.988
   88         |      39.228      |      38.784  |      0.989
   89         |      39.228      |      38.772  |      0.988
   90         |      39.228      |      38.712  |      0.987
   91         |      39.228      |      38.796  |      0.989
   92         |      39.228      |      38.752  |      0.988
   93         |      39.228      |      38.800  |      0.989
   94         |      39.228      |      38.788  |      0.989
   95         |      39.228      |      38.744  |      0.988
   96         |      39.228      |      38.744  |      0.988
   97         |      39.228      |      38.760  |      0.988
   98         |      39.228      |      38.780  |      0.989
   99         |      39.228      |      38.752  |      0.988
  100         |      39.228      |      38.740  |      0.988
  101         |      39.228      |      38.800  |      0.989
  102         |      39.228      |      38.820  |      0.990
  103         |      39.228      |      38.740  |      0.988
  104         |      39.228      |      38.804  |      0.989
  105         |      39.228      |      38.760  |      0.988
  106         |      39.228      |      38.788  |      0.989
  107         |      39.228      |      38.732  |      0.987
