 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         6699.470     6497.200
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3864286E+01   20.30             3.82      20.69        0.99         21.46     19.16     720.00
tra_adv             0.1901201E+01    9.99             1.89      10.24        0.99         10.52      9.15     720.00
stp                 0.1685894E+01    8.86             1.55       8.37        0.92         10.34      7.97     720.00
trc_stp             0.1523995E+01    8.01             1.44       7.82        0.95         11.55      5.66     720.00
dyn_spg             0.1199058E+01    6.30             1.18       6.41        0.99          7.51      5.26     720.00
trc_ldf             0.1185332E+01    6.23             1.19       6.43        1.00          7.21      5.63     720.00
zdf_phy             0.1079331E+01    5.67             1.07       5.79        0.99          6.09      5.25     720.00
trc_nxt             0.1030489E+01    5.41             1.03       5.56        1.00          6.49      3.93     720.00
ldf_slp             0.7144169E+00    3.75             0.71       3.87        1.00          4.18      3.26     720.00
tra_ldf             0.5877107E+00    3.09             0.59       3.20        1.00          3.49      2.84     720.00
dia_wri             0.4552043E+00    2.39             0.36       1.96        0.79          3.04      2.13     720.00
tra_nxt             0.3651326E+00    1.92             0.37       1.99        1.01          2.33      1.32     720.00
dyn_nxt             0.3251587E+00    1.71             0.33       1.78        1.01          1.97      1.48     720.00
trc_zdf             0.3016587E+00    1.58             0.30       1.64        1.00          2.08      1.25     720.00
p2z_opt             0.2777368E+00    1.46             0.28       1.49        0.99          1.71      1.38     720.00
dyn_zdf             0.2374822E+00    1.25             0.24       1.27        0.99          1.37      1.14     720.00
rab_3d              0.2212348E+00    1.16             0.22       1.20        1.00          1.31      1.10    1440.00
div_hor             0.2060600E+00    1.08             0.20       1.11        0.99          1.38      0.84    1441.00
nemo_init           0.2048783E+00    1.08             0.11       0.61        0.55          1.11      1.06       1.00
trc_sbc             0.1828919E+00    0.96             0.18       0.98        0.99          1.54      0.38     720.00
ssh_nxt             0.1567170E+00    0.82             0.15       0.83        0.98          1.15      0.60     720.00
tra_qsr             0.1469510E+00    0.77             0.15       0.80        1.00          0.90      0.69     720.00
p2z_exp             0.1275673E+00    0.67             0.13       0.69        1.00          1.33      0.23     720.00
tra_zdf             0.1182564E+00    0.62             0.12       0.63        0.99          0.74      0.58     720.00
dyn_ldf             0.1179939E+00    0.62             0.12       0.64        1.00          0.74      0.49     720.00
sbc                 0.1147791E+00    0.60             0.11       0.62        1.00          0.73      0.36     720.00
eos-pot             0.1017195E+00    0.53             0.10       0.55        1.00          0.69      0.44     720.00
wzv                 0.9846644E-01    0.52             0.10       0.55        1.03          0.60      0.38    1440.00
bn2                 0.9569577E-01    0.50             0.10       0.52        1.01          0.57      0.40    1440.00
trc_init            0.9013208E-01    0.47             0.02       0.10        0.20          0.47      0.47       1.00
trc_trp             0.8624987E-01    0.45             0.07       0.40        0.86          0.58      0.37     720.00
eos-insitu          0.8496744E-01    0.45             0.09       0.47        1.02          0.53      0.41     720.00
p2z_bio             0.8419938E-01    0.44             0.08       0.45        0.98          0.50      0.38     720.00
day                 0.6349510E-01    0.33             0.00       0.02        0.07          0.42      0.21     720.00
dyn_zad             0.4690794E-01    0.25             0.05       0.27        1.05          0.30      0.22     720.00
dyn_keg             0.4045841E-01    0.21             0.04       0.23        1.05          0.27      0.17     720.00
dyn_vor             0.4040488E-01    0.21             0.04       0.23        1.05          0.24      0.19     720.00
p2z_sms             0.3581516E-01    0.19             0.03       0.16        0.81          0.23      0.15     720.00
dyn_hpg             0.2762586E-01    0.15             0.03       0.15        1.02          0.18      0.12     720.00
dyn_adv             0.2680953E-01    0.14             0.02       0.13        0.88          0.20      0.10     720.00
p2z_sed             0.1490571E-01    0.08             0.02       0.09        1.09          0.09      0.07     720.00
tra_sbc             0.1414774E-01    0.07             0.02       0.09        1.13          0.10      0.06     720.00
trc_sms             0.3712011E-02    0.02             0.00       0.02        1.02          0.02      0.02     720.00
ssh_swp             0.1568051E-02    0.01             0.00       0.02        2.27          0.02      0.00     720.00
dia_ar5             0.2513569E-03    0.00             0.00       0.01        8.32          0.01     -0.00     720.00
dom_hgr             0.1315386E-03    0.00             0.00       0.00        0.95          0.00      0.00       1.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      19.031      |      17.768  |      0.934
    1         |      19.033      |      18.440  |      0.969
    2         |      19.033      |      18.524  |      0.973
    3         |      19.033      |      18.500  |      0.972
    4         |      19.033      |      18.448  |      0.969
    5         |      19.033      |      18.484  |      0.971
    6         |      19.033      |      18.532  |      0.974
    7         |      19.033      |      18.464  |      0.970
    8         |      19.033      |      18.432  |      0.968
    9         |      19.033      |      18.504  |      0.972
   10         |      19.033      |      18.568  |      0.976
   11         |      19.033      |      18.536  |      0.974
   12         |      19.033      |      18.492  |      0.972
   13         |      19.033      |      18.556  |      0.975
   14         |      19.033      |      18.476  |      0.971
   15         |      19.033      |      18.484  |      0.971
   16         |      19.033      |      18.528  |      0.973
   17         |      19.033      |      18.520  |      0.973
   18         |      19.033      |      18.476  |      0.971
   19         |      19.033      |      18.516  |      0.973
   20         |      19.033      |      18.504  |      0.972
   21         |      19.033      |      18.488  |      0.971
   22         |      19.033      |      18.444  |      0.969
   23         |      19.033      |      18.532  |      0.974
   24         |      19.033      |      18.496  |      0.972
   25         |      19.033      |      18.512  |      0.973
   26         |      19.033      |      18.528  |      0.973
   27         |      19.033      |      18.576  |      0.976
   28         |      19.033      |      18.524  |      0.973
   29         |      19.033      |      18.444  |      0.969
   30         |      19.033      |      18.512  |      0.973
   31         |      19.033      |      18.480  |      0.971
   32         |      19.033      |      18.444  |      0.969
   33         |      19.033      |      18.480  |      0.971
   34         |      19.033      |      18.496  |      0.972
   35         |      19.033      |      18.428  |      0.968
   36         |      19.033      |      18.480  |      0.971
   37         |      19.033      |      18.496  |      0.972
   38         |      19.033      |      18.464  |      0.970
   39         |      19.033      |      18.488  |      0.971
   40         |      19.033      |      18.524  |      0.973
   41         |      19.033      |      18.544  |      0.974
   42         |      19.033      |      18.564  |      0.975
   43         |      19.033      |      18.532  |      0.974
   44         |      19.033      |      18.444  |      0.969
   45         |      19.033      |      18.404  |      0.967
   46         |      19.033      |      18.456  |      0.970
   47         |      19.033      |      18.436  |      0.969
   48         |      19.033      |      18.464  |      0.970
   49         |      19.033      |      18.484  |      0.971
   50         |      19.033      |      18.520  |      0.973
   51         |      19.033      |      18.472  |      0.971
   52         |      19.033      |      18.508  |      0.972
   53         |      19.033      |      18.408  |      0.967
   54         |      19.033      |      18.468  |      0.970
   55         |      19.033      |      18.404  |      0.967
   56         |      19.033      |      18.428  |      0.968
   57         |      19.033      |      18.368  |      0.965
   58         |      19.033      |      18.412  |      0.967
   59         |      19.033      |      18.420  |      0.968
   60         |      19.033      |      18.396  |      0.967
   61         |      19.033      |      18.456  |      0.970
   62         |      19.033      |      18.452  |      0.969
   63         |      19.033      |      18.356  |      0.964
   64         |      19.033      |      18.368  |      0.965
   65         |      19.033      |      18.560  |      0.975
   66         |      19.033      |      18.400  |      0.967
   67         |      19.033      |      18.428  |      0.968
   68         |      19.033      |      18.436  |      0.969
   69         |      19.033      |      18.416  |      0.968
   70         |      19.033      |      18.424  |      0.968
   71         |      19.033      |      18.448  |      0.969
   72         |      19.033      |      18.544  |      0.974
   73         |      19.033      |      18.400  |      0.967
   74         |      19.033      |      18.472  |      0.971
   75         |      19.033      |      18.524  |      0.973
   76         |      19.033      |      18.492  |      0.972
   77         |      19.033      |      18.536  |      0.974
   78         |      19.033      |      18.488  |      0.971
   79         |      19.033      |      18.520  |      0.973
   80         |      19.033      |      18.496  |      0.972
   81         |      19.033      |      18.408  |      0.967
   82         |      19.033      |      18.360  |      0.965
   83         |      19.033      |      18.436  |      0.969
   84         |      19.033      |      18.432  |      0.968
   85         |      19.033      |      18.408  |      0.967
   86         |      19.033      |      18.412  |      0.967
   87         |      19.033      |      18.416  |      0.968
   88         |      19.033      |      18.428  |      0.968
   89         |      19.033      |      18.448  |      0.969
   90         |      19.033      |      18.428  |      0.968
   91         |      19.033      |      18.464  |      0.970
   92         |      19.033      |      18.464  |      0.970
   93         |      19.033      |      18.476  |      0.971
   94         |      19.033      |      18.528  |      0.973
   95         |      19.033      |      18.496  |      0.972
   96         |      19.033      |      18.516  |      0.973
   97         |      19.033      |      18.464  |      0.970
   98         |      19.033      |      18.420  |      0.968
   99         |      19.033      |      18.460  |      0.970
  100         |      19.033      |      18.560  |      0.975
  101         |      19.033      |      18.492  |      0.972
  102         |      19.033      |      18.432  |      0.968
  103         |      19.033      |      18.396  |      0.967
  104         |      19.033      |      18.456  |      0.970
  105         |      19.033      |      18.564  |      0.975
  106         |      19.033      |      18.608  |      0.978
  107         |      19.033      |      18.472  |      0.971
