 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         8836.866     8568.281
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.2892286E+01   20.95             2.87      21.43        0.99         22.77     18.90     720.00
stp                 0.1840205E+01   13.33             1.73      12.91        0.94         26.45      9.09     720.00
trc_stp             0.1438805E+01   10.42             1.38      10.27        0.96         16.60      7.04     720.00
tra_adv             0.1141597E+01    8.27             1.14       8.51        1.00          9.09      6.92     720.00
trc_nxt             0.9246874E+00    6.70             0.92       6.89        1.00          8.43      3.70     720.00
dyn_spg             0.8787136E+00    6.36             0.87       6.51        0.99          7.98      5.53     720.00
trc_ldf             0.7739182E+00    5.61             0.77       5.79        1.00          6.41      4.60     720.00
zdf_phy             0.7042964E+00    5.10             0.70       5.23        0.99          5.70      3.99     720.00
ldf_slp             0.4841008E+00    3.51             0.48       3.59        0.99          4.06      2.86     720.00
tra_ldf             0.3130816E+00    2.27             0.31       2.35        1.00          2.68      1.67     720.00
tra_nxt             0.2548589E+00    1.85             0.26       1.91        1.00          2.28      1.06     720.00
dia_wri             0.2521347E+00    1.83             0.12       0.87        0.46          2.63      1.27     720.00
p2z_opt             0.2228544E+00    1.61             0.22       1.66        1.00          1.84      1.10     720.00
dyn_nxt             0.1871659E+00    1.36             0.19       1.41        1.01          1.77      0.81     720.00
trc_zdf             0.1648349E+00    1.19             0.17       1.24        1.01          1.43      0.68     720.00
sbc                 0.1285046E+00    0.93             0.13       0.96        1.00          1.18      0.41     720.00
nemo_init           0.1183280E+00    0.86             0.09       0.65        0.73          0.94      0.84       1.00
rab_3d              0.1162653E+00    0.84             0.12       0.89        1.03          1.15     -0.07    1440.00
trc_sbc             0.1132170E+00    0.82             0.11       0.85        1.01          1.71      0.16     720.00
trc_trp             0.1065067E+00    0.77             0.10       0.72        0.91          2.48      0.31     720.00
div_hor             0.9837180E-01    0.71             0.10       0.76        1.03          1.09     -0.07    1441.00
p2z_exp             0.9563435E-01    0.69             0.10       0.72        1.01          2.01      0.12     720.00
trc_init            0.7977313E-01    0.58             0.02       0.18        0.30          0.58      0.58       1.00
dyn_zdf             0.7034901E-01    0.51             0.07       0.53        1.02          0.75      0.03     720.00
p2z_sms             0.7025080E-01    0.51             0.06       0.48        0.91          1.79      0.16     720.00
ssh_nxt             0.6813711E-01    0.49             0.07       0.52        1.02          0.82      0.07     720.00
tra_zdf             0.5735600E-01    0.42             0.06       0.44        1.03          0.58     -0.03     720.00
tra_qsr             0.5328335E-01    0.39             0.06       0.41        1.03          0.54     -0.07     720.00
p2z_bio             0.5204016E-01    0.38             0.05       0.40        1.02          0.55     -0.10     720.00
eos-insitu          0.4276541E-01    0.31             0.04       0.33        1.04          0.48     -0.13     720.00
dyn_ldf             0.4223073E-01    0.31             0.04       0.33        1.03          0.47     -0.15     720.00
bn2                 0.3875501E-01    0.28             0.04       0.32        1.09          0.54     -0.56    1440.00
eos-pot             0.3821913E-01    0.28             0.04       0.30        1.04          0.44     -0.17     720.00
day                 0.3141935E-01    0.23            -0.01      -0.09       -0.39          0.47     -0.23     720.00
dyn_adv             0.2724625E-01    0.20             0.03       0.19        0.92          0.63      0.08     720.00
dyn_zad             0.9910424E-02    0.07             0.01       0.09        1.18          0.20     -0.37     720.00
dyn_vor             0.6157568E-02    0.04             0.01       0.06        1.27          0.17     -0.39     720.00
dyn_hpg             0.5894939E-02    0.04             0.01       0.06        1.28          0.17     -0.39     720.00
trc_sms             0.4100014E-02    0.03             0.00       0.03        1.01          0.03      0.03     720.00
wzv                 0.2720526E-02    0.02             0.01       0.05        2.28          0.26     -0.85    1440.00
dom_hgr             0.1048640E-02    0.01             0.00       0.00        0.14          0.01      0.00       1.00
dyn_keg            -0.8388748E-03   -0.01             0.00       0.01       -1.18          0.12     -0.44     720.00
p2z_sed            -0.6112847E-02   -0.04            -0.00      -0.03        0.70          0.08     -0.47     720.00
tra_sbc            -0.1158061E-01   -0.08            -0.01      -0.07        0.83          0.04     -0.51     720.00
ssh_swp            -0.1541917E-01   -0.11            -0.01      -0.10        0.88          0.00     -0.54     720.00
dia_ar5            -0.1590478E-01   -0.12            -0.01      -0.10        0.88         -0.00     -0.54     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      13.802      |      12.388  |      0.898
    1         |      13.808      |      13.432  |      0.973
    2         |      13.808      |      13.327  |      0.965
    3         |      13.808      |      13.386  |      0.969
    4         |      13.808      |      13.513  |      0.979
    5         |      13.808      |      13.389  |      0.970
    6         |      13.808      |      13.421  |      0.972
    7         |      13.808      |      13.370  |      0.968
    8         |      13.808      |      13.370  |      0.968
    9         |      13.808      |      13.420  |      0.972
   10         |      13.808      |      13.386  |      0.969
   11         |      13.808      |      13.409  |      0.971
   12         |      13.808      |      13.396  |      0.970
   13         |      13.808      |      13.402  |      0.971
   14         |      13.808      |      13.388  |      0.970
   15         |      13.808      |      13.370  |      0.968
   16         |      13.808      |      13.407  |      0.971
   17         |      13.808      |      13.413  |      0.971
   18         |      13.808      |      13.440  |      0.973
   19         |      13.808      |      13.434  |      0.973
   20         |      13.808      |      13.395  |      0.970
   21         |      13.808      |      13.448  |      0.974
   22         |      13.808      |      13.364  |      0.968
   23         |      13.808      |      13.350  |      0.967
   24         |      13.808      |      13.368  |      0.968
   25         |      13.808      |      13.410  |      0.971
   26         |      13.808      |      13.393  |      0.970
   27         |      13.808      |      13.418  |      0.972
   28         |      13.808      |      13.441  |      0.973
   29         |      13.808      |      13.406  |      0.971
   30         |      13.808      |      13.405  |      0.971
   31         |      13.808      |      13.431  |      0.973
   32         |      13.808      |      13.339  |      0.966
   33         |      13.808      |      13.409  |      0.971
   34         |      13.808      |      13.392  |      0.970
   35         |      13.808      |      13.421  |      0.972
   36         |      13.808      |      13.400  |      0.970
   37         |      13.808      |      13.382  |      0.969
   38         |      13.808      |      13.387  |      0.970
   39         |      13.808      |      13.404  |      0.971
   40         |      13.807      |      13.362  |      0.968
   41         |      13.807      |      13.359  |      0.968
   42         |      13.807      |      13.336  |      0.966
   43         |      13.807      |      13.442  |      0.974
   44         |      13.808      |      13.392  |      0.970
   45         |      13.807      |      13.434  |      0.973
   46         |      13.807      |      13.414  |      0.972
   47         |      13.808      |      13.398  |      0.970
   48         |      13.808      |      13.332  |      0.966
   49         |      13.808      |      13.395  |      0.970
   50         |      13.808      |      13.357  |      0.967
   51         |      13.807      |      13.395  |      0.970
   52         |      13.807      |      13.413  |      0.971
   53         |      13.808      |      13.376  |      0.969
   54         |      13.808      |      13.378  |      0.969
   55         |      13.807      |      13.411  |      0.971
   56         |      13.808      |      13.447  |      0.974
   57         |      13.808      |      13.426  |      0.972
   58         |      13.807      |      13.362  |      0.968
   59         |      13.807      |      13.400  |      0.971
   60         |      13.807      |      13.350  |      0.967
   61         |      13.807      |      13.413  |      0.971
   62         |      13.807      |      13.399  |      0.970
   63         |      13.807      |      13.404  |      0.971
   64         |      13.807      |      13.415  |      0.972
   65         |      13.807      |      13.321  |      0.965
   66         |      13.807      |      13.411  |      0.971
   67         |      13.808      |      13.390  |      0.970
   68         |      13.807      |      13.357  |      0.967
   69         |      13.807      |      13.337  |      0.966
   70         |      13.808      |      13.375  |      0.969
   71         |      13.807      |      13.397  |      0.970
   72         |      13.807      |      13.365  |      0.968
   73         |      13.807      |      13.327  |      0.965
   74         |      13.808      |      13.399  |      0.970
   75         |      13.807      |      13.379  |      0.969
   76         |      13.808      |      13.434  |      0.973
   77         |      13.807      |      13.371  |      0.968
   78         |      13.807      |      13.344  |      0.966
   79         |      13.807      |      13.376  |      0.969
   80         |      13.807      |      13.363  |      0.968
   81         |      13.807      |      13.392  |      0.970
   82         |      13.807      |      13.382  |      0.969
   83         |      13.807      |      13.398  |      0.970
   84         |      13.807      |      13.361  |      0.968
   85         |      13.807      |      13.323  |      0.965
   86         |      13.807      |      13.370  |      0.968
   87         |      13.808      |      13.417  |      0.972
   88         |      13.807      |      13.359  |      0.968
   89         |      13.807      |      13.371  |      0.968
   90         |      13.807      |      13.411  |      0.971
   91         |      13.808      |      13.461  |      0.975
   92         |      13.807      |      13.357  |      0.967
   93         |      13.807      |      13.337  |      0.966
   94         |      13.807      |      13.358  |      0.967
   95         |      13.807      |      13.395  |      0.970
   96         |      13.807      |      13.384  |      0.969
   97         |      13.807      |      13.388  |      0.970
   98         |      13.807      |      13.455  |      0.974
   99         |      13.807      |      13.361  |      0.968
  100         |      13.808      |      13.333  |      0.966
  101         |      13.807      |      13.346  |      0.967
  102         |      13.807      |      13.374  |      0.969
  103         |      13.808      |      13.400  |      0.970
  104         |      13.808      |      13.401  |      0.971
  105         |      13.808      |      13.422  |      0.972
  106         |      13.807      |      13.397  |      0.970
  107         |      13.807      |      13.411  |      0.971
  108         |      13.807      |      13.398  |      0.970
  109         |      13.808      |      13.355  |      0.967
