 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         7335.497     7296.696
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.2168783E+02   23.65            21.66      23.75        1.00         23.70     23.56     720.00
trc_ldf             0.1450617E+02   15.82            14.50      15.90        1.00         16.01     15.56     720.00
tra_adv             0.8147639E+01    8.89             8.14       8.92        1.00          8.95      8.79     720.00
tra_ldf             0.5512778E+01    6.01             5.51       6.04        1.00          6.11      5.92     720.00
zdf_phy             0.5048003E+01    5.51             5.04       5.53        1.00          5.58      5.43     720.00
trc_nxt             0.4766776E+01    5.20             4.76       5.21        1.00          5.60      4.70     720.00
trc_stp             0.4661560E+01    5.08             4.63       5.08        0.99          5.63      4.77     720.00
stp                 0.3377603E+01    3.68             3.22       3.53        0.95          4.21      3.33     720.00
trc_zdf             0.2926218E+01    3.19             2.92       3.21        1.00          3.44      3.01     720.00
ldf_slp             0.2847580E+01    3.11             2.84       3.12        1.00          3.19      3.03     720.00
dyn_spg             0.2003935E+01    2.19             1.99       2.19        1.00          2.27      2.10     720.00
dyn_nxt             0.1605459E+01    1.75             1.60       1.76        1.00          1.82      1.70     720.00
dyn_zdf             0.1516626E+01    1.65             1.52       1.66        1.00          1.69      1.60     720.00
p2z_opt             0.1373792E+01    1.50             1.37       1.50        1.00          1.54      1.48     720.00
dia_wri             0.1293543E+01    1.41             1.13       1.24        0.88          1.46      1.33     720.00
tra_zdf             0.1233279E+01    1.34             1.23       1.35        1.00          1.38      1.31     720.00
p2z_bio             0.1114203E+01    1.22             1.11       1.22        1.00          1.24      1.18     720.00
rab_3d              0.9147278E+00    1.00             0.92       1.01        1.00          1.03      0.97    1440.00
tra_nxt             0.9145136E+00    1.00             0.91       1.00        1.00          1.08      0.92     720.00
bn2                 0.8675253E+00    0.95             0.87       0.95        1.00          0.97      0.89    1440.00
div_hor             0.7353687E+00    0.80             0.74       0.81        1.00          0.84      0.77    1441.00
trc_trp             0.6559952E+00    0.72             0.63       0.69        0.96          0.82      0.66     720.00
wzv                 0.4799024E+00    0.52             0.48       0.53        1.01          0.57      0.49    1440.00
dyn_ldf             0.4768517E+00    0.52             0.48       0.52        1.00          0.55      0.50     720.00
tra_qsr             0.4672374E+00    0.51             0.47       0.51        1.00          0.52      0.49     720.00
ssh_nxt             0.4628864E+00    0.50             0.46       0.51        1.00          0.53      0.48     720.00
eos-pot             0.3614497E+00    0.39             0.36       0.40        1.00          0.41      0.37     720.00
dyn_zad             0.3416271E+00    0.37             0.34       0.38        1.00          0.39      0.34     720.00
eos-insitu          0.3365383E+00    0.37             0.34       0.37        1.01          0.38      0.34     720.00
p2z_sms             0.2627825E+00    0.29             0.25       0.27        0.95          0.34      0.25     720.00
sbc                 0.2616132E+00    0.29             0.26       0.29        1.00          0.31      0.22     720.00
dyn_hpg             0.2261476E+00    0.25             0.23       0.25        1.00          0.27      0.22     720.00
dyn_keg             0.1906491E+00    0.21             0.19       0.21        1.01          0.23      0.17     720.00
p2z_exp             0.1738070E+00    0.19             0.18       0.19        1.01          0.28      0.12     720.00
dyn_vor             0.1695839E+00    0.18             0.17       0.19        1.01          0.21      0.16     720.00
dyn_adv             0.1475145E+00    0.16             0.14       0.16        0.97          0.21      0.14     720.00
trc_sbc             0.1009700E+00    0.11             0.10       0.11        1.02          0.16      0.09     720.00
p2z_sed             0.9971622E-01    0.11             0.10       0.11        1.03          0.13      0.09     720.00
nemo_init           0.8424151E-01    0.09             0.06       0.07        0.77          0.10      0.09       1.00
trc_init            0.5718947E-01    0.06             0.03       0.03        0.53          0.06      0.06       1.00
tra_sbc             0.8610575E-02    0.01             0.01       0.01        1.36          0.02     -0.01     720.00
day                 0.7147502E-02    0.01            -0.01      -0.01       -1.52          0.04     -0.02     720.00
trc_sms             0.4807591E-02    0.01             0.01       0.01        1.46          0.01      0.00     720.00
dom_hgr             0.1295457E-02    0.00             0.00       0.00        0.11          0.00      0.00       1.00
ssh_swp            -0.9797634E-02   -0.01            -0.01      -0.01        0.73          0.00     -0.03     720.00
dia_ar5            -0.1478823E-01   -0.02            -0.01      -0.01        0.84         -0.00     -0.04     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      91.679      |      90.321  |      0.985
    1         |      91.694      |      91.187  |      0.994
    2         |      91.694      |      91.172  |      0.994
    3         |      91.694      |      91.147  |      0.994
    4         |      91.694      |      91.170  |      0.994
    5         |      91.694      |      91.207  |      0.995
    6         |      91.694      |      91.244  |      0.995
    7         |      91.694      |      91.226  |      0.995
    8         |      91.694      |      91.258  |      0.995
    9         |      91.694      |      91.245  |      0.995
   10         |      91.694      |      91.222  |      0.995
   11         |      91.694      |      91.269  |      0.995
   12         |      91.694      |      91.193  |      0.995
   13         |      91.694      |      91.220  |      0.995
   14         |      91.694      |      91.139  |      0.994
   15         |      91.694      |      91.206  |      0.995
   16         |      91.694      |      91.255  |      0.995
   17         |      91.694      |      91.258  |      0.995
   18         |      91.694      |      91.215  |      0.995
   19         |      91.694      |      91.226  |      0.995
   20         |      91.694      |      91.181  |      0.994
   21         |      91.694      |      91.209  |      0.995
   22         |      91.694      |      91.159  |      0.994
   23         |      91.694      |      91.204  |      0.995
   24         |      91.694      |      91.253  |      0.995
   25         |      91.694      |      91.081  |      0.993
   26         |      91.694      |      91.238  |      0.995
   27         |      91.694      |      91.163  |      0.994
   28         |      91.694      |      91.167  |      0.994
   29         |      91.694      |      91.176  |      0.994
   30         |      91.694      |      91.220  |      0.995
   31         |      91.694      |      91.141  |      0.994
   32         |      91.694      |      91.232  |      0.995
   33         |      91.694      |      91.271  |      0.995
   34         |      91.694      |      91.226  |      0.995
   35         |      91.694      |      91.233  |      0.995
   36         |      91.694      |      91.146  |      0.994
   37         |      91.694      |      91.118  |      0.994
   38         |      91.694      |      91.215  |      0.995
   39         |      91.694      |      91.183  |      0.994
   40         |      91.694      |      91.204  |      0.995
   41         |      91.694      |      91.221  |      0.995
   42         |      91.694      |      91.168  |      0.994
   43         |      91.694      |      91.192  |      0.995
   44         |      91.694      |      91.245  |      0.995
   45         |      91.694      |      91.274  |      0.995
   46         |      91.694      |      91.243  |      0.995
   47         |      91.694      |      91.231  |      0.995
   48         |      91.694      |      91.183  |      0.994
   49         |      91.694      |      91.185  |      0.994
   50         |      91.694      |      91.227  |      0.995
   51         |      91.694      |      91.211  |      0.995
   52         |      91.694      |      91.264  |      0.995
   53         |      91.694      |      91.163  |      0.994
   54         |      91.694      |      91.169  |      0.994
   55         |      91.694      |      91.247  |      0.995
   56         |      91.694      |      91.312  |      0.996
   57         |      91.694      |      91.273  |      0.995
   58         |      91.694      |      91.194  |      0.995
   59         |      91.694      |      91.226  |      0.995
   60         |      91.694      |      91.211  |      0.995
   61         |      91.694      |      91.210  |      0.995
   62         |      91.694      |      91.333  |      0.996
   63         |      91.694      |      91.184  |      0.994
   64         |      91.694      |      91.228  |      0.995
   65         |      91.694      |      91.250  |      0.995
   66         |      91.694      |      91.285  |      0.996
   67         |      91.694      |      91.186  |      0.994
   68         |      91.694      |      91.229  |      0.995
   69         |      91.694      |      91.267  |      0.995
   70         |      91.694      |      91.231  |      0.995
   71         |      91.694      |      91.301  |      0.996
   72         |      91.694      |      91.216  |      0.995
   73         |      91.694      |      91.312  |      0.996
   74         |      91.694      |      91.339  |      0.996
   75         |      91.694      |      91.266  |      0.995
   76         |      91.694      |      91.248  |      0.995
   77         |      91.694      |      91.261  |      0.995
   78         |      91.694      |      91.264  |      0.995
   79         |      91.694      |      91.241  |      0.995
 -------------|------------------|--------------|------------------
 Total        |    7335.497      |    7296.696  |     79.577
 -------------|------------------|--------------|------------------
 Minimum      |      91.679      |      90.321  |      0.985
 -------------|------------------|--------------|------------------
 Maximum      |      91.694      |      91.339  |      0.996
 -------------|------------------|--------------|------------------
 Average      |      91.694      |      91.209  |      0.995
 
 Detailed timing for proc : 0
 --------------------------
 Section             Elapsed Time (s)  Elapsed Time (%)  CPU Time(s)  CPU Time (%)  CPU/Elapsed  Frequency
 trc_adv                       21.723            23.695       21.709        24.035        0.999        720
 trc_ldf                       14.546            15.867       14.547        16.106        1.000        720
 tra_adv                        8.161             8.902        8.156         9.030        0.999        720
 tra_ldf                        5.513             6.013        5.503         6.093        0.998        720
 zdf_phy                        4.997             5.451        4.989         5.523        0.998        720
 trc_stp                        4.845             5.285        4.793         5.307        0.989        720
 trc_nxt                        4.572             4.987        4.557         5.045        0.997        720
 stp                            3.187             3.477        2.228         2.467        0.699        720
 ldf_slp                        2.888             3.150        2.889         3.198        1.000        720
 trc_zdf                        2.878             3.139        2.884         3.193        1.002        720
 dyn_spg                        1.925             2.099        1.927         2.134        1.001        720
 dyn_nxt                        1.668             1.819        1.673         1.853        1.003        720
