 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        13137.659    12481.940
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.2122037E+01   20.67             2.10      21.55        0.99         21.39     19.07     720.00
stp                 0.1668534E+01   16.26             1.55      15.94        0.93         23.42     11.84     720.00
trc_stp             0.1049216E+01   10.22             0.95       9.77        0.91         15.31      7.16     720.00
dyn_spg             0.8675875E+00    8.45             0.86       8.82        0.99          9.97      7.71     720.00
tra_adv             0.7549603E+00    7.36             0.75       7.72        1.00          7.99      6.30     720.00
trc_nxt             0.6820853E+00    6.65             0.68       6.97        1.00          8.53      3.59     720.00
zdf_phy             0.4494698E+00    4.38             0.45       4.57        0.99          4.94      3.61     720.00
trc_ldf             0.3844871E+00    3.75             0.38       3.94        1.00          4.61      3.27     720.00
ldf_slp             0.3838491E+00    3.74             0.38       3.91        0.99          4.32      2.79     720.00
tra_nxt             0.2327561E+00    2.27             0.23       2.39        1.00          2.93      1.21     720.00
dia_wri             0.2155332E+00    2.10             0.06       0.64        0.29          2.75      1.26     720.00
tra_ldf             0.1450110E+00    1.41             0.15       1.50        1.01          1.77      1.08     720.00
nemo_init           0.1426090E+00    1.39             0.11       1.11        0.76          1.65      1.37       1.00
p2z_opt             0.1421949E+00    1.39             0.14       1.46        1.00          1.60      1.13     720.00
trc_init            0.1279906E+00    1.25             0.03       0.32        0.24          1.25      1.25       1.00
dyn_nxt             0.1174438E+00    1.14             0.12       1.22        1.01          1.85      0.71     720.00
sbc                 0.1107849E+00    1.08             0.11       1.13        1.00          1.36      0.79     720.00
p2z_exp             0.9323078E-01    0.91             0.09       0.96        1.01          1.99      0.06     720.00
trc_trp             0.9261540E-01    0.90             0.08       0.86        0.90          1.95      0.37     720.00
div_hor             0.7270149E-01    0.71             0.08       0.77        1.04          1.30      0.14    1441.00
rab_3d              0.7074788E-01    0.69             0.07       0.76        1.04          1.01      0.21    1440.00
trc_sbc             0.6956286E-01    0.68             0.07       0.72        1.01          1.51      0.30     720.00
p2z_sms             0.6485446E-01    0.63             0.06       0.60        0.91          1.42      0.24     720.00
trc_zdf             0.6111738E-01    0.60             0.06       0.64        1.03          0.84      0.35     720.00
ssh_nxt             0.5622601E-01    0.55             0.06       0.59        1.02          1.07      0.23     720.00
day                 0.3695482E-01    0.36            -0.01      -0.12       -0.30          0.58      0.04     720.00
tra_qsr             0.2753220E-01    0.27             0.03       0.30        1.06          0.42      0.04     720.00
dyn_zdf             0.2504264E-01    0.24             0.03       0.27        1.06          0.41     -0.00     720.00
dyn_adv             0.2384252E-01    0.23             0.02       0.22        0.92          0.50      0.10     720.00
eos-insitu          0.2158203E-01    0.21             0.02       0.24        1.07          0.36     -0.03     720.00
eos-pot             0.2103249E-01    0.20             0.02       0.23        1.08          0.36     -0.05     720.00
tra_zdf             0.2044561E-01    0.20             0.02       0.23        1.08          0.36     -0.05     720.00
p2z_bio             0.1787141E-01    0.17             0.02       0.20        1.08          0.35     -0.06     720.00
dyn_ldf             0.1733345E-01    0.17             0.02       0.19        1.08          0.32     -0.07     720.00
bn2                 0.5140092E-02    0.05             0.01       0.09        1.67          0.34     -0.46    1440.00
trc_sms             0.3957245E-02    0.04             0.00       0.04        1.00          0.04      0.04     720.00
dom_hgr             0.9661995E-03    0.01             0.00       0.00        0.15          0.01      0.00       1.00
dyn_zad            -0.1282115E-02   -0.01             0.00       0.00       -0.35          0.13     -0.27     720.00
dyn_vor            -0.1672335E-02   -0.02            -0.00      -0.00        0.01          0.12     -0.27     720.00
dyn_hpg            -0.2247116E-02   -0.02            -0.00      -0.01        0.26          0.11     -0.27     720.00
dyn_keg            -0.7070050E-02   -0.07            -0.01      -0.05        0.75          0.06     -0.33     720.00
p2z_sed            -0.9722845E-02   -0.09            -0.01      -0.08        0.82          0.04     -0.35     720.00
tra_sbc            -0.1252958E-01   -0.12            -0.01      -0.11        0.85          0.03     -0.38     720.00
wzv                -0.1303111E-01   -0.13            -0.01      -0.10        0.73          0.14     -0.64    1440.00
ssh_swp            -0.1499157E-01   -0.15            -0.01      -0.14        0.88         -0.02     -0.41     720.00
dia_ar5            -0.1509239E-01   -0.15            -0.01      -0.14        0.88         -0.02     -0.41     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      10.257      |       8.805  |      0.858
    1         |      10.264      |       9.880  |      0.963
    2         |      10.264      |       9.757  |      0.951
    3         |      10.264      |       9.803  |      0.955
    4         |      10.264      |       9.837  |      0.958
    5         |      10.264      |       9.847  |      0.959
    6         |      10.264      |       9.818  |      0.957
    7         |      10.264      |       9.834  |      0.958
    8         |      10.264      |       9.824  |      0.957
    9         |      10.264      |       9.777  |      0.953
   10         |      10.264      |       9.857  |      0.960
   11         |      10.264      |       9.765  |      0.951
   12         |      10.264      |       9.874  |      0.962
   13         |      10.264      |       9.813  |      0.956
   14         |      10.264      |       9.783  |      0.953
   15         |      10.264      |       9.822  |      0.957
   16         |      10.264      |       9.799  |      0.955
   17         |      10.264      |       9.791  |      0.954
   18         |      10.264      |       9.807  |      0.955
   19         |      10.264      |       9.829  |      0.958
   20         |      10.264      |       9.791  |      0.954
   21         |      10.264      |       9.808  |      0.956
   22         |      10.264      |       9.826  |      0.957
   23         |      10.264      |       9.810  |      0.956
   24         |      10.264      |       9.814  |      0.956
   25         |      10.264      |       9.830  |      0.958
   26         |      10.264      |       9.841  |      0.959
   27         |      10.264      |       9.823  |      0.957
   28         |      10.264      |       9.840  |      0.959
   29         |      10.264      |       9.774  |      0.952
   30         |      10.264      |       9.755  |      0.950
   31         |      10.264      |       9.783  |      0.953
   32         |      10.264      |       9.857  |      0.960
   33         |      10.264      |       9.797  |      0.954
   34         |      10.264      |       9.789  |      0.954
   35         |      10.264      |       9.835  |      0.958
   36         |      10.264      |       9.803  |      0.955
   37         |      10.264      |       9.829  |      0.958
   38         |      10.264      |       9.797  |      0.954
   39         |      10.264      |       9.766  |      0.951
   40         |      10.264      |       9.662  |      0.941
   41         |      10.264      |       9.696  |      0.945
   42         |      10.264      |       9.749  |      0.950
   43         |      10.264      |       9.730  |      0.948
   44         |      10.264      |       9.735  |      0.949
   45         |      10.264      |       9.649  |      0.940
   46         |      10.264      |       9.663  |      0.941
   47         |      10.264      |       9.821  |      0.957
   48         |      10.264      |       9.756  |      0.951
   49         |      10.264      |       9.733  |      0.948
   50         |      10.264      |       9.738  |      0.949
   51         |      10.264      |       9.707  |      0.946
   52         |      10.264      |       9.682  |      0.943
   53         |      10.264      |       9.763  |      0.951
   54         |      10.264      |       9.698  |      0.945
   55         |      10.264      |       9.729  |      0.948
   56         |      10.264      |       9.729  |      0.948
   57         |      10.264      |       9.778  |      0.953
   58         |      10.264      |       9.709  |      0.946
   59         |      10.264      |       9.710  |      0.946
   60         |      10.264      |       9.666  |      0.942
   61         |      10.264      |       9.829  |      0.958
   62         |      10.264      |       9.815  |      0.956
   63         |      10.264      |       9.721  |      0.947
   64         |      10.264      |       9.733  |      0.948
   65         |      10.264      |       9.706  |      0.946
   66         |      10.264      |       9.771  |      0.952
   67         |      10.264      |       9.737  |      0.949
   68         |      10.264      |       9.694  |      0.944
   69         |      10.264      |       9.761  |      0.951
   70         |      10.264      |       9.708  |      0.946
   71         |      10.264      |       9.692  |      0.944
   72         |      10.264      |       9.743  |      0.949
   73         |      10.264      |       9.692  |      0.944
   74         |      10.264      |       9.740  |      0.949
   75         |      10.264      |       9.679  |      0.943
   76         |      10.264      |       9.735  |      0.948
   77         |      10.264      |       9.766  |      0.952
   78         |      10.264      |       9.785  |      0.953
   79         |      10.264      |       9.757  |      0.951
   80         |      10.264      |       9.721  |      0.947
   81         |      10.264      |       9.798  |      0.955
   82         |      10.264      |       9.774  |      0.952
   83         |      10.264      |       9.738  |      0.949
   84         |      10.264      |       9.736  |      0.949
   85         |      10.264      |       9.778  |      0.953
   86         |      10.264      |       9.815  |      0.956
   87         |      10.264      |       9.781  |      0.953
   88         |      10.264      |       9.795  |      0.954
   89         |      10.264      |       9.714  |      0.946
   90         |      10.264      |       9.704  |      0.945
   91         |      10.264      |       9.771  |      0.952
   92         |      10.264      |       9.781  |      0.953
   93         |      10.264      |       9.842  |      0.959
   94         |      10.264      |       9.820  |      0.957
   95         |      10.264      |       9.742  |      0.949
   96         |      10.264      |       9.772  |      0.952
   97         |      10.264      |       9.779  |      0.953
   98         |      10.264      |       9.689  |      0.944
   99         |      10.264      |       9.799  |      0.955
  100         |      10.264      |       9.764  |      0.951
  101         |      10.264      |       9.791  |      0.954
  102         |      10.264      |       9.745  |      0.950
  103         |      10.264      |       9.769  |      0.952
  104         |      10.264      |       9.812  |      0.956
  105         |      10.264      |       9.790  |      0.954
  106         |      10.264      |       9.770  |      0.952
  107         |      10.264      |       9.722  |      0.947
  108         |      10.264      |       9.737  |      0.949
  109         |      10.264      |       9.793  |      0.954
  110         |      10.264      |       9.845  |      0.959
