 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         6678.915     6620.821
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.9783611E+01   23.44             9.76      23.58        1.00         23.67     23.00     720.00
trc_ldf             0.5324934E+01   12.76             5.32      12.87        1.00         13.20     12.33     720.00
tra_adv             0.3775368E+01    9.04             3.77       9.10        1.00          9.23      8.67     720.00
trc_stp             0.2833561E+01    6.79             2.79       6.73        0.98          7.95      5.85     720.00
stp                 0.2365847E+01    5.67             2.25       5.44        0.95          7.03      4.71     720.00
zdf_phy             0.2339847E+01    5.61             2.33       5.64        1.00          5.85      5.29     720.00
trc_nxt             0.2317624E+01    5.55             2.31       5.58        1.00          6.54      4.63     720.00
tra_ldf             0.2203814E+01    5.28             2.20       5.33        1.00          5.45      5.05     720.00
ldf_slp             0.1300003E+01    3.11             1.30       3.14        1.00          3.41      2.87     720.00
dyn_spg             0.1210941E+01    2.90             1.20       2.91        0.99          3.13      2.77     720.00
trc_zdf             0.1093702E+01    2.62             1.10       2.65        1.00          2.72      2.51     720.00
p2z_opt             0.7252806E+00    1.74             0.72       1.75        1.00          1.77      1.69     720.00
dyn_nxt             0.6888443E+00    1.65             0.69       1.66        1.00          1.81      1.55     720.00
dia_wri             0.6136902E+00    1.47             0.52       1.25        0.84          1.54      1.40     720.00
tra_nxt             0.5377543E+00    1.29             0.54       1.30        1.00          1.49      1.10     720.00
dyn_zdf             0.4950570E+00    1.19             0.49       1.19        1.00          1.31      1.12     720.00
rab_3d              0.4589827E+00    1.10             0.46       1.11        1.00          1.15      1.01    1440.00
tra_zdf             0.4234974E+00    1.01             0.42       1.03        1.00          1.11      0.91     720.00
p2z_bio             0.3956721E+00    0.95             0.40       0.96        1.00          1.02      0.85     720.00
bn2                 0.3473600E+00    0.83             0.35       0.85        1.01          0.93      0.74    1440.00
div_hor             0.3381083E+00    0.81             0.34       0.82        1.01          0.90      0.68    1441.00
trc_trp             0.2609433E+00    0.63             0.24       0.59        0.93          0.79      0.53     720.00
ssh_nxt             0.2422265E+00    0.58             0.24       0.59        1.00          0.68      0.48     720.00
dyn_ldf             0.2379920E+00    0.57             0.24       0.57        1.00          0.61      0.52     720.00
tra_qsr             0.2309125E+00    0.55             0.23       0.56        1.01          0.60      0.49     720.00
wzv                 0.1858799E+00    0.45             0.19       0.46        1.02          0.54      0.30    1440.00
eos-insitu          0.1790123E+00    0.43             0.18       0.44        1.01          0.49      0.37     720.00
eos-pot             0.1785694E+00    0.43             0.18       0.43        1.01          0.46      0.38     720.00
sbc                 0.1728860E+00    0.41             0.17       0.42        0.99          0.45      0.32     720.00
p2z_sms             0.1170143E+00    0.28             0.11       0.26        0.93          0.43      0.15     720.00
dyn_hpg             0.9170724E-01    0.22             0.09       0.22        1.01          0.27      0.16     720.00
dyn_zad             0.9066783E-01    0.22             0.09       0.22        1.01          0.25      0.16     720.00
p2z_exp             0.8571413E-01    0.21             0.09       0.21        1.01          0.35      0.10     720.00
trc_sbc             0.8461748E-01    0.20             0.09       0.21        1.01          0.33      0.13     720.00
dyn_vor             0.7524455E-01    0.18             0.08       0.18        1.01          0.21      0.13     720.00
nemo_init           0.7422624E-01    0.18             0.05       0.13        0.72          0.18      0.17       1.00
dyn_keg             0.6795940E-01    0.16             0.07       0.17        1.02          0.20      0.11     720.00
dyn_adv             0.5704515E-01    0.14             0.05       0.13        0.96          0.19      0.10     720.00
trc_init            0.3961272E-01    0.09             0.02       0.04        0.45          0.10      0.09       1.00
p2z_sed             0.2930058E-01    0.07             0.03       0.08        1.07          0.10      0.02     720.00
day                 0.9853005E-02    0.02            -0.01      -0.02       -0.96          0.06     -0.03     720.00
trc_sms             0.4501642E-02    0.01             0.01       0.01        1.18          0.01      0.01     720.00
dom_hgr             0.1126360E-02    0.00             0.00       0.00        0.16          0.00      0.00       1.00
tra_sbc            -0.1298852E-02   -0.00             0.00       0.00       -0.55          0.04     -0.05     720.00
ssh_swp            -0.9452243E-02   -0.02            -0.01      -0.02        0.79          0.00     -0.07     720.00
dia_ar5            -0.1267190E-01   -0.03            -0.01      -0.03        0.84         -0.00     -0.08     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      41.736      |      40.530  |      0.971
    1         |      41.744      |      41.422  |      0.992
    2         |      41.744      |      41.376  |      0.991
    3         |      41.744      |      41.332  |      0.990
    4         |      41.744      |      41.346  |      0.990
    5         |      41.744      |      41.336  |      0.990
    6         |      41.744      |      41.389  |      0.991
    7         |      41.744      |      41.294  |      0.989
    8         |      41.744      |      41.360  |      0.991
    9         |      41.744      |      41.345  |      0.990
   10         |      41.744      |      41.333  |      0.990
   11         |      41.744      |      41.370  |      0.991
   12         |      41.744      |      41.337  |      0.990
   13         |      41.744      |      41.386  |      0.991
   14         |      41.744      |      41.352  |      0.991
   15         |      41.744      |      41.373  |      0.991
   16         |      41.744      |      41.373  |      0.991
   17         |      41.744      |      41.354  |      0.991
   18         |      41.744      |      41.329  |      0.990
   19         |      41.744      |      41.372  |      0.991
   20         |      41.744      |      41.397  |      0.992
   21         |      41.744      |      41.321  |      0.990
   22         |      41.744      |      41.406  |      0.992
   23         |      41.744      |      41.393  |      0.992
   24         |      41.744      |      41.376  |      0.991
   25         |      41.744      |      41.371  |      0.991
   26         |      41.744      |      41.391  |      0.992
   27         |      41.744      |      41.374  |      0.991
   28         |      41.744      |      41.381  |      0.991
   29         |      41.744      |      41.344  |      0.990
   30         |      41.744      |      41.364  |      0.991
   31         |      41.744      |      41.371  |      0.991
   32         |      41.744      |      41.360  |      0.991
   33         |      41.744      |      41.385  |      0.991
   34         |      41.744      |      41.377  |      0.991
   35         |      41.744      |      41.320  |      0.990
   36         |      41.744      |      41.347  |      0.991
   37         |      41.744      |      41.346  |      0.990
   38         |      41.744      |      41.347  |      0.991
   39         |      41.744      |      41.351  |      0.991
   40         |      41.743      |      41.386  |      0.991
   41         |      41.743      |      41.378  |      0.991
   42         |      41.743      |      41.387  |      0.991
   43         |      41.743      |      41.365  |      0.991
   44         |      41.743      |      41.384  |      0.991
   45         |      41.743      |      41.378  |      0.991
   46         |      41.743      |      41.325  |      0.990
   47         |      41.743      |      41.353  |      0.991
   48         |      41.743      |      41.377  |      0.991
   49         |      41.743      |      41.349  |      0.991
   50         |      41.743      |      41.351  |      0.991
   51         |      41.743      |      41.415  |      0.992
   52         |      41.743      |      41.418  |      0.992
   53         |      41.743      |      41.399  |      0.992
   54         |      41.743      |      41.434  |      0.993
   55         |      41.743      |      41.431  |      0.993
   56         |      41.743      |      41.390  |      0.992
   57         |      41.743      |      41.439  |      0.993
   58         |      41.743      |      41.416  |      0.992
   59         |      41.743      |      41.396  |      0.992
   60         |      41.743      |      41.401  |      0.992
   61         |      41.743      |      41.348  |      0.991
   62         |      41.743      |      41.431  |      0.993
   63         |      41.743      |      41.377  |      0.991
   64         |      41.743      |      41.381  |      0.991
   65         |      41.743      |      41.377  |      0.991
   66         |      41.743      |      41.390  |      0.992
   67         |      41.743      |      41.389  |      0.992
   68         |      41.743      |      41.372  |      0.991
   69         |      41.743      |      41.399  |      0.992
   70         |      41.743      |      41.367  |      0.991
   71         |      41.743      |      41.363  |      0.991
   72         |      41.743      |      41.367  |      0.991
   73         |      41.743      |      41.342  |      0.990
   74         |      41.743      |      41.401  |      0.992
   75         |      41.743      |      41.391  |      0.992
   76         |      41.743      |      41.410  |      0.992
   77         |      41.743      |      41.380  |      0.991
   78         |      41.743      |      41.392  |      0.992
   79         |      41.743      |      41.381  |      0.991
   80         |      41.743      |      41.389  |      0.992
   81         |      41.743      |      41.360  |      0.991
   82         |      41.743      |      41.422  |      0.992
   83         |      41.743      |      41.352  |      0.991
   84         |      41.743      |      41.428  |      0.992
   85         |      41.743      |      41.421  |      0.992
   86         |      41.743      |      41.323  |      0.990
   87         |      41.743      |      41.338  |      0.990
   88         |      41.743      |      41.384  |      0.991
   89         |      41.743      |      41.372  |      0.991
   90         |      41.743      |      41.426  |      0.992
   91         |      41.743      |      41.441  |      0.993
   92         |      41.743      |      41.465  |      0.993
   93         |      41.743      |      41.404  |      0.992
   94         |      41.743      |      41.412  |      0.992
   95         |      41.743      |      41.355  |      0.991
   96         |      41.743      |      41.383  |      0.991
   97         |      41.743      |      41.435  |      0.993
   98         |      41.743      |      41.434  |      0.993
   99         |      41.743      |      41.412  |      0.992
  100         |      41.743      |      41.417  |      0.992
  101         |      41.743      |      41.400  |      0.992
  102         |      41.743      |      41.418  |      0.992
  103         |      41.743      |      41.403  |      0.992
  104         |      41.743      |      41.399  |      0.992
  105         |      41.743      |      41.396  |      0.992
  106         |      41.743      |      41.462  |      0.993
  107         |      41.743      |      41.379  |      0.991
  108         |      41.743      |      41.449  |      0.993
  109         |      41.743      |      41.412  |      0.992
  110         |      41.743      |      41.386  |      0.991
  111         |      41.743      |      41.402  |      0.992
  112         |      41.743      |      41.339  |      0.990
  113         |      41.743      |      41.364  |      0.991
  114         |      41.743      |      41.396  |      0.992
  115         |      41.743      |      41.360  |      0.991
  116         |      41.743      |      41.387  |      0.991
  117         |      41.743      |      41.430  |      0.993
  118         |      41.743      |      41.379  |      0.991
  119         |      41.743      |      41.356  |      0.991
  120         |      41.743      |      41.351  |      0.991
  121         |      41.743      |      41.376  |      0.991
  122         |      41.743      |      41.396  |      0.992
  123         |      41.743      |      41.361  |      0.991
  124         |      41.743      |      41.404  |      0.992
  125         |      41.743      |      41.370  |      0.991
  126         |      41.743      |      41.407  |      0.992
  127         |      41.743      |      41.387  |      0.991
  128         |      41.743      |      41.419  |      0.992
  129         |      41.743      |      41.383  |      0.991
  130         |      41.743      |      41.428  |      0.992
  131         |      41.743      |      41.404  |      0.992
  132         |      41.743      |      41.488  |      0.994
  133         |      41.743      |      41.466  |      0.993
  134         |      41.743      |      41.395  |      0.992
  135         |      41.743      |      41.342  |      0.990
  136         |      41.743      |      41.391  |      0.992
  137         |      41.743      |      41.379  |      0.991
