 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        11394.680    10940.996
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.2604375E+01   20.48             2.58      21.10        0.99         21.50     18.09     720.00
trc_stp             0.1482319E+01   11.66             1.41      11.52        0.95         18.69      7.87     720.00
stp                 0.1153821E+01    9.07             0.97       7.94        0.84         11.53      7.52     720.00
dyn_spg             0.1121425E+01    8.82             1.10       9.05        0.99         10.81      7.73     720.00
tra_adv             0.9321876E+00    7.33             0.93       7.62        1.00          8.24      6.06     720.00
trc_nxt             0.7470305E+00    5.87             0.75       6.14        1.00          7.80      2.92     720.00
trc_ldf             0.6329983E+00    4.98             0.63       5.17        1.00          6.07      4.28     720.00
zdf_phy             0.5591464E+00    4.40             0.56       4.55        0.99          5.18      2.79     720.00
ldf_slp             0.4998648E+00    3.93             0.50       4.09        1.00          5.37      2.67     720.00
dia_wri             0.2698145E+00    2.12             0.12       0.99        0.45          2.71      1.19     720.00
tra_nxt             0.2679915E+00    2.11             0.27       2.21        1.00          2.89      1.10     720.00
tra_ldf             0.2442313E+00    1.92             0.25       2.02        1.01          2.29      1.66     720.00
p2z_opt             0.2236863E+00    1.76             0.22       1.83        1.00          2.00      1.49     720.00
rab_3d              0.1977672E+00    1.56             0.20       1.66        1.03          1.75      1.33    1440.00
dyn_nxt             0.1820133E+00    1.43             0.18       1.51        1.01          2.17      0.98     720.00
nemo_init           0.1731499E+00    1.36             0.13       1.09        0.77          1.38      1.33       1.00
sbc                 0.1382901E+00    1.09             0.14       1.14        1.01          1.35      0.87     720.00
trc_zdf             0.1373295E+00    1.08             0.14       1.15        1.03          1.45      0.84     720.00
div_hor             0.1321025E+00    1.04             0.14       1.12        1.04          1.73      0.71    1441.00
p2z_exp             0.1238177E+00    0.97             0.13       1.03        1.01          2.44      0.29     720.00
trc_sbc             0.1203473E+00    0.95             0.12       0.99        1.01          1.71      0.56     720.00
trc_init            0.9706096E-01    0.76             0.04       0.34        0.43          0.76      0.76       1.00
eos-insitu          0.8964168E-01    0.70             0.09       0.75        1.03          0.84      0.48     720.00
ssh_nxt             0.8694634E-01    0.68             0.09       0.73        1.03          1.39      0.40     720.00
dyn_zdf             0.7628522E-01    0.60             0.08       0.64        1.03          0.73      0.48     720.00
eos-pot             0.7354176E-01    0.58             0.08       0.63        1.04          0.67      0.47     720.00
day                 0.6736020E-01    0.53             0.00       0.03        0.06          0.66      0.28     720.00
bn2                 0.5937703E-01    0.47             0.07       0.55        1.13          0.57      0.35    1440.00
tra_qsr             0.5934383E-01    0.47             0.06       0.51        1.06          0.55      0.36     720.00
tra_zdf             0.5816213E-01    0.46             0.06       0.50        1.06          0.55      0.37     720.00
p2z_bio             0.5633131E-01    0.44             0.06       0.48        1.05          0.53      0.32     720.00
dyn_ldf             0.4794667E-01    0.38             0.05       0.42        1.06          0.46      0.32     720.00
trc_trp             0.4040494E-01    0.32             0.02       0.20        0.61          0.44      0.27     720.00
p2z_sms             0.2409488E-01    0.19             0.01       0.11        0.54          0.34      0.16     720.00
wzv                 0.2214091E-01    0.17             0.03       0.24        1.30          0.21      0.12    1440.00
dyn_vor             0.2105754E-01    0.17             0.02       0.20        1.14          0.20      0.13     720.00
dyn_zad             0.2057762E-01    0.16             0.02       0.20        1.17          0.20      0.13     720.00
dyn_hpg             0.1844384E-01    0.15             0.02       0.18        1.18          0.17      0.11     720.00
dyn_keg             0.1252707E-01    0.10             0.02       0.13        1.29          0.12      0.07     720.00
dyn_adv             0.1218041E-01    0.10             0.01       0.07        0.67          0.13      0.08     720.00
p2z_sed             0.8563629E-02    0.07             0.01       0.10        1.39          0.08      0.04     720.00
trc_sms             0.3786796E-02    0.03             0.00       0.03        0.99          0.03      0.03     720.00
tra_sbc             0.2321078E-02    0.02             0.01       0.05        2.72          0.03     -0.01     720.00
dom_hgr             0.2957322E-04    0.00             0.00       0.00        0.30          0.00      0.00       1.00
ssh_swp            -0.9430655E-03   -0.01             0.00       0.02       -2.60          0.00     -0.04     720.00
dia_ar5            -0.1401151E-02   -0.01             0.00       0.02       -1.65         -0.00     -0.04     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      12.708      |      11.360  |      0.894
    1         |      12.717      |      12.140  |      0.955
    2         |      12.717      |      12.192  |      0.959
    3         |      12.717      |      12.176  |      0.957
    4         |      12.717      |      12.236  |      0.962
    5         |      12.717      |      12.188  |      0.958
    6         |      12.717      |      12.200  |      0.959
    7         |      12.717      |      12.132  |      0.954
    8         |      12.717      |      12.244  |      0.963
    9         |      12.717      |      12.276  |      0.965
   10         |      12.717      |      12.228  |      0.962
   11         |      12.717      |      12.168  |      0.957
   12         |      12.717      |      12.204  |      0.960
   13         |      12.717      |      12.308  |      0.968
   14         |      12.717      |      12.288  |      0.966
   15         |      12.717      |      12.108  |      0.952
   16         |      12.717      |      12.184  |      0.958
   17         |      12.717      |      12.196  |      0.959
   18         |      12.717      |      12.144  |      0.955
   19         |      12.717      |      12.212  |      0.960
   20         |      12.717      |      12.196  |      0.959
   21         |      12.717      |      12.376  |      0.973
   22         |      12.717      |      12.140  |      0.955
   23         |      12.717      |      12.352  |      0.971
   24         |      12.717      |      12.316  |      0.968
   25         |      12.717      |      12.308  |      0.968
   26         |      12.717      |      12.408  |      0.976
   27         |      12.717      |      12.228  |      0.962
   28         |      12.717      |      12.200  |      0.959
   29         |      12.717      |      12.164  |      0.956
   30         |      12.717      |      12.228  |      0.962
   31         |      12.717      |      12.300  |      0.967
   32         |      12.717      |      12.232  |      0.962
   33         |      12.717      |      12.208  |      0.960
   34         |      12.717      |      12.212  |      0.960
   35         |      12.717      |      12.232  |      0.962
   36         |      12.717      |      12.172  |      0.957
   37         |      12.717      |      12.156  |      0.956
   38         |      12.717      |      12.332  |      0.970
   39         |      12.717      |      12.304  |      0.968
   40         |      12.717      |      12.208  |      0.960
   41         |      12.717      |      12.212  |      0.960
   42         |      12.717      |      12.236  |      0.962
   43         |      12.717      |      12.288  |      0.966
   44         |      12.717      |      12.332  |      0.970
   45         |      12.717      |      12.208  |      0.960
   46         |      12.717      |      12.236  |      0.962
   47         |      12.717      |      12.204  |      0.960
   48         |      12.717      |      12.220  |      0.961
   49         |      12.717      |      12.176  |      0.957
   50         |      12.717      |      12.236  |      0.962
   51         |      12.717      |      12.212  |      0.960
   52         |      12.717      |      12.272  |      0.965
   53         |      12.717      |      12.200  |      0.959
   54         |      12.717      |      12.320  |      0.969
   55         |      12.717      |      12.340  |      0.970
   56         |      12.717      |      12.180  |      0.958
   57         |      12.717      |      12.200  |      0.959
   58         |      12.717      |      12.216  |      0.961
   59         |      12.717      |      12.204  |      0.960
   60         |      12.717      |      12.220  |      0.961
   61         |      12.717      |      12.260  |      0.964
   62         |      12.717      |      12.244  |      0.963
   63         |      12.717      |      12.308  |      0.968
   64         |      12.717      |      12.192  |      0.959
   65         |      12.717      |      12.340  |      0.970
   66         |      12.717      |      12.308  |      0.968
   67         |      12.717      |      12.216  |      0.961
   68         |      12.717      |      12.184  |      0.958
   69         |      12.717      |      12.300  |      0.967
   70         |      12.717      |      12.296  |      0.967
   71         |      12.717      |      12.192  |      0.959
   72         |      12.717      |      12.224  |      0.961
   73         |      12.717      |      12.188  |      0.958
   74         |      12.717      |      12.232  |      0.962
   75         |      12.717      |      12.168  |      0.957
   76         |      12.717      |      12.180  |      0.958
   77         |      12.717      |      12.232  |      0.962
   78         |      12.717      |      12.224  |      0.961
   79         |      12.717      |      12.252  |      0.963
   80         |      12.717      |      12.352  |      0.971
   81         |      12.717      |      12.224  |      0.961
   82         |      12.717      |      12.244  |      0.963
   83         |      12.717      |      12.332  |      0.970
   84         |      12.717      |      12.252  |      0.963
   85         |      12.717      |      12.220  |      0.961
   86         |      12.717      |      12.344  |      0.971
   87         |      12.717      |      12.192  |      0.959
   88         |      12.717      |      12.232  |      0.962
   89         |      12.717      |      12.184  |      0.958
   90         |      12.717      |      12.188  |      0.958
   91         |      12.717      |      12.224  |      0.961
   92         |      12.717      |      12.204  |      0.960
   93         |      12.717      |      12.196  |      0.959
   94         |      12.717      |      12.216  |      0.961
   95         |      12.717      |      12.212  |      0.960
   96         |      12.717      |      12.200  |      0.959
   97         |      12.717      |      12.264  |      0.964
   98         |      12.717      |      12.304  |      0.968
   99         |      12.717      |      12.180  |      0.958
  100         |      12.717      |      12.228  |      0.962
  101         |      12.717      |      12.192  |      0.959
  102         |      12.717      |      12.216  |      0.961
  103         |      12.717      |      12.228  |      0.962
  104         |      12.717      |      12.144  |      0.955
  105         |      12.717      |      12.184  |      0.958
  106         |      12.717      |      12.348  |      0.971
  107         |      12.717      |      12.332  |      0.970
