 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        18322.582    17010.884
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.1995204E+01   19.51             1.97      20.72        0.99         20.84     -8.89     720.00
stp                 0.1255649E+01   12.28             1.03      10.86        0.82        801.99      9.64     720.00
trc_stp             0.1218878E+01   11.92             1.11      11.66        0.91         42.45      6.88     720.00
dyn_spg             0.1088510E+01   10.65             1.07      11.32        0.99         11.90    -18.13     720.00
tra_adv             0.7004806E+00    6.85             0.70       7.38        1.00          7.78    -21.35     720.00
trc_nxt             0.6793279E+00    6.64             0.68       7.13        1.00          9.03    -23.68     720.00
zdf_phy             0.4988165E+00    4.88             0.46       4.89        0.93          5.65    -23.50     720.00
trc_ldf             0.4073790E+00    3.98             0.41       4.28        1.00          4.83    -24.07     720.00
ldf_slp             0.3681880E+00    3.60             0.37       3.85        0.99          4.56    -24.60     720.00
dia_wri             0.3112183E+00    3.04             0.06       0.65        0.20          4.08    -24.56     720.00
tra_nxt             0.2679744E+00    2.62             0.27       2.83        1.00          3.33    -25.96     720.00
trc_init            0.1775646E+00    1.74             0.06       0.68        0.37          1.74      1.70       1.00
sbc                 0.1482466E+00    1.45             0.15       1.60        1.02          2.01    -26.61     720.00
tra_ldf             0.1428065E+00    1.40             0.15       1.54        1.02          1.68    -26.72     720.00
p2z_exp             0.1355581E+00    1.33             0.14       1.44        1.01          3.93    -27.52     720.00
dyn_nxt             0.1253145E+00    1.23             0.13       1.35        1.02          2.24    -27.17     720.00
trc_sbc             0.1058973E+00    1.04             0.11       1.13        1.01          1.94    -27.54     720.00
div_hor             0.9415083E-01    0.92             0.10       1.06        1.07          1.43    -55.60    1441.00
day                 0.9326300E-01    0.91             0.00       0.01        0.01          1.25    -27.44     720.00
nemo_init           0.6484267E-01    0.63             0.05       0.53        0.78          0.76      0.60       1.00
ssh_nxt             0.6114982E-01    0.60             0.06       0.68        1.05          1.13    -27.69     720.00
trc_zdf             0.5183218E-01    0.51             0.05       0.58        1.06          0.69    -27.71     720.00
p2z_opt             0.5020758E-01    0.49             0.05       0.55        1.05          0.89    -27.82     720.00
trc_trp             0.4765435E-01    0.47             0.03       0.32        0.63        113.31      0.27     720.00
rab_3d              0.4293593E-01    0.42             0.05       0.54        1.19          0.70    -56.07    1440.00
dyn_zdf             0.3856986E-01    0.38             0.04       0.44        1.08          0.52    -27.84     720.00
p2z_bio             0.3428827E-01    0.34             0.04       0.40        1.10          0.47    -27.88     720.00
p2z_sms             0.3251820E-01    0.32             0.02       0.21        0.60         84.95      0.18     720.00
tra_qsr             0.2998019E-01    0.29             0.03       0.36        1.12          0.41    -27.93     720.00
dyn_ldf             0.2270844E-01    0.22             0.03       0.27        1.14          0.33    -27.99     720.00
tra_zdf             0.2169882E-01    0.21             0.03       0.27        1.19          0.32    -28.00     720.00
bn2                 0.2129307E-01    0.21             0.03       0.31        1.39          0.39    -56.23    1440.00
dyn_adv             0.1383569E-01    0.14             0.01       0.10        0.69         28.35      0.09     720.00
eos-pot             0.1165192E-01    0.11             0.02       0.16        1.32          0.25    -28.14     720.00
eos-insitu          0.1110599E-01    0.11             0.02       0.16        1.35          0.24    -28.15     720.00
dyn_vor             0.1022358E-01    0.10             0.01       0.15        1.37          0.18    -28.12     720.00
dyn_zad             0.7119804E-02    0.07             0.01       0.12        1.55          0.14    -28.14     720.00
dyn_hpg             0.4193757E-02    0.04             0.01       0.08        1.89          0.15    -28.17     720.00
trc_sms             0.3580187E-02    0.04             0.00       0.04        1.01          0.04      0.03     720.00
dyn_keg             0.2623383E-02    0.03             0.01       0.07        2.55          0.08    -28.18     720.00
wzv                 0.2956172E-03    0.00             0.01       0.09       28.23          0.12    -56.43    1440.00
dom_hgr             0.2143606E-04    0.00             0.00       0.00        0.21          0.00     -0.04       1.00
p2z_sed            -0.2323951E-02   -0.02             0.00       0.02       -0.69          0.03    -28.24     720.00
tra_sbc            -0.3232248E-02   -0.03             0.00       0.01       -0.26          0.02    -28.25     720.00
ssh_swp            -0.4914712E-02   -0.05            -0.00      -0.01        0.18         -0.00    -28.26     720.00
dia_ar5            -0.5023183E-02   -0.05            -0.00      -0.01        0.17         -0.00    -28.26     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      10.214      |       8.396  |      0.822
    1         |      10.225      |       9.684  |      0.947
    2         |      10.225      |       9.500  |      0.929
    3         |      10.225      |       9.424  |      0.922
    4         |      10.225      |       9.508  |      0.930
    5         |      10.225      |       9.416  |      0.921
    6         |      10.225      |       9.432  |      0.922
    7         |      10.225      |       9.496  |      0.929
    8         |      10.225      |       9.428  |      0.922
    9         |      10.225      |       9.428  |      0.922
   10         |      10.225      |       9.492  |      0.928
   11         |      10.225      |       9.496  |      0.929
   12         |      10.225      |       9.460  |      0.925
   13         |      10.225      |       9.444  |      0.924
   14         |      10.225      |       9.416  |      0.921
   15         |      10.225      |       9.464  |      0.926
   16         |      10.225      |       9.412  |      0.921
   17         |      10.225      |       9.480  |      0.927
   18         |      10.225      |       9.436  |      0.923
   19         |      10.225      |       9.664  |      0.945
   20         |      10.225      |       9.612  |      0.940
   21         |      10.225      |       9.596  |      0.939
   22         |      10.225      |       9.572  |      0.936
   23         |      10.225      |       9.440  |      0.923
   24         |      10.225      |       9.620  |      0.941
   25         |      10.225      |       9.628  |      0.942
   26         |      10.225      |       9.488  |      0.928
   27         |      10.225      |       9.512  |      0.930
   28         |      10.225      |       9.372  |      0.917
   29         |      10.225      |       9.364  |      0.916
   30         |      10.225      |       9.428  |      0.922
   31         |      10.225      |       9.332  |      0.913
   32         |      10.225      |       9.440  |      0.923
   33         |      10.225      |       9.472  |      0.926
   34         |      10.225      |       9.460  |      0.925
   35         |      10.225      |       9.400  |      0.919
   36         |      10.225      |       9.376  |      0.917
   37         |      10.225      |       9.476  |      0.927
   38         |      10.225      |       9.388  |      0.918
   39         |      10.225      |       9.428  |      0.922
   40         |      10.225      |       9.480  |      0.927
   41         |      10.225      |       9.448  |      0.924
   42         |      10.225      |       9.452  |      0.924
   43         |      10.225      |       9.432  |      0.922
   44         |      10.225      |       9.472  |      0.926
   45         |      10.225      |       9.536  |      0.933
   46         |      10.225      |       9.420  |      0.921
   47         |      10.225      |       9.436  |      0.923
   48         |      10.225      |       9.456  |      0.925
   49         |      10.225      |       9.576  |      0.937
   50         |      10.225      |       9.524  |      0.931
   51         |      10.225      |       9.652  |      0.944
   52         |      10.225      |       9.540  |      0.933
   53         |      10.225      |       9.524  |      0.931
   54         |      10.225      |       9.624  |      0.941
   55         |      10.225      |       9.608  |      0.940
   56         |      10.225      |       9.428  |      0.922
   57         |      10.225      |       9.360  |      0.915
   58         |      10.225      |       9.356  |      0.915
   59         |      10.225      |       9.416  |      0.921
   60         |      10.225      |       9.472  |      0.926
   61         |      10.225      |       9.412  |      0.921
   62         |      10.225      |       9.424  |      0.922
   63         |      10.225      |       9.384  |      0.918
   64         |      10.225      |       9.384  |      0.918
   65         |      10.225      |       9.416  |      0.921
   66         |      10.225      |       9.472  |      0.926
   67         |      10.225      |       9.564  |      0.935
   68         |      10.225      |       9.452  |      0.924
   69         |      10.225      |       9.432  |      0.922
   70         |      10.225      |       9.608  |      0.940
   71         |      10.225      |       9.396  |      0.919
   72         |      10.225      |       9.408  |      0.920
   73         |      10.225      |       9.360  |      0.915
   74         |      10.225      |       9.524  |      0.931
   75         |      10.225      |       9.440  |      0.923
   76         |      10.225      |       9.336  |      0.913
   77         |      10.225      |       9.340  |      0.913
   78         |      10.225      |       9.376  |      0.917
   79         |      10.225      |       9.420  |      0.921
   80         |      10.225      |       9.408  |      0.920
   81         |      10.225      |       9.412  |      0.921
   82         |      10.225      |       9.640  |      0.943
   83         |      10.225      |       9.492  |      0.928
   84         |      10.225      |       9.444  |      0.924
   85         |      10.225      |       9.416  |      0.921
   86         |      10.225      |       9.396  |      0.919
   87         |      10.225      |       9.376  |      0.917
   88         |      10.225      |       9.472  |      0.926
   89         |      10.225      |       9.452  |      0.924
   90         |      10.225      |       9.380  |      0.917
   91         |      10.225      |       9.380  |      0.917
   92         |      10.225      |       9.440  |      0.923
   93         |      10.225      |       9.468  |      0.926
   94         |      10.225      |       9.380  |      0.917
   95         |      10.225      |       9.404  |      0.920
   96         |      10.225      |       9.360  |      0.915
   97         |      10.225      |       9.408  |      0.920
   98         |      10.225      |       9.448  |      0.924
   99         |      10.225      |       9.388  |      0.918
  100         |      10.225      |       9.356  |      0.915
  101         |      10.225      |       9.412  |      0.921
  102         |      10.225      |       9.408  |      0.920
  103         |      10.225      |       9.440  |      0.923
  104         |      10.225      |       9.404  |      0.920
  105         |      10.225      |       9.400  |      0.919
  106         |      10.225      |       9.532  |      0.932
  107         |      10.225      |       9.476  |      0.927
  108         |      10.225      |       9.412  |      0.921
  109         |      10.225      |       9.448  |      0.924
  110         |      10.225      |       9.380  |      0.917
