 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         7032.288     6921.900
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.6193445E+01   19.73             6.16      19.94        0.99         19.99     19.20     720.00
trc_ldf             0.3724765E+01   11.86             3.73      12.07        1.00         12.59     11.25     720.00
tra_adv             0.2759498E+01    8.79             2.75       8.89        1.00          9.11      8.28     720.00
trc_stp             0.2490978E+01    7.93             2.42       7.82        0.97         10.15      6.58     720.00
trc_nxt             0.2080634E+01    6.63             2.08       6.73        1.00          7.67      5.48     720.00
stp                 0.1860793E+01    5.93             1.67       5.41        0.90          7.08      5.23     720.00
zdf_phy             0.1705186E+01    5.43             1.70       5.49        0.99          5.95      4.88     720.00
tra_ldf             0.1603414E+01    5.11             1.61       5.20        1.00          5.37      4.85     720.00
dyn_spg             0.1261048E+01    4.02             1.25       4.03        0.99          4.66      3.71     720.00
ldf_slp             0.1074490E+01    3.42             1.07       3.48        1.00          4.06      2.97     720.00
trc_zdf             0.8504100E+00    2.71             0.85       2.74        1.00          2.88      2.35     720.00
dia_wri             0.5472772E+00    1.74             0.45       1.45        0.82          1.92      1.49     720.00
dyn_nxt             0.5279287E+00    1.68             0.53       1.72        1.00          1.88      1.36     720.00
tra_nxt             0.4288793E+00    1.37             0.43       1.39        1.00          1.62      1.01     720.00
p2z_opt             0.3945103E+00    1.26             0.40       1.28        1.00          1.33      1.16     720.00
dyn_zdf             0.3784380E+00    1.21             0.38       1.23        1.00          1.27      1.11     720.00
rab_3d              0.3730224E+00    1.19             0.38       1.22        1.01          1.28      1.05    1440.00
bn2                 0.3312506E+00    1.06             0.33       1.08        1.01          1.29      0.82    1440.00
tra_zdf             0.2965199E+00    0.94             0.30       0.96        1.00          1.01      0.86     720.00
div_hor             0.2809981E+00    0.90             0.29       0.93        1.03          1.00      0.77    1441.00
p2z_bio             0.2644587E+00    0.84             0.27       0.86        1.00          0.98      0.53     720.00
ssh_nxt             0.2088818E+00    0.67             0.21       0.68        1.01          0.79      0.54     720.00
dyn_ldf             0.2061748E+00    0.66             0.21       0.67        1.01          0.71      0.57     720.00
tra_qsr             0.1941362E+00    0.62             0.20       0.64        1.02          0.72      0.56     720.00
sbc                 0.1683612E+00    0.54             0.17       0.54        0.99          0.63      0.35     720.00
eos-insitu          0.1604916E+00    0.51             0.16       0.52        1.01          0.58      0.43     720.00
eos-pot             0.1586915E+00    0.51             0.16       0.52        1.02          0.57      0.45     720.00
wzv                 0.1561954E+00    0.50             0.16       0.52        1.04          0.55      0.39    1440.00
trc_sbc             0.1409522E+00    0.45             0.14       0.45        0.99          0.97      0.24     720.00
trc_trp             0.1407089E+00    0.45             0.12       0.39        0.86          0.57      0.39     720.00
p2z_exp             0.1081830E+00    0.34             0.11       0.36        1.03          1.05      0.13     720.00
trc_init            0.8960957E-01    0.29             0.02       0.05        0.18          0.29      0.29       1.00
dyn_zad             0.8541333E-01    0.27             0.09       0.29        1.05          0.30      0.25     720.00
dyn_hpg             0.7674970E-01    0.24             0.08       0.26        1.05          0.37      0.20     720.00
nemo_init           0.7669886E-01    0.24             0.06       0.19        0.78          0.25      0.23       1.00
dyn_vor             0.7015881E-01    0.22             0.07       0.24        1.06          0.23      0.20     720.00
dyn_keg             0.6468707E-01    0.21             0.07       0.22        1.05          0.23      0.18     720.00
day                 0.6146030E-01    0.20             0.00       0.01        0.06          0.24      0.12     720.00
p2z_sms             0.5060388E-01    0.16             0.04       0.12        0.75          0.24      0.13     720.00
dyn_adv             0.3409895E-01    0.11             0.03       0.10        0.86          0.14      0.09     720.00
p2z_sed             0.2864695E-01    0.09             0.03       0.11        1.16          0.13      0.08     720.00
tra_sbc             0.1149608E-01    0.04             0.02       0.05        1.32          0.07      0.02     720.00
trc_sms             0.4655689E-02    0.01             0.00       0.01        0.98          0.02      0.01     720.00
ssh_swp             0.9116339E-03    0.00             0.00       0.02        5.43          0.01     -0.01     720.00
dom_hgr             0.4551028E-04    0.00             0.00       0.00        1.96          0.00      0.00       1.00
dia_ar5            -0.1346244E-02   -0.00             0.00       0.01       -1.80         -0.00     -0.02     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      31.386      |      29.956  |      0.954
    1         |      31.394      |      30.948  |      0.986
    2         |      31.394      |      30.952  |      0.986
    3         |      31.394      |      30.932  |      0.985
    4         |      31.394      |      30.852  |      0.983
    5         |      31.394      |      30.900  |      0.984
    6         |      31.394      |      30.920  |      0.985
    7         |      31.394      |      30.932  |      0.985
    8         |      31.394      |      30.872  |      0.983
    9         |      31.394      |      30.904  |      0.984
   10         |      31.394      |      30.884  |      0.984
   11         |      31.394      |      30.836  |      0.982
   12         |      31.394      |      30.888  |      0.984
   13         |      31.394      |      30.904  |      0.984
   14         |      31.394      |      30.904  |      0.984
   15         |      31.394      |      30.880  |      0.984
   16         |      31.394      |      30.940  |      0.986
   17         |      31.394      |      30.860  |      0.983
   18         |      31.394      |      30.916  |      0.985
   19         |      31.394      |      30.892  |      0.984
   20         |      31.394      |      30.884  |      0.984
   21         |      31.394      |      30.892  |      0.984
   22         |      31.394      |      30.896  |      0.984
   23         |      31.394      |      30.908  |      0.985
   24         |      31.394      |      30.936  |      0.985
   25         |      31.394      |      30.836  |      0.982
   26         |      31.394      |      30.904  |      0.984
   27         |      31.394      |      30.908  |      0.985
   28         |      31.394      |      30.856  |      0.983
   29         |      31.394      |      30.856  |      0.983
   30         |      31.394      |      30.896  |      0.984
   31         |      31.394      |      30.876  |      0.983
   32         |      31.394      |      30.900  |      0.984
   33         |      31.394      |      30.920  |      0.985
   34         |      31.394      |      30.868  |      0.983
   35         |      31.394      |      30.856  |      0.983
   36         |      31.394      |      30.880  |      0.984
   37         |      31.394      |      30.896  |      0.984
   38         |      31.394      |      30.892  |      0.984
   39         |      31.394      |      30.860  |      0.983
   40         |      31.394      |      30.864  |      0.983
   41         |      31.394      |      30.844  |      0.982
   42         |      31.394      |      30.840  |      0.982
   43         |      31.394      |      30.852  |      0.983
   44         |      31.394      |      30.868  |      0.983
   45         |      31.394      |      30.872  |      0.983
   46         |      31.394      |      30.916  |      0.985
   47         |      31.394      |      30.908  |      0.985
   48         |      31.394      |      30.940  |      0.986
   49         |      31.394      |      30.880  |      0.984
   50         |      31.394      |      30.896  |      0.984
   51         |      31.394      |      30.892  |      0.984
   52         |      31.394      |      30.928  |      0.985
   53         |      31.394      |      30.912  |      0.985
   54         |      31.394      |      30.900  |      0.984
   55         |      31.394      |      30.880  |      0.984
   56         |      31.394      |      30.944  |      0.986
   57         |      31.394      |      30.924  |      0.985
   58         |      31.394      |      30.888  |      0.984
   59         |      31.394      |      30.932  |      0.985
   60         |      31.394      |      30.916  |      0.985
   61         |      31.394      |      30.992  |      0.987
   62         |      31.394      |      30.888  |      0.984
   63         |      31.394      |      30.908  |      0.985
   64         |      31.394      |      30.872  |      0.983
   65         |      31.394      |      30.912  |      0.985
   66         |      31.394      |      30.968  |      0.986
   67         |      31.394      |      30.952  |      0.986
   68         |      31.394      |      30.904  |      0.984
   69         |      31.394      |      30.880  |      0.984
   70         |      31.394      |      30.936  |      0.985
   71         |      31.394      |      30.916  |      0.985
   72         |      31.394      |      30.924  |      0.985
   73         |      31.394      |      30.900  |      0.984
   74         |      31.394      |      30.972  |      0.987
   75         |      31.394      |      30.892  |      0.984
   76         |      31.394      |      30.912  |      0.985
   77         |      31.394      |      30.880  |      0.984
   78         |      31.394      |      30.948  |      0.986
   79         |      31.394      |      30.940  |      0.986
   80         |      31.394      |      30.900  |      0.984
   81         |      31.394      |      30.944  |      0.986
   82         |      31.394      |      30.936  |      0.985
   83         |      31.394      |      30.968  |      0.986
   84         |      31.394      |      30.912  |      0.985
   85         |      31.394      |      30.924  |      0.985
   86         |      31.394      |      30.944  |      0.986
   87         |      31.394      |      30.932  |      0.985
   88         |      31.394      |      30.916  |      0.985
   89         |      31.394      |      30.872  |      0.983
   90         |      31.394      |      30.904  |      0.984
   91         |      31.394      |      30.916  |      0.985
   92         |      31.394      |      30.952  |      0.986
   93         |      31.394      |      30.912  |      0.985
   94         |      31.394      |      30.904  |      0.984
   95         |      31.394      |      30.964  |      0.986
   96         |      31.394      |      30.948  |      0.986
   97         |      31.394      |      30.932  |      0.985
   98         |      31.394      |      30.920  |      0.985
   99         |      31.394      |      30.996  |      0.987
  100         |      31.394      |      30.992  |      0.987
  101         |      31.394      |      30.876  |      0.983
  102         |      31.394      |      30.928  |      0.985
  103         |      31.394      |      30.860  |      0.983
  104         |      31.394      |      30.916  |      0.985
  105         |      31.394      |      30.900  |      0.984
  106         |      31.394      |      30.976  |      0.987
  107         |      31.394      |      30.964  |      0.986
