 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        36789.795    32965.460
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.1988166E+01   19.37             1.95      21.24        0.98         20.48     18.15     720.00
stp                 0.1375522E+01   13.40             1.06      11.56        0.77         15.15     11.73     720.00
trc_stp             0.1199639E+01   11.69             0.99      10.81        0.83         17.30      7.98     720.00
dyn_spg             0.1128010E+01   10.99             1.11      12.10        0.99         12.27      9.00     720.00
trc_nxt             0.8109031E+00    7.90             0.80       8.74        0.99         11.01      4.21     720.00
tra_adv             0.6929751E+00    6.75             0.69       7.51        1.00          7.37      6.10     720.00
zdf_phy             0.4384897E+00    4.27             0.40       4.37        0.92          5.72      3.65     720.00
dia_wri             0.4055743E+00    3.95             0.04       0.44        0.10          5.95      1.50     720.00
ldf_slp             0.3295295E+00    3.21             0.33       3.56        0.99          5.09      2.04     720.00
tra_nxt             0.3012479E+00    2.93             0.30       3.28        1.00          3.80      2.08     720.00
p2z_exp             0.2588628E+00    2.52             0.26       2.82        1.00          6.17      0.23     720.00
trc_init            0.2384475E+00    2.32             0.10       1.12        0.43          2.32      2.32       1.00
trc_ldf             0.2186903E+00    2.13             0.22       2.39        1.01          2.80      1.57     720.00
day                 0.1923161E+00    1.87             0.00       0.04        0.02          2.45      0.94     720.00
sbc                 0.1740426E+00    1.70             0.18       1.91        1.01          2.64      1.10     720.00
dyn_nxt             0.1194359E+00    1.16             0.12       1.33        1.02          2.07      0.66     720.00
div_hor             0.1077952E+00    1.05             0.11       1.23        1.05          2.18      0.68    1441.00
trc_sbc             0.9269701E-01    0.90             0.09       1.03        1.02          1.67      0.57     720.00
tra_ldf             0.7646848E-01    0.74             0.08       0.87        1.04          0.95      0.55     720.00
ssh_nxt             0.6904133E-01    0.67             0.07       0.78        1.04          1.79      0.28     720.00
nemo_init           0.4427284E-01    0.43             0.03       0.33        0.69          0.49      0.39       1.00
p2z_opt             0.3137724E-01    0.31             0.03       0.38        1.10          0.45      0.16     720.00
trc_trp             0.2984043E-01    0.29             0.01       0.15        0.48          0.46      0.24     720.00
rab_3d              0.2853446E-01    0.28             0.04       0.38        1.23          0.46      0.08    1440.00
trc_zdf             0.2786682E-01    0.27             0.03       0.34        1.11          0.35      0.17     720.00
tra_qsr             0.2513913E-01    0.24             0.03       0.31        1.13          0.29      0.16     720.00
dyn_zdf             0.2214794E-01    0.22             0.03       0.28        1.15          0.28      0.13     720.00
p2z_sms             0.2082116E-01    0.20             0.01       0.10        0.45          0.33      0.17     720.00
p2z_bio             0.1800202E-01    0.18             0.02       0.23        1.16          0.23      0.09     720.00
dyn_ldf             0.1347626E-01    0.13             0.02       0.18        1.26          0.17      0.06     720.00
tra_zdf             0.1268065E-01    0.12             0.02       0.18        1.29          0.16      0.05     720.00
bn2                 0.1258642E-01    0.12             0.02       0.22        1.58          0.19     -0.03    1440.00
dyn_adv             0.9454986E-02    0.09             0.01       0.06        0.59          0.14      0.08     720.00
eos-pot             0.8093451E-02    0.08             0.01       0.13        1.45          0.13      0.00     720.00
eos-insitu          0.7967916E-02    0.08             0.01       0.13        1.47          0.13      0.00     720.00
dyn_vor             0.6909726E-02    0.07             0.01       0.11        1.51          0.09      0.01     720.00
dyn_zad             0.4958817E-02    0.05             0.01       0.09        1.72          0.10     -0.01     720.00
trc_sms             0.3436226E-02    0.03             0.00       0.04        0.96          0.04      0.03     720.00
dyn_hpg             0.3277306E-02    0.03             0.01       0.07        2.10          0.05     -0.02     720.00
wzv                 0.2742176E-02    0.03             0.01       0.11        3.75          0.05     -0.06    1440.00
dyn_keg             0.2610030E-02    0.03             0.01       0.07        2.37          0.07     -0.02     720.00
p2z_sed             0.8926940E-04    0.00             0.00       0.04       42.36          0.02     -0.04     720.00
dom_hgr             0.2637951E-04    0.00             0.00       0.00        0.59          0.00      0.00       1.00
tra_sbc            -0.3106825E-03   -0.00             0.00       0.04      -11.29          0.01     -0.05     720.00
dia_ar5            -0.1504108E-02   -0.01             0.00       0.02       -1.44         -0.00     -0.06     720.00
ssh_swp            -0.1540560E-02   -0.02             0.00       0.02       -1.36         -0.00     -0.06     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      10.262      |       8.268  |      0.806
    1         |      10.265      |       9.324  |      0.908
    2         |      10.265      |       9.260  |      0.902
    3         |      10.265      |       9.272  |      0.903
    4         |      10.265      |       9.284  |      0.904
    5         |      10.265      |       9.328  |      0.909
    6         |      10.265      |       9.304  |      0.906
    7         |      10.265      |       9.340  |      0.910
    8         |      10.265      |       9.420  |      0.918
    9         |      10.265      |       9.360  |      0.912
   10         |      10.265      |       9.128  |      0.889
   11         |      10.265      |       9.324  |      0.908
   12         |      10.265      |       9.168  |      0.893
   13         |      10.265      |       9.052  |      0.882
   14         |      10.265      |       9.204  |      0.897
   15         |      10.265      |       9.104  |      0.887
   16         |      10.265      |       9.108  |      0.887
   17         |      10.265      |       9.172  |      0.894
   18         |      10.265      |       9.028  |      0.879
   19         |      10.265      |       9.156  |      0.892
   20         |      10.265      |       9.092  |      0.886
   21         |      10.265      |       9.160  |      0.892
   22         |      10.265      |       9.072  |      0.884
   23         |      10.265      |       9.044  |      0.881
   24         |      10.265      |       9.144  |      0.891
   25         |      10.265      |       9.408  |      0.917
   26         |      10.265      |       9.020  |      0.879
   27         |      10.265      |       9.132  |      0.890
   28         |      10.265      |       9.160  |      0.892
   29         |      10.265      |       9.144  |      0.891
   30         |      10.265      |       9.136  |      0.890
   31         |      10.265      |       9.152  |      0.892
   32         |      10.265      |       9.120  |      0.888
   33         |      10.265      |       9.108  |      0.887
   34         |      10.265      |       9.132  |      0.890
   35         |      10.265      |       9.132  |      0.890
   36         |      10.265      |       9.136  |      0.890
   37         |      10.265      |       9.128  |      0.889
   38         |      10.265      |       9.160  |      0.892
   39         |      10.265      |       9.204  |      0.897
   40         |      10.265      |       9.196  |      0.896
   41         |      10.265      |       9.292  |      0.905
   42         |      10.265      |       9.300  |      0.906
   43         |      10.265      |       9.176  |      0.894
   44         |      10.265      |       9.136  |      0.890
   45         |      10.265      |       9.320  |      0.908
   46         |      10.265      |       9.236  |      0.900
   47         |      10.265      |       9.372  |      0.913
   48         |      10.265      |       9.464  |      0.922
   49         |      10.265      |       9.284  |      0.904
   50         |      10.265      |       9.380  |      0.914
   51         |      10.265      |       9.312  |      0.907
   52         |      10.265      |       9.564  |      0.932
   53         |      10.265      |       9.320  |      0.908
   54         |      10.265      |       9.280  |      0.904
   55         |      10.265      |       9.536  |      0.929
   56         |      10.265      |       9.104  |      0.887
   57         |      10.265      |       9.156  |      0.892
   58         |      10.265      |       9.024  |      0.879
   59         |      10.265      |       9.208  |      0.897
   60         |      10.265      |       9.156  |      0.892
   61         |      10.265      |       9.152  |      0.892
   62         |      10.265      |       9.020  |      0.879
   63         |      10.265      |       9.044  |      0.881
   64         |      10.265      |       9.252  |      0.901
   65         |      10.265      |       9.196  |      0.896
   66         |      10.265      |       9.076  |      0.884
   67         |      10.265      |       9.272  |      0.903
   68         |      10.265      |       9.048  |      0.881
   69         |      10.265      |       9.016  |      0.878
   70         |      10.265      |       8.988  |      0.876
   71         |      10.265      |       8.980  |      0.875
   72         |      10.265      |       8.936  |      0.871
   73         |      10.265      |       8.964  |      0.873
   74         |      10.265      |       8.956  |      0.872
   75         |      10.265      |       8.840  |      0.861
   76         |      10.265      |       8.928  |      0.870
   77         |      10.265      |       8.948  |      0.872
   78         |      10.265      |       8.992  |      0.876
   79         |      10.265      |       8.944  |      0.871
   80         |      10.265      |       9.052  |      0.882
   81         |      10.265      |       8.972  |      0.874
   82         |      10.265      |       9.052  |      0.882
   83         |      10.265      |       8.944  |      0.871
   84         |      10.265      |       8.984  |      0.875
   85         |      10.265      |       9.008  |      0.878
   86         |      10.265      |       9.036  |      0.880
   87         |      10.265      |       9.112  |      0.888
   88         |      10.265      |       8.868  |      0.864
   89         |      10.265      |       8.944  |      0.871
   90         |      10.265      |       9.092  |      0.886
   91         |      10.265      |       9.012  |      0.878
   92         |      10.265      |       8.980  |      0.875
   93         |      10.265      |       9.060  |      0.883
   94         |      10.265      |       9.072  |      0.884
   95         |      10.265      |       8.892  |      0.866
   96         |      10.265      |       8.992  |      0.876
   97         |      10.265      |       8.956  |      0.872
   98         |      10.265      |       9.060  |      0.883
   99         |      10.265      |       8.912  |      0.868
  100         |      10.265      |       9.024  |      0.879
  101         |      10.265      |       9.024  |      0.879
  102         |      10.265      |       9.024  |      0.879
  103         |      10.265      |       8.992  |      0.876
  104         |      10.265      |       9.032  |      0.880
  105         |      10.265      |       9.024  |      0.879
  106         |      10.265      |       8.968  |      0.874
  107         |      10.265      |       9.220  |      0.898
  108         |      10.265      |       9.020  |      0.879
