 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
         8184.408     7978.712
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3763834E+01   20.60             3.73      20.93        0.99         21.10     19.36     720.00
trc_stp             0.1718824E+01    9.41             1.65       9.28        0.96         14.55      6.81     720.00
tra_adv             0.1613815E+01    8.83             1.61       9.02        1.00          9.13      7.87     720.00
trc_ldf             0.1358357E+01    7.44             1.36       7.65        1.00          8.38      6.60     720.00
dyn_spg             0.1323123E+01    7.24             1.31       7.35        0.99          8.51      6.70     720.00
stp                 0.1185497E+01    6.49             1.01       5.68        0.85          8.50      5.71     720.00
trc_nxt             0.1096595E+01    6.00             1.09       6.13        0.99          7.85      3.11     720.00
zdf_phy             0.9158088E+00    5.01             0.91       5.12        1.00          5.54      3.85     720.00
ldf_slp             0.7053388E+00    3.86             0.70       3.93        0.99          4.78      3.34     720.00
tra_ldf             0.5628852E+00    3.08             0.56       3.17        1.00          3.39      2.67     720.00
p2z_opt             0.3986478E+00    2.18             0.40       2.24        1.00          2.32      1.96     720.00
rab_3d              0.3461679E+00    1.89             0.35       1.95        1.00          1.99      1.66    1440.00
tra_nxt             0.3295889E+00    1.80             0.33       1.86        1.00          2.29      1.30     720.00
trc_zdf             0.3169965E+00    1.74             0.32       1.80        1.01          1.87      1.42     720.00
dia_wri             0.3007509E+00    1.65             0.21       1.17        0.69          1.82      1.27     720.00
dyn_nxt             0.2634398E+00    1.44             0.27       1.49        1.01          1.94      1.16     720.00
dyn_zdf             0.1899894E+00    1.04             0.19       1.07        1.01          1.11      0.88     720.00
div_hor             0.1678719E+00    0.92             0.18       0.98        1.04          1.17      0.74    1441.00
nemo_init           0.1576430E+00    0.86             0.12       0.67        0.75          0.88      0.85       1.00
eos-insitu          0.1409453E+00    0.77             0.15       0.81        1.03          0.81      0.66     720.00
eos-pot             0.1328055E+00    0.73             0.14       0.76        1.02          0.77      0.62     720.00
tra_zdf             0.1308259E+00    0.72             0.13       0.76        1.03          0.77      0.61     720.00
sbc                 0.1259891E+00    0.69             0.13       0.71        1.01          0.82      0.45     720.00
trc_sbc             0.1232891E+00    0.67             0.12       0.70        1.01          1.48      0.42     720.00
bn2                 0.1187467E+00    0.65             0.12       0.70        1.05          0.75      0.43    1440.00
p2z_bio             0.1168804E+00    0.64             0.12       0.67        1.03          0.71      0.46     720.00
ssh_nxt             0.1089294E+00    0.60             0.11       0.64        1.04          0.88      0.46     720.00
tra_qsr             0.1070205E+00    0.59             0.11       0.62        1.03          0.63      0.49     720.00
dyn_ldf             0.9679139E-01    0.53             0.10       0.57        1.04          0.58      0.45     720.00
trc_init            0.8826784E-01    0.48             0.03       0.15        0.31          0.48      0.48       1.00
p2z_exp             0.8193455E-01    0.45             0.08       0.47        1.03          1.34      0.22     720.00
trc_trp             0.6440271E-01    0.35             0.05       0.26        0.73          0.52      0.30     720.00
day                 0.5696416E-01    0.31             0.00       0.02        0.08          0.37      0.20     720.00
wzv                 0.5269575E-01    0.29             0.06       0.32        1.09          0.34      0.19    1440.00
dyn_hpg             0.4242002E-01    0.23             0.05       0.26        1.08          0.27      0.18     720.00
dyn_zad             0.4205418E-01    0.23             0.04       0.25        1.06          0.25      0.18     720.00
dyn_vor             0.4099009E-01    0.22             0.04       0.25        1.07          0.25      0.17     720.00
p2z_sms             0.2917406E-01    0.16             0.02       0.10        0.60          0.30      0.14     720.00
dyn_keg             0.2622745E-01    0.14             0.03       0.17        1.13          0.15      0.10     720.00
dyn_adv             0.1696905E-01    0.09             0.01       0.07        0.76          0.14      0.08     720.00
p2z_sed             0.1634452E-01    0.09             0.02       0.11        1.16          0.10      0.03     720.00
tra_sbc             0.4256633E-02    0.02             0.01       0.04        1.79          0.04     -0.02     720.00
trc_sms             0.3938669E-02    0.02             0.00       0.02        0.98          0.03      0.02     720.00
dom_hgr             0.3907191E-04    0.00             0.00       0.00        0.46          0.00      0.00       1.00
ssh_swp            -0.4856645E-03   -0.00             0.00       0.02       -6.95          0.00     -0.05     720.00
dia_ar5            -0.1460017E-02   -0.01             0.00       0.01       -1.63         -0.00     -0.05     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      18.266      |      17.196  |      0.941
    1         |      18.269      |      17.844  |      0.977
    2         |      18.269      |      17.792  |      0.974
    3         |      18.269      |      17.868  |      0.978
    4         |      18.269      |      17.864  |      0.978
    5         |      18.269      |      17.832  |      0.976
    6         |      18.269      |      17.868  |      0.978
    7         |      18.269      |      17.860  |      0.978
    8         |      18.269      |      17.856  |      0.977
    9         |      18.269      |      17.840  |      0.977
   10         |      18.269      |      17.816  |      0.975
   11         |      18.269      |      17.832  |      0.976
   12         |      18.269      |      17.860  |      0.978
   13         |      18.269      |      17.872  |      0.978
   14         |      18.269      |      17.868  |      0.978
   15         |      18.269      |      17.864  |      0.978
   16         |      18.269      |      17.844  |      0.977
   17         |      18.269      |      17.852  |      0.977
   18         |      18.269      |      17.832  |      0.976
   19         |      18.269      |      17.856  |      0.977
   20         |      18.269      |      17.856  |      0.977
   21         |      18.269      |      17.840  |      0.977
   22         |      18.269      |      17.828  |      0.976
   23         |      18.269      |      17.916  |      0.981
   24         |      18.269      |      17.860  |      0.978
   25         |      18.269      |      17.804  |      0.975
   26         |      18.269      |      17.892  |      0.979
   27         |      18.269      |      17.884  |      0.979
   28         |      18.269      |      17.824  |      0.976
   29         |      18.269      |      17.764  |      0.972
   30         |      18.269      |      17.812  |      0.975
   31         |      18.269      |      17.800  |      0.974
   32         |      18.269      |      17.800  |      0.974
   33         |      18.269      |      17.808  |      0.975
   34         |      18.269      |      17.832  |      0.976
   35         |      18.269      |      17.832  |      0.976
   36         |      18.269      |      17.828  |      0.976
   37         |      18.269      |      17.780  |      0.973
   38         |      18.269      |      17.852  |      0.977
   39         |      18.269      |      17.828  |      0.976
   40         |      18.269      |      17.848  |      0.977
   41         |      18.269      |      17.852  |      0.977
   42         |      18.269      |      17.848  |      0.977
   43         |      18.269      |      17.812  |      0.975
   44         |      18.269      |      17.848  |      0.977
   45         |      18.269      |      17.884  |      0.979
   46         |      18.269      |      17.832  |      0.976
   47         |      18.269      |      17.828  |      0.976
   48         |      18.269      |      17.840  |      0.977
   49         |      18.269      |      17.816  |      0.975
   50         |      18.269      |      17.804  |      0.975
   51         |      18.269      |      17.788  |      0.974
   52         |      18.269      |      17.828  |      0.976
   53         |      18.269      |      17.828  |      0.976
   54         |      18.269      |      17.820  |      0.975
   55         |      18.269      |      17.868  |      0.978
   56         |      18.269      |      17.832  |      0.976
   57         |      18.269      |      17.780  |      0.973
   58         |      18.269      |      17.748  |      0.971
   59         |      18.269      |      17.812  |      0.975
   60         |      18.269      |      17.832  |      0.976
   61         |      18.269      |      17.860  |      0.978
   62         |      18.269      |      17.840  |      0.977
   63         |      18.269      |      17.764  |      0.972
   64         |      18.269      |      17.820  |      0.975
   65         |      18.269      |      17.820  |      0.975
   66         |      18.269      |      17.832  |      0.976
   67         |      18.269      |      17.824  |      0.976
   68         |      18.269      |      17.852  |      0.977
   69         |      18.269      |      17.876  |      0.978
   70         |      18.269      |      17.796  |      0.974
   71         |      18.269      |      17.868  |      0.978
   72         |      18.269      |      17.796  |      0.974
   73         |      18.269      |      17.896  |      0.980
   74         |      18.269      |      17.820  |      0.975
   75         |      18.269      |      17.812  |      0.975
   76         |      18.269      |      17.860  |      0.978
   77         |      18.269      |      17.828  |      0.976
   78         |      18.269      |      17.720  |      0.970
   79         |      18.269      |      17.832  |      0.976
   80         |      18.269      |      17.844  |      0.977
   81         |      18.269      |      17.792  |      0.974
   82         |      18.269      |      17.852  |      0.977
   83         |      18.269      |      17.844  |      0.977
   84         |      18.269      |      17.784  |      0.973
   85         |      18.269      |      17.824  |      0.976
   86         |      18.269      |      17.764  |      0.972
   87         |      18.269      |      17.764  |      0.972
   88         |      18.269      |      17.808  |      0.975
   89         |      18.269      |      17.780  |      0.973
   90         |      18.269      |      17.772  |      0.973
   91         |      18.269      |      17.804  |      0.975
   92         |      18.269      |      17.804  |      0.975
   93         |      18.269      |      17.796  |      0.974
   94         |      18.269      |      17.744  |      0.971
   95         |      18.269      |      17.792  |      0.974
   96         |      18.269      |      17.796  |      0.974
   97         |      18.269      |      17.828  |      0.976
   98         |      18.269      |      17.768  |      0.973
   99         |      18.269      |      17.796  |      0.974
  100         |      18.269      |      17.772  |      0.973
  101         |      18.269      |      17.816  |      0.975
  102         |      18.269      |      17.792  |      0.974
  103         |      18.269      |      17.772  |      0.973
  104         |      18.269      |      17.804  |      0.975
  105         |      18.269      |      17.812  |      0.975
  106         |      18.269      |      17.828  |      0.976
  107         |      18.269      |      17.796  |      0.974
