 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        21832.124    21714.762
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3895600E+02   22.84            38.78      22.86        1.00         23.03     22.67     720.00
trc_ldf             0.2190430E+02   12.84            21.90      12.91        1.00         13.72     12.22     720.00
tra_adv             0.1446186E+02    8.48            14.41       8.49        1.00          8.60      8.30     720.00
zdf_phy             0.1006636E+02    5.90            10.03       5.91        1.00          6.25      5.41     720.00
trc_nxt             0.8602773E+01    5.04             8.54       5.03        0.99          5.58      4.19     720.00
tra_ldf             0.8080137E+01    4.74             8.08       4.76        1.00          5.01      4.53     720.00
p2z_opt             0.6675687E+01    3.91             6.67       3.93        1.00          4.26      3.64     720.00
dyn_spg             0.6296016E+01    3.69             6.26       3.69        0.99          4.61      3.17     720.00
ldf_slp             0.6109434E+01    3.58             6.09       3.59        1.00          3.93      3.23     720.00
rab_3d              0.5274208E+01    3.09             5.26       3.10        1.00          3.19      3.03    1440.00
trc_stp             0.5223386E+01    3.06             5.18       3.05        0.99          4.19      2.68     720.00
trc_zdf             0.4950150E+01    2.90             4.95       2.92        1.00          3.26      2.66     720.00
stp                 0.3818965E+01    2.24             3.67       2.16        0.96          2.48      2.08     720.00
dyn_zdf             0.3484757E+01    2.04             3.48       2.05        1.00          2.32      1.75     720.00
dyn_nxt             0.2909265E+01    1.71             2.90       1.71        1.00          2.05      1.51     720.00
tra_nxt             0.2565208E+01    1.50             2.54       1.50        0.99          1.74      1.23     720.00
eos-insitu          0.2030098E+01    1.19             2.03       1.20        1.00          1.23      1.16     720.00
tra_zdf             0.2024780E+01    1.19             2.02       1.19        1.00          1.24      1.15     720.00
eos-pot             0.2024461E+01    1.19             2.02       1.19        1.00          1.24      1.12     720.00
dia_wri             0.1708337E+01    1.00             1.51       0.89        0.89          1.08      0.92     720.00
tra_qsr             0.1607680E+01    0.94             1.60       0.94        1.00          0.98      0.91     720.00
p2z_exp             0.1495403E+01    0.88             1.48       0.87        0.99          1.25      0.40     720.00
bn2                 0.1430762E+01    0.84             1.44       0.85        1.00          1.03      0.78    1440.00
div_hor             0.1410296E+01    0.83             1.41       0.83        1.00          1.01      0.69    1441.00
dyn_ldf             0.1215075E+01    0.71             1.21       0.72        1.00          0.74      0.67     720.00
p2z_bio             0.1211712E+01    0.71             1.21       0.72        1.00          0.75      0.65     720.00
trc_sbc             0.1020868E+01    0.60             1.01       0.59        0.99          1.04      0.38     720.00
dyn_zad             0.7442138E+00    0.44             0.75       0.44        1.00          0.49      0.36     720.00
ssh_nxt             0.7423739E+00    0.44             0.74       0.44        1.00          0.65      0.35     720.00
dyn_vor             0.6869622E+00    0.40             0.69       0.41        1.00          0.42      0.37     720.00
wzv                 0.6487667E+00    0.38             0.65       0.38        1.00          0.43      0.29    1440.00
trc_trp             0.6435922E+00    0.38             0.62       0.36        0.96          0.43      0.28     720.00
dyn_keg             0.5046275E+00    0.30             0.51       0.30        1.00          0.34      0.23     720.00
dyn_hpg             0.4426774E+00    0.26             0.44       0.26        1.00          0.28      0.23     720.00
sbc                 0.4023171E+00    0.24             0.40       0.24        1.00          0.24      0.19     720.00
p2z_sed             0.2024585E+00    0.12             0.20       0.12        1.01          0.14      0.08     720.00
p2z_sms             0.1226031E+00    0.07             0.11       0.07        0.92          0.08      0.06     720.00
dyn_adv             0.1057771E+00    0.06             0.10       0.06        0.96          0.08      0.04     720.00
nemo_init           0.7687019E-01    0.05             0.07       0.04        0.96          0.05      0.04       1.00
tra_sbc             0.4491388E-01    0.03             0.05       0.03        1.10          0.03      0.02     720.00
trc_init            0.2821775E-01    0.02             0.02       0.01        0.85          0.02      0.02       1.00
trc_sms             0.3985582E-02    0.00             0.00       0.00        1.20          0.00      0.00     720.00
day                 0.2615044E-02    0.00             0.00       0.00        0.44          0.00     -0.00     720.00
ssh_swp             0.2366646E-02    0.00             0.00       0.00        1.87          0.00     -0.00     720.00
dom_hgr             0.1056747E-03    0.00             0.00       0.00        0.98          0.00      0.00       1.00
dia_ar5            -0.3197062E-02   -0.00            -0.00      -0.00        0.31         -0.00     -0.01     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |     170.564      |     169.183  |      0.992
    1         |     170.564      |     169.728  |      0.995
    2         |     170.564      |     169.694  |      0.995
    3         |     170.563      |     169.772  |      0.995
    4         |     170.564      |     169.693  |      0.995
    5         |     170.564      |     169.703  |      0.995
    6         |     170.563      |     169.681  |      0.995
    7         |     170.564      |     169.753  |      0.995
    8         |     170.564      |     169.666  |      0.995
    9         |     170.564      |     169.613  |      0.994
   10         |     170.563      |     169.627  |      0.995
   11         |     170.564      |     169.648  |      0.995
   12         |     170.564      |     169.688  |      0.995
   13         |     170.564      |     169.615  |      0.994
   14         |     170.563      |     169.437  |      0.993
   15         |     170.564      |     169.472  |      0.994
   16         |     170.563      |     169.554  |      0.994
   17         |     170.564      |     169.701  |      0.995
   18         |     170.564      |     169.654  |      0.995
   19         |     170.564      |     169.691  |      0.995
   20         |     170.564      |     169.737  |      0.995
   21         |     170.563      |     169.620  |      0.994
   22         |     170.564      |     169.640  |      0.995
   23         |     170.563      |     169.703  |      0.995
   24         |     170.563      |     169.576  |      0.994
   25         |     170.563      |     169.537  |      0.994
   26         |     170.564      |     169.659  |      0.995
   27         |     170.563      |     169.569  |      0.994
   28         |     170.563      |     169.707  |      0.995
   29         |     170.564      |     169.618  |      0.994
   30         |     170.563      |     169.668  |      0.995
   31         |     170.563      |     169.468  |      0.994
   32         |     170.564      |     169.543  |      0.994
   33         |     170.564      |     169.700  |      0.995
   34         |     170.564      |     169.686  |      0.995
   35         |     170.564      |     169.670  |      0.995
   36         |     170.564      |     169.721  |      0.995
   37         |     170.564      |     169.691  |      0.995
   38         |     170.564      |     169.557  |      0.994
   39         |     170.564      |     169.666  |      0.995
   40         |     170.564      |     169.513  |      0.994
   41         |     170.563      |     169.626  |      0.995
   42         |     170.564      |     169.231  |      0.992
   43         |     170.563      |     169.617  |      0.994
   44         |     170.563      |     169.544  |      0.994
   45         |     170.564      |     169.654  |      0.995
   46         |     170.564      |     169.579  |      0.994
   47         |     170.564      |     169.616  |      0.994
   48         |     170.564      |     169.658  |      0.995
   49         |     170.564      |     169.689  |      0.995
   50         |     170.564      |     169.673  |      0.995
   51         |     170.564      |     169.737  |      0.995
   52         |     170.564      |     169.680  |      0.995
   53         |     170.564      |     169.683  |      0.995
   54         |     170.563      |     169.688  |      0.995
   55         |     170.564      |     169.781  |      0.995
   56         |     170.564      |     169.686  |      0.995
   57         |     170.564      |     169.536  |      0.994
   58         |     170.563      |     169.677  |      0.995
   59         |     170.563      |     169.580  |      0.994
   60         |     170.563      |     169.688  |      0.995
   61         |     170.563      |     169.587  |      0.994
   62         |     170.563      |     169.499  |      0.994
   63         |     170.564      |     169.686  |      0.995
   64         |     170.563      |     169.740  |      0.995
   65         |     170.564      |     169.797  |      0.996
   66         |     170.563      |     169.679  |      0.995
   67         |     170.563      |     169.823  |      0.996
   68         |     170.563      |     169.710  |      0.995
   69         |     170.563      |     169.718  |      0.995
   70         |     170.564      |     169.744  |      0.995
   71         |     170.563      |     169.707  |      0.995
   72         |     170.564      |     169.530  |      0.994
   73         |     170.564      |     169.605  |      0.994
   74         |     170.563      |     169.688  |      0.995
   75         |     170.563      |     169.623  |      0.994
   76         |     170.564      |     169.543  |      0.994
   77         |     170.564      |     169.526  |      0.994
   78         |     170.564      |     169.633  |      0.995
   79         |     170.563      |     169.705  |      0.995
   80         |     170.563      |     169.754  |      0.995
   81         |     170.563      |     169.788  |      0.995
   82         |     170.564      |     169.683  |      0.995
   83         |     170.564      |     169.664  |      0.995
   84         |     170.563      |     169.799  |      0.996
   85         |     170.563      |     169.718  |      0.995
   86         |     170.563      |     169.769  |      0.995
   87         |     170.563      |     169.763  |      0.995
   88         |     170.563      |     169.543  |      0.994
   89         |     170.564      |     169.517  |      0.994
   90         |     170.564      |     169.650  |      0.995
   91         |     170.564      |     169.594  |      0.994
   92         |     170.563      |     169.659  |      0.995
   93         |     170.563      |     169.605  |      0.994
   94         |     170.563      |     169.634  |      0.995
   95         |     170.563      |     169.635  |      0.995
   96         |     170.563      |     169.736  |      0.995
   97         |     170.563      |     169.729  |      0.995
   98         |     170.563      |     169.780  |      0.995
   99         |     170.564      |     169.755  |      0.995
  100         |     170.564      |     169.716  |      0.995
  101         |     170.564      |     169.626  |      0.995
  102         |     170.563      |     169.672  |      0.995
  103         |     170.563      |     169.682  |      0.995
  104         |     170.563      |     169.496  |      0.994
  105         |     170.563      |     169.440  |      0.993
  106         |     170.563      |     169.626  |      0.995
  107         |     170.563      |     169.682  |      0.995
