 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        10978.260    10577.605
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3913107E+02   22.81            39.04      23.62        1.00         22.89     22.63     720.00
trc_ldf             0.2165859E+02   12.63            21.66      13.10        1.00         13.30     12.25     720.00
tra_adv             0.1428052E+02    8.33            14.25       8.62        1.00          8.40      8.17     720.00
trc_stp             0.9775019E+01    5.70             7.80       4.72        0.80          6.44      5.42     720.00
zdf_phy             0.9485485E+01    5.53             9.47       5.73        1.00          5.69      5.35     720.00
tra_ldf             0.7968653E+01    4.65             7.97       4.82        1.00          4.90      4.46     720.00
p2z_opt             0.6574443E+01    3.83             6.57       3.97        1.00          3.95      3.82     720.00
trc_nxt             0.5954095E+01    3.47             5.92       3.58        0.99          3.86      2.80     720.00
stp                 0.5824002E+01    3.40             4.67       2.83        0.80          3.55      3.29     720.00
ldf_slp             0.5728590E+01    3.34             5.71       3.46        1.00          3.49      3.24     720.00
dyn_spg             0.5246017E+01    3.06             5.23       3.17        1.00          3.19      2.91     720.00
dia_wri             0.4705818E+01    2.74             1.94       1.17        0.41          3.17      1.93     720.00
trc_zdf             0.4547970E+01    2.65             4.55       2.75        1.00          2.84      2.49     720.00
dyn_zdf             0.3342098E+01    1.95             3.34       2.02        1.00          2.34      1.72     720.00
dyn_nxt             0.3153791E+01    1.84             3.15       1.90        1.00          1.96      1.70     720.00
rab_3d              0.3050148E+01    1.78             3.04       1.84        1.00          1.82      1.77    1440.00
tra_nxt             0.2106373E+01    1.23             2.10       1.27        0.99          1.44      0.94     720.00
tra_zdf             0.2012463E+01    1.17             2.01       1.22        1.00          1.22      1.14     720.00
p2z_exp             0.1841303E+01    1.07             1.83       1.11        0.99          1.89      0.42     720.00
tra_qsr             0.1585957E+01    0.92             1.58       0.96        1.00          0.97      0.92     720.00
div_hor             0.1456614E+01    0.85             1.46       0.88        1.00          0.90      0.80    1441.00
dyn_ldf             0.1416928E+01    0.83             1.41       0.86        1.00          0.94      0.81     720.00
bn2                 0.1389269E+01    0.81             1.39       0.84        1.00          0.96      0.70    1440.00
eos-insitu          0.1289317E+01    0.75             1.29       0.78        1.00          0.80      0.75     720.00
p2z_bio             0.1278005E+01    0.75             1.28       0.77        1.00          0.76      0.73     720.00
eos-pot             0.1273442E+01    0.74             1.27       0.77        1.00          0.75      0.73     720.00
trc_sbc             0.1072401E+01    0.63             1.07       0.64        0.99          1.08      0.37     720.00
dyn_zad             0.8986305E+00    0.52             0.90       0.54        1.00          0.56      0.51     720.00
ssh_nxt             0.7718581E+00    0.45             0.77       0.47        1.00          0.47      0.43     720.00
dyn_keg             0.7591291E+00    0.44             0.76       0.46        1.00          0.45      0.43     720.00
wzv                 0.6765723E+00    0.39             0.68       0.41        1.00          0.42      0.35    1440.00
dyn_vor             0.5981231E+00    0.35             0.60       0.36        1.00          0.37      0.34     720.00
dyn_hpg             0.5800707E+00    0.34             0.58       0.35        1.00          0.37      0.29     720.00
trc_trp             0.4777665E+00    0.28             0.46       0.28        0.97          0.30      0.27     720.00
sbc                 0.4154086E+00    0.24             0.41       0.25        0.99          0.25      0.20     720.00
p2z_sed             0.1569064E+00    0.09             0.16       0.10        1.01          0.09      0.09     720.00
nemo_init           0.1269324E+00    0.07             0.09       0.06        0.74          0.08      0.07       1.00
p2z_sms             0.1104108E+00    0.06             0.10       0.06        0.94          0.07      0.06     720.00
dyn_adv             0.1063401E+00    0.06             0.10       0.06        0.97          0.07      0.06     720.00
trc_init            0.9948117E-01    0.06             0.06       0.04        0.61          0.06      0.06       1.00
tra_sbc             0.4688080E-01    0.03             0.05       0.03        1.05          0.03      0.03     720.00
day                 0.3371576E-01    0.02             0.00       0.00        0.05          0.03      0.01     720.00
ssh_swp             0.4212274E-02    0.00             0.01       0.00        1.30          0.00      0.00     720.00
trc_sms             0.2696462E-02    0.00             0.00       0.00        1.22          0.00      0.00     720.00
dom_hgr             0.1638402E-03    0.00             0.00       0.00        0.76          0.00      0.00       1.00
dia_ar5            -0.1432979E-02   -0.00            -0.00      -0.00        0.12         -0.00     -0.00     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |     171.528      |     165.027  |      0.962
    1         |     171.535      |     163.816  |      0.955
    2         |     171.535      |     163.219  |      0.952
    3         |     171.536      |     166.504  |      0.971
    4         |     171.536      |     165.977  |      0.968
    5         |     171.535      |     164.285  |      0.958
    6         |     171.535      |     165.467  |      0.965
    7         |     171.536      |     165.281  |      0.964
    8         |     171.536      |     163.791  |      0.955
    9         |     171.535      |     167.400  |      0.976
   10         |     171.536      |     166.484  |      0.971
   11         |     171.535      |     163.048  |      0.951
   12         |     171.535      |     162.836  |      0.949
   13         |     171.535      |     163.710  |      0.954
   14         |     171.535      |     163.805  |      0.955
   15         |     171.535      |     166.608  |      0.971
   16         |     171.535      |     163.804  |      0.955
   17         |     171.535      |     163.987  |      0.956
   18         |     171.535      |     165.431  |      0.964
   19         |     171.536      |     166.778  |      0.972
   20         |     171.535      |     166.061  |      0.968
   21         |     171.536      |     163.914  |      0.956
   22         |     171.535      |     162.872  |      0.949
   23         |     171.535      |     164.037  |      0.956
   24         |     171.535      |     162.874  |      0.950
   25         |     171.536      |     163.871  |      0.955
   26         |     171.535      |     163.010  |      0.950
   27         |     171.536      |     165.671  |      0.966
   28         |     171.535      |     165.697  |      0.966
   29         |     171.535      |     166.779  |      0.972
   30         |     171.536      |     166.705  |      0.972
   31         |     171.535      |     165.818  |      0.967
   32         |     171.535      |     166.074  |      0.968
   33         |     171.535      |     166.117  |      0.968
   34         |     171.536      |     166.835  |      0.973
   35         |     171.535      |     167.836  |      0.978
   36         |     171.535      |     167.764  |      0.978
   37         |     171.535      |     167.351  |      0.976
   38         |     171.535      |     166.093  |      0.968
   39         |     171.536      |     163.913  |      0.956
   40         |     171.535      |     163.416  |      0.953
   41         |     171.535      |     163.946  |      0.956
   42         |     171.535      |     165.526  |      0.965
   43         |     171.535      |     165.158  |      0.963
   44         |     171.535      |     164.747  |      0.960
   45         |     171.535      |     164.885  |      0.961
   46         |     171.536      |     165.070  |      0.962
   47         |     171.535      |     163.395  |      0.953
   48         |     171.535      |     167.587  |      0.977
   49         |     171.536      |     164.554  |      0.959
   50         |     171.535      |     166.387  |      0.970
   51         |     171.536      |     165.958  |      0.967
   52         |     171.535      |     166.230  |      0.969
   53         |     171.535      |     167.535  |      0.977
   54         |     171.535      |     166.318  |      0.970
   55         |     171.535      |     163.455  |      0.953
   56         |     171.535      |     166.405  |      0.970
   57         |     171.535      |     166.984  |      0.973
   58         |     171.535      |     163.389  |      0.953
   59         |     171.535      |     167.969  |      0.979
   60         |     171.535      |     163.519  |      0.953
   61         |     171.535      |     165.940  |      0.967
   62         |     171.535      |     167.269  |      0.975
   63         |     171.535      |     165.413  |      0.964
 -------------|------------------|--------------|------------------
 Total        |   10978.260      |   10577.605  |     61.664
 -------------|------------------|--------------|------------------
 Minimum      |     171.528      |     162.836  |      0.949
 -------------|------------------|--------------|------------------
 Maximum      |     171.536      |     167.969  |      0.979
 -------------|------------------|--------------|------------------
 Average      |     171.535      |     165.275  |      0.964
 
 Detailed timing for proc : 0
 --------------------------
 Section             Elapsed Time (s)  Elapsed Time (%)  CPU Time(s)  CPU Time (%)  CPU/Elapsed  Frequency
 trc_adv                       39.244            22.879       39.177        23.739        0.998        720
 trc_ldf                       22.818            13.303       22.817        13.826        1.000        720
 tra_adv                       14.246             8.305       14.231         8.623        0.999        720
 trc_stp                        9.754             5.686        9.017         5.464        0.924        720
 zdf_phy                        9.348             5.450        9.331         5.654        0.998        720
 tra_ldf                        8.411             4.903        8.406         5.094        0.999        720
 p2z_opt                        6.780             3.953        6.777         4.106        1.000        720
 ldf_slp                        5.798             3.380        5.794         3.511        0.999        720
 stp                            5.650             3.294        3.904         2.366        0.691        720
 dia_wri                        5.373             3.133        1.999         1.211        0.372        720
 dyn_spg                        5.000             2.915        4.999         3.029        1.000        720
 trc_nxt                        4.963             2.893        4.930         2.987        0.993        720
 trc_zdf                        4.303             2.509        4.303         2.607        1.000        720
 dyn_zdf                        3.607             2.103        3.601         2.182        0.998        720
 dyn_nxt                        3.354             1.955        3.349         2.029        0.998        720
 rab_3d                         3.119             1.819        2.808         1.702        0.900       1440
 tra_zdf                        1.996             1.164        1.998         1.211        1.001        720
 tra_qsr                        1.645             0.959        1.639         0.993        0.997        720
 tra_nxt                        1.618             0.943        1.608         0.975        0.994        720
 dyn_ldf                        1.606             0.936        1.608         0.974        1.001        720
 bn2                            1.397             0.814        1.395         0.846        0.999       1440
 div_hor                        1.391             0.811        1.395         0.845        1.003       1441
