 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        19099.904    18409.318
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3705582E+01   19.87             3.67      20.43        0.99         20.97     17.95     720.00
stp                 0.2493975E+01   13.37             2.37      13.18        0.95         15.52     12.04     720.00
trc_stp             0.1609812E+01    8.63             1.52       8.46        0.95         14.87      4.45     720.00
dyn_spg             0.1562045E+01    8.37             1.55       8.61        0.99          9.88      7.59     720.00
tra_adv             0.1391323E+01    7.46             1.39       7.71        1.00          8.02      6.30     720.00
trc_ldf             0.9790976E+00    5.25             0.98       5.45        1.00          6.42      4.73     720.00
trc_nxt             0.9042298E+00    4.85             0.90       5.01        1.00          7.29      2.41     720.00
zdf_phy             0.8434755E+00    4.52             0.84       4.67        0.99          4.89      3.51     720.00
ldf_slp             0.7114335E+00    3.81             0.71       3.94        1.00          4.64      2.81     720.00
p2z_opt             0.5557296E+00    2.98             0.55       3.07        0.99          3.40      2.78     720.00
tra_nxt             0.3810872E+00    2.04             0.38       2.11        1.00          3.07      1.24     720.00
tra_ldf             0.3632104E+00    1.95             0.36       2.02        1.00          2.34      1.76     720.00
dia_wri             0.3289774E+00    1.76             0.14       0.80        0.44          2.11      1.06     720.00
dyn_nxt             0.2843759E+00    1.52             0.28       1.58        1.00          2.18      0.98     720.00
rab_3d              0.2653067E+00    1.42             0.27       1.48        1.00          1.54      1.27    1440.00
nemo_init           0.2372962E+00    1.27             0.14       0.76        0.57          1.31      1.21       1.00
div_hor             0.2259075E+00    1.21             0.23       1.26        1.01          1.67      0.85    1441.00
trc_zdf             0.1868181E+00    1.00             0.19       1.05        1.01          1.36      0.82     720.00
sbc                 0.1617515E+00    0.87             0.16       0.90        1.00          1.02      0.65     720.00
trc_init            0.1561521E+00    0.84             0.04       0.24        0.28          0.84      0.84       1.00
ssh_nxt             0.1529802E+00    0.82             0.15       0.85        1.00          1.32      0.52     720.00
trc_sbc             0.1487516E+00    0.80             0.15       0.83        1.00          1.57      0.44     720.00
tra_qsr             0.1298609E+00    0.70             0.13       0.73        1.01          0.87      0.56     720.00
dyn_zdf             0.1184950E+00    0.64             0.12       0.66        1.00          0.75      0.56     720.00
eos-insitu          0.1137164E+00    0.61             0.11       0.64        1.00          0.68      0.53     720.00
p2z_exp             0.1115581E+00    0.60             0.11       0.62        1.00          1.43      0.18     720.00
eos-pot             0.1108479E+00    0.59             0.11       0.62        1.00          0.67      0.52     720.00
dyn_ldf             0.9549160E-01    0.51             0.10       0.53        1.00          0.60      0.44     720.00
p2z_bio             0.8499091E-01    0.46             0.09       0.48        1.01          0.52      0.39     720.00
tra_zdf             0.8418435E-01    0.45             0.09       0.47        1.01          0.62      0.38     720.00
wzv                 0.7383012E-01    0.40             0.08       0.42        1.03          0.64      0.32    1440.00
bn2                 0.6957037E-01    0.37             0.07       0.40        1.03          0.44      0.29    1440.00
day                 0.6708189E-01    0.36             0.00       0.02        0.05          0.48      0.24     720.00
trc_trp             0.4752995E-01    0.25             0.04       0.22        0.84          0.41      0.21     720.00
dyn_keg             0.3861200E-01    0.21             0.04       0.22        1.02          0.28      0.17     720.00
dyn_zad             0.3719945E-01    0.20             0.04       0.21        1.02          0.26      0.17     720.00
dyn_vor             0.3450353E-01    0.18             0.04       0.20        1.03          0.22      0.16     720.00
dyn_hpg             0.2056692E-01    0.11             0.02       0.12        1.05          0.14      0.08     720.00
p2z_sms             0.2051518E-01    0.11             0.02       0.09        0.77          0.21      0.09     720.00
dyn_adv             0.1004868E-01    0.05             0.01       0.05        0.86          0.09      0.05     720.00
p2z_sed             0.9648712E-02    0.05             0.01       0.06        1.12          0.06      0.02     720.00
tra_sbc             0.5350998E-02    0.03             0.01       0.04        1.24          0.04      0.00     720.00
trc_sms             0.2233787E-02    0.01             0.00       0.01        1.02          0.01      0.01     720.00
dom_hgr             0.4230845E-04    0.00             0.00       0.00        0.55          0.00      0.00       1.00
ssh_swp            -0.6246661E-03   -0.00             0.00       0.00       -0.98          0.00     -0.03     720.00
dia_ar5            -0.1256936E-02   -0.01            -0.00      -0.00        0.01          0.00     -0.04     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      18.646      |      15.895  |      0.852
    1         |      18.653      |      18.043  |      0.967
    2         |      18.653      |      18.099  |      0.970
    3         |      18.653      |      18.103  |      0.971
    4         |      18.652      |      18.051  |      0.968
    5         |      18.653      |      18.112  |      0.971
    6         |      18.653      |      18.043  |      0.967
    7         |      18.652      |      18.017  |      0.966
    8         |      18.653      |      18.061  |      0.968
    9         |      18.652      |      18.095  |      0.970
   10         |      18.652      |      18.026  |      0.966
   11         |      18.652      |      18.059  |      0.968
   12         |      18.652      |      18.038  |      0.967
   13         |      18.652      |      17.997  |      0.965
   14         |      18.652      |      18.111  |      0.971
   15         |      18.652      |      18.108  |      0.971
   16         |      18.653      |      18.077  |      0.969
   17         |      18.652      |      18.067  |      0.969
   18         |      18.652      |      18.073  |      0.969
   19         |      18.653      |      17.978  |      0.964
   20         |      18.653      |      18.015  |      0.966
   21         |      18.653      |      18.115  |      0.971
   22         |      18.653      |      17.978  |      0.964
   23         |      18.653      |      18.116  |      0.971
   24         |      18.653      |      18.016  |      0.966
   25         |      18.653      |      18.038  |      0.967
   26         |      18.653      |      18.066  |      0.969
   27         |      18.653      |      18.094  |      0.970
   28         |      18.653      |      18.123  |      0.972
   29         |      18.652      |      17.978  |      0.964
   30         |      18.653      |      18.073  |      0.969
   31         |      18.652      |      18.035  |      0.967
   32         |      18.652      |      17.996  |      0.965
   33         |      18.653      |      17.970  |      0.963
   34         |      18.652      |      18.041  |      0.967
   35         |      18.652      |      18.018  |      0.966
   36         |      18.652      |      18.019  |      0.966
   37         |      18.652      |      18.012  |      0.966
   38         |      18.652      |      18.023  |      0.966
   39         |      18.652      |      18.066  |      0.969
   40         |      18.652      |      17.992  |      0.965
   41         |      18.653      |      17.983  |      0.964
   42         |      18.652      |      17.948  |      0.962
   43         |      18.652      |      17.905  |      0.960
   44         |      18.652      |      18.011  |      0.966
   45         |      18.652      |      17.917  |      0.961
   46         |      18.652      |      17.976  |      0.964
   47         |      18.652      |      17.996  |      0.965
   48         |      18.652      |      17.991  |      0.965
   49         |      18.652      |      17.933  |      0.961
   50         |      18.652      |      17.987  |      0.964
   51         |      18.652      |      17.949  |      0.962
   52         |      18.652      |      18.018  |      0.966
   53         |      18.652      |      17.967  |      0.963
   54         |      18.652      |      18.000  |      0.965
   55         |      18.653      |      18.052  |      0.968
   56         |      18.652      |      18.073  |      0.969
   57         |      18.652      |      18.018  |      0.966
   58         |      18.652      |      18.052  |      0.968
   59         |      18.652      |      17.983  |      0.964
   60         |      18.652      |      17.989  |      0.964
   61         |      18.652      |      17.960  |      0.963
   62         |      18.652      |      17.941  |      0.962
   63         |      18.652      |      18.011  |      0.966
   64         |      18.652      |      17.970  |      0.963
   65         |      18.652      |      18.109  |      0.971
   66         |      18.652      |      18.058  |      0.968
   67         |      18.652      |      18.081  |      0.969
   68         |      18.652      |      18.100  |      0.970
   69         |      18.652      |      17.942  |      0.962
   70         |      18.652      |      18.026  |      0.966
   71         |      18.652      |      18.011  |      0.966
   72         |      18.652      |      18.013  |      0.966
   73         |      18.652      |      17.977  |      0.964
   74         |      18.652      |      18.039  |      0.967
   75         |      18.652      |      17.992  |      0.965
   76         |      18.652      |      17.996  |      0.965
   77         |      18.652      |      18.074  |      0.969
   78         |      18.652      |      17.997  |      0.965
   79         |      18.652      |      17.959  |      0.963
   80         |      18.652      |      18.025  |      0.966
   81         |      18.652      |      17.910  |      0.960
   82         |      18.652      |      18.019  |      0.966
   83         |      18.652      |      17.993  |      0.965
   84         |      18.652      |      18.001  |      0.965
   85         |      18.652      |      17.988  |      0.964
   86         |      18.652      |      17.974  |      0.964
   87         |      18.652      |      18.023  |      0.966
   88         |      18.652      |      18.100  |      0.970
   89         |      18.652      |      18.077  |      0.969
   90         |      18.652      |      17.942  |      0.962
   91         |      18.652      |      18.013  |      0.966
   92         |      18.652      |      18.032  |      0.967
   93         |      18.652      |      18.018  |      0.966
   94         |      18.652      |      17.962  |      0.963
   95         |      18.652      |      18.052  |      0.968
   96         |      18.653      |      17.950  |      0.962
   97         |      18.652      |      17.962  |      0.963
   98         |      18.652      |      17.895  |      0.959
   99         |      18.652      |      17.891  |      0.959
  100         |      18.652      |      17.929  |      0.961
  101         |      18.652      |      17.926  |      0.961
  102         |      18.652      |      17.963  |      0.963
  103         |      18.652      |      17.964  |      0.963
  104         |      18.652      |      17.899  |      0.960
  105         |      18.652      |      17.956  |      0.963
  106         |      18.652      |      17.928  |      0.961
  107         |      18.652      |      17.954  |      0.963
