 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        10919.043    10565.649
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3949287E+02   23.15            39.41      23.87        1.00         23.24     22.97     720.00
trc_ldf             0.2156689E+02   12.64            21.56      13.06        1.00         13.49     12.08     720.00
tra_adv             0.1443333E+02    8.46            14.40       8.73        1.00          8.54      8.31     720.00
zdf_phy             0.9427566E+01    5.53             9.41       5.70        1.00          5.64      5.37     720.00
tra_ldf             0.7932236E+01    4.65             7.93       4.80        1.00          4.87      4.39     720.00
trc_stp             0.7057295E+01    4.14             6.47       3.92        0.92          4.81      3.86     720.00
p2z_opt             0.6583910E+01    3.86             6.58       3.98        1.00          3.98      3.85     720.00
trc_nxt             0.5794704E+01    3.40             5.76       3.49        0.99          3.78      2.83     720.00
ldf_slp             0.5665744E+01    3.32             5.66       3.43        1.00          3.44      3.26     720.00
stp                 0.5571548E+01    3.27             4.60       2.79        0.83          3.45      3.17     720.00
dia_wri             0.5554230E+01    3.26             1.97       1.19        0.35          4.25      1.83     720.00
dyn_spg             0.5218795E+01    3.06             5.21       3.15        1.00          3.20      2.93     720.00
trc_zdf             0.4650682E+01    2.73             4.65       2.82        1.00          3.08      2.51     720.00
dyn_zdf             0.3311922E+01    1.94             3.31       2.00        1.00          2.33      1.72     720.00
dyn_nxt             0.3150163E+01    1.85             3.14       1.90        1.00          1.98      1.68     720.00
rab_3d              0.3051942E+01    1.79             3.04       1.84        1.00          1.83      1.78    1440.00
p2z_exp             0.2981809E+01    1.75             2.96       1.80        0.99          3.29      0.41     720.00
tra_nxt             0.2143628E+01    1.26             2.13       1.29        0.99          1.49      1.00     720.00
tra_zdf             0.1998881E+01    1.17             2.00       1.21        1.00          1.22      1.14     720.00
tra_qsr             0.1582104E+01    0.93             1.58       0.96        1.00          0.97      0.92     720.00
div_hor             0.1461940E+01    0.86             1.46       0.89        1.00          0.90      0.80    1441.00
dyn_ldf             0.1400881E+01    0.82             1.40       0.85        1.00          0.89      0.80     720.00
bn2                 0.1388142E+01    0.81             1.39       0.84        1.00          0.99      0.74    1440.00
eos-insitu          0.1289201E+01    0.76             1.29       0.78        1.00          0.80      0.75     720.00
p2z_bio             0.1282198E+01    0.75             1.28       0.78        1.00          0.77      0.74     720.00
eos-pot             0.1274041E+01    0.75             1.27       0.77        1.00          0.76      0.74     720.00
trc_sbc             0.9330791E+00    0.55             0.93       0.56        1.00          1.60      0.38     720.00
dyn_zad             0.9042487E+00    0.53             0.90       0.55        1.00          0.55      0.51     720.00
ssh_nxt             0.7733504E+00    0.45             0.77       0.47        1.00          0.48      0.44     720.00
dyn_keg             0.7554922E+00    0.44             0.75       0.46        1.00          0.45      0.42     720.00
wzv                 0.6783138E+00    0.40             0.68       0.41        1.00          0.44      0.35    1440.00
dyn_vor             0.5952672E+00    0.35             0.60       0.36        1.00          0.37      0.34     720.00
dyn_hpg             0.5738923E+00    0.34             0.57       0.35        1.00          0.37      0.28     720.00
trc_trp             0.4760036E+00    0.28             0.46       0.28        0.97          0.30      0.27     720.00
sbc                 0.4451051E+00    0.26             0.44       0.27        1.00          0.27      0.20     720.00
p2z_sed             0.1579122E+00    0.09             0.16       0.10        1.01          0.10      0.09     720.00
nemo_init           0.1223037E+00    0.07             0.09       0.05        0.71          0.07      0.07       1.00
p2z_sms             0.1104499E+00    0.06             0.10       0.06        0.94          0.08      0.06     720.00
trc_init            0.1072473E+00    0.06             0.05       0.03        0.51          0.06      0.06       1.00
dyn_adv             0.1054929E+00    0.06             0.10       0.06        0.97          0.07      0.05     720.00
tra_sbc             0.4674855E-01    0.03             0.05       0.03        1.05          0.03      0.03     720.00
day                 0.3407433E-01    0.02             0.00       0.00        0.09          0.03      0.01     720.00
ssh_swp             0.4265823E-02    0.00             0.01       0.00        1.30          0.00      0.00     720.00
trc_sms             0.2700295E-02    0.00             0.00       0.00        1.22          0.00      0.00     720.00
dom_hgr             0.1621987E-03    0.00             0.00       0.00        0.74          0.00      0.00       1.00
dia_ar5            -0.1361403E-02   -0.00            -0.00      -0.00        0.05         -0.00     -0.00     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |     170.602      |     162.487  |      0.952
    1         |     170.610      |     166.548  |      0.976
    2         |     170.610      |     165.615  |      0.971
    3         |     170.610      |     166.710  |      0.977
    4         |     170.610      |     163.917  |      0.961
    5         |     170.611      |     163.003  |      0.955
    6         |     170.610      |     166.226  |      0.974
    7         |     170.610      |     163.921  |      0.961
    8         |     170.610      |     163.797  |      0.960
    9         |     170.610      |     165.126  |      0.968
   10         |     170.610      |     165.624  |      0.971
   11         |     170.610      |     165.982  |      0.973
   12         |     170.610      |     163.278  |      0.957
   13         |     170.610      |     165.440  |      0.970
   14         |     170.610      |     162.995  |      0.955
   15         |     170.610      |     163.709  |      0.960
   16         |     170.610      |     166.153  |      0.974
   17         |     170.611      |     165.693  |      0.971
   18         |     170.610      |     165.273  |      0.969
   19         |     170.610      |     163.166  |      0.956
   20         |     170.611      |     165.316  |      0.969
   21         |     170.610      |     165.069  |      0.968
   22         |     170.610      |     163.597  |      0.959
   23         |     170.610      |     165.396  |      0.969
   24         |     170.610      |     166.777  |      0.978
   25         |     170.610      |     165.788  |      0.972
   26         |     170.610      |     163.017  |      0.955
   27         |     170.610      |     166.042  |      0.973
   28         |     170.610      |     166.061  |      0.973
   29         |     170.610      |     165.750  |      0.972
   30         |     170.610      |     167.033  |      0.979
   31         |     170.611      |     165.414  |      0.970
   32         |     170.610      |     166.814  |      0.978
   33         |     170.610      |     165.055  |      0.967
   34         |     170.610      |     166.120  |      0.974
   35         |     170.610      |     163.380  |      0.958
   36         |     170.610      |     163.394  |      0.958
   37         |     170.610      |     164.914  |      0.967
   38         |     170.610      |     163.654  |      0.959
   39         |     170.610      |     166.395  |      0.975
   40         |     170.610      |     165.835  |      0.972
   41         |     170.610      |     163.694  |      0.959
   42         |     170.610      |     163.979  |      0.961
   43         |     170.610      |     166.267  |      0.975
   44         |     170.610      |     163.357  |      0.957
   45         |     170.610      |     163.776  |      0.960
   46         |     170.610      |     163.340  |      0.957
   47         |     170.610      |     167.802  |      0.984
   48         |     170.610      |     165.614  |      0.971
   49         |     170.610      |     166.587  |      0.976
   50         |     170.610      |     166.711  |      0.977
   51         |     170.610      |     167.666  |      0.983
   52         |     170.610      |     163.936  |      0.961
   53         |     170.610      |     163.758  |      0.960
   54         |     170.610      |     166.485  |      0.976
   55         |     170.610      |     163.915  |      0.961
   56         |     170.610      |     163.769  |      0.960
   57         |     170.610      |     163.966  |      0.961
   58         |     170.610      |     166.624  |      0.977
   59         |     170.610      |     166.210  |      0.974
   60         |     170.610      |     166.300  |      0.975
   61         |     170.610      |     166.979  |      0.979
   62         |     170.610      |     166.036  |      0.973
   63         |     170.610      |     163.395  |      0.958
 -------------|------------------|--------------|------------------
 Total        |   10919.043      |   10565.649  |     61.929
 -------------|------------------|--------------|------------------
 Minimum      |     170.602      |     162.487  |      0.952
 -------------|------------------|--------------|------------------
 Maximum      |     170.611      |     167.802  |      0.984
 -------------|------------------|--------------|------------------
 Average      |     170.610      |     165.088  |      0.968
 
 Detailed timing for proc : 0
 --------------------------
 Section             Elapsed Time (s)  Elapsed Time (%)  CPU Time(s)  CPU Time (%)  CPU/Elapsed  Frequency
 trc_adv                       39.590            23.206       39.512        24.317        0.998        720
 trc_ldf                       23.013            13.489       23.011        14.162        1.000        720
 tra_adv                       14.381             8.429       14.350         8.832        0.998        720
 zdf_phy                        9.332             5.470        9.322         5.737        0.999        720
 tra_ldf                        8.302             4.866        8.305         5.111        1.000        720
 trc_stp                        6.843             4.011        6.144         3.782        0.898        720
 p2z_opt                        6.789             3.979        6.783         4.175        0.999        720
 dia_wri                        6.587             3.861        2.028         1.248        0.308        720
 ldf_slp                        5.735             3.362        5.732         3.528        0.999        720
 stp                            5.407             3.169        3.324         2.046        0.615        720
 dyn_spg                        5.007             2.935        4.995         3.074        0.998        720
 trc_nxt                        4.821             2.826        4.780         2.942        0.991        720
 trc_zdf                        4.279             2.508        4.264         2.624        0.997        720
 dyn_zdf                        3.531             2.070        3.525         2.169        0.998        720
 dyn_nxt                        3.373             1.977        3.363         2.070        0.997        720
 rab_3d                         3.119             1.828        2.791         1.718        0.895       1440
 tra_zdf                        2.003             1.174        2.002         1.232        1.000        720
 tra_nxt                        1.730             1.014        1.719         1.058        0.994        720
 tra_qsr                        1.631             0.956        1.629         1.003        0.999        720
 dyn_ldf                        1.524             0.894        1.527         0.940        1.002        720
 div_hor                        1.418             0.831        1.418         0.873        1.000       1441
 p2z_exp                        1.378             0.808        1.380         0.849        1.001        720
