 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        12739.446    11428.592
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_stp             0.2031883E+02   20.42            12.51      14.01        0.62         21.18     19.83     720.00
trc_adv             0.1622746E+02   16.30            16.19      18.13        1.00         16.55     15.99     720.00
trc_ldf             0.9989099E+01   10.04             9.99      11.19        1.00         10.99      9.38     720.00
tra_adv             0.6280695E+01    6.31             6.27       7.02        1.00          6.62      5.89     720.00
zdf_phy             0.4073568E+01    4.09             4.07       4.55        1.00          4.48      3.84     720.00
trc_nxt             0.3910499E+01    3.93             3.89       4.36        0.99          4.80      2.62     720.00
stp                 0.3875412E+01    3.89             3.40       3.81        0.88          4.18      3.72     720.00
tra_ldf             0.3697192E+01    3.71             3.69       4.14        1.00          4.23      3.50     720.00
p2z_opt             0.3403947E+01    3.42             3.39       3.80        1.00          3.68      3.29     720.00
dyn_spg             0.3165508E+01    3.18             3.15       3.53        1.00          4.23      2.72     720.00
ldf_slp             0.2828945E+01    2.84             2.82       3.16        1.00          3.25      2.38     720.00
dia_wri             0.2677178E+01    2.69             0.97       1.08        0.36          5.75      1.20     720.00
trc_zdf             0.2078641E+01    2.09             2.08       2.33        1.00          2.61      1.88     720.00
p2z_exp             0.1929389E+01    1.94             1.92       2.15        0.99          4.77      0.29     720.00
trc_sbc             0.1900264E+01    1.91             1.89       2.12        1.00          4.05      0.21     720.00
rab_3d              0.1601284E+01    1.61             1.60       1.79        1.00          1.75      1.50    1440.00
dyn_nxt             0.1420512E+01    1.43             1.42       1.59        1.00          1.58      1.27     720.00
dyn_zdf             0.1341886E+01    1.35             1.34       1.50        1.00          1.50      1.21     720.00
tra_nxt             0.1072623E+01    1.08             1.07       1.20        1.00          1.71      0.63     720.00
tra_zdf             0.8477734E+00    0.85             0.85       0.95        1.00          0.91      0.80     720.00
div_hor             0.7943999E+00    0.80             0.80       0.89        1.00          1.34      0.68    1441.00
tra_qsr             0.7812434E+00    0.78             0.78       0.88        1.00          0.85      0.75     720.00
dyn_ldf             0.6852723E+00    0.69             0.68       0.77        1.00          0.73      0.66     720.00
eos-insitu          0.6778923E+00    0.68             0.68       0.76        1.00          0.75      0.62     720.00
eos-pot             0.6656846E+00    0.67             0.67       0.75        1.00          0.72      0.62     720.00
p2z_bio             0.6518398E+00    0.65             0.65       0.73        1.00          0.74      0.57     720.00
bn2                 0.5872031E+00    0.59             0.59       0.66        1.00          0.69      0.50    1440.00
ssh_nxt             0.4487645E+00    0.45             0.45       0.50        1.00          0.97      0.34     720.00
dyn_zad             0.3439175E+00    0.35             0.34       0.39        1.00          0.37      0.32     720.00
dyn_keg             0.3247011E+00    0.33             0.32       0.36        1.00          0.35      0.32     720.00
sbc                 0.3010495E+00    0.30             0.30       0.34        1.00          0.34      0.23     720.00
wzv                 0.3005364E+00    0.30             0.30       0.34        1.01          0.36      0.26    1440.00
dyn_vor             0.2612414E+00    0.26             0.26       0.29        1.00          0.28      0.25     720.00
trc_trp             0.2288248E+00    0.23             0.22       0.24        0.94          0.29      0.19     720.00
dyn_hpg             0.1758520E+00    0.18             0.18       0.20        1.00          0.20      0.15     720.00
nemo_init           0.1486782E+00    0.15             0.10       0.11        0.65          0.15      0.15       1.00
trc_init            0.8457948E-01    0.08             0.04       0.05        0.52          0.09      0.08       1.00
p2z_sed             0.7696267E-01    0.08             0.08       0.09        1.02          0.09      0.07     720.00
p2z_sms             0.6339222E-01    0.06             0.06       0.06        0.90          0.07      0.06     720.00
day                 0.4691349E-01    0.05             0.00       0.00        0.07          0.08      0.01     720.00
dyn_adv             0.4338771E-01    0.04             0.04       0.05        0.96          0.05      0.04     720.00
tra_sbc             0.1780089E-01    0.02             0.02       0.02        1.10          0.02      0.01     720.00
trc_sms             0.2693044E-02    0.00             0.00       0.00        1.12          0.00      0.00     720.00
ssh_swp             0.2094247E-02    0.00             0.00       0.00        1.64          0.00     -0.00     720.00
dom_hgr             0.9839802E-04    0.00             0.00       0.00        0.60          0.00      0.00       1.00
dia_ar5            -0.1575817E-02   -0.00            -0.00      -0.00        0.12         -0.00     -0.00     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      99.520      |      77.472  |      0.778
    1         |      99.527      |      78.062  |      0.784
    2         |      99.527      |      76.925  |      0.773
    3         |      99.528      |      80.404  |      0.808
    4         |      99.528      |      79.482  |      0.799
    5         |      99.527      |      77.548  |      0.779
    6         |      99.527      |      80.540  |      0.809
    7         |      99.527      |      76.893  |      0.773
    8         |      99.528      |      77.282  |      0.776
    9         |      99.527      |      80.685  |      0.811
   10         |      99.527      |      79.404  |      0.798
   11         |      99.527      |      93.975  |      0.944
   12         |      99.527      |      80.018  |      0.804
   13         |      99.528      |      93.883  |      0.943
   14         |      99.527      |      80.719  |      0.811
   15         |      99.527      |      96.296  |      0.968
   16         |      99.527      |      81.670  |      0.821
   17         |      99.527      |      80.126  |      0.805
   18         |      99.527      |      77.958  |      0.783
   19         |      99.527      |      76.999  |      0.774
   20         |      99.527      |      78.252  |      0.786
   21         |      99.527      |      79.480  |      0.799
   22         |      99.527      |      81.279  |      0.817
   23         |      99.527      |      77.802  |      0.782
   24         |      99.527      |      81.187  |      0.816
   25         |      99.527      |      77.907  |      0.783
   26         |      99.527      |      77.997  |      0.784
   27         |      99.527      |      78.395  |      0.788
   28         |      99.527      |      98.251  |      0.987
   29         |      99.527      |      81.721  |      0.821
   30         |      99.527      |      96.521  |      0.970
   31         |      99.527      |      80.796  |      0.812
   32         |      99.527      |      81.434  |      0.818
   33         |      99.527      |      81.120  |      0.815
   34         |      99.527      |      81.517  |      0.819
   35         |      99.527      |      81.530  |      0.819
   36         |      99.527      |      77.756  |      0.781
   37         |      99.527      |      80.483  |      0.809
   38         |      99.527      |      81.063  |      0.814
   39         |      99.527      |      80.989  |      0.814
   40         |      99.527      |      80.931  |      0.813
   41         |      99.527      |      78.390  |      0.788
   42         |      99.527      |      81.853  |      0.822
   43         |      99.527      |      78.393  |      0.788
   44         |      99.527      |      82.163  |      0.826
   45         |      99.527      |      79.119  |      0.795
   46         |      99.527      |      81.088  |      0.815
   47         |      99.527      |      80.686  |      0.811
   48         |      99.527      |      81.335  |      0.817
   49         |      99.527      |      80.989  |      0.814
   50         |      99.527      |      80.446  |      0.808
   51         |      99.528      |      80.957  |      0.813
   52         |      99.527      |      80.467  |      0.808
   53         |      99.528      |      81.209  |      0.816
   54         |      99.527      |      81.237  |      0.816
   55         |      99.527      |      78.411  |      0.788
   56         |      99.527      |      82.918  |      0.833
   57         |      99.527      |      79.192  |      0.796
   58         |      99.527      |      81.855  |      0.822
   59         |      99.527      |      81.558  |      0.819
   60         |      99.527      |      81.223  |      0.816
   61         |      99.527      |      78.487  |      0.789
   62         |      99.527      |      82.810  |      0.832
   63         |      99.527      |      78.007  |      0.784
   64         |      99.527      |      97.523  |      0.980
   65         |      99.527      |      98.228  |      0.987
   66         |      99.527      |      98.196  |      0.987
   67         |      99.527      |      97.446  |      0.979
   68         |      99.527      |      98.272  |      0.987
   69         |      99.527      |      97.529  |      0.980
   70         |      99.527      |      97.748  |      0.982
   71         |      99.527      |      97.546  |      0.980
   72         |      99.527      |      97.739  |      0.982
   73         |      99.527      |      97.484  |      0.979
   74         |      99.527      |      98.207  |      0.987
   75         |      99.527      |      97.605  |      0.981
   76         |      99.527      |      97.916  |      0.984
   77         |      99.527      |      97.899  |      0.984
   78         |      99.527      |      98.269  |      0.987
   79         |      99.527      |      98.273  |      0.987
   80         |      99.527      |      97.505  |      0.980
   81         |      99.527      |      97.531  |      0.980
   82         |      99.527      |      97.972  |      0.984
   83         |      99.527      |      97.961  |      0.984
   84         |      99.527      |      97.806  |      0.983
   85         |      99.527      |      98.152  |      0.986
   86         |      99.527      |      98.036  |      0.985
   87         |      99.527      |      97.659  |      0.981
   88         |      99.527      |      97.605  |      0.981
   89         |      99.527      |      98.354  |      0.988
   90         |      99.527      |      97.998  |      0.985
   91         |      99.527      |      98.279  |      0.987
   92         |      99.527      |      97.761  |      0.982
   93         |      99.527      |      97.658  |      0.981
   94         |      99.527      |      97.577  |      0.980
   95         |      99.527      |      98.023  |      0.985
   96         |      99.527      |      96.318  |      0.968
   97         |      99.527      |      97.325  |      0.978
   98         |      99.527      |      96.237  |      0.967
   99         |      99.527      |      96.586  |      0.970
  100         |      99.527      |      96.667  |      0.971
  101         |      99.527      |      96.218  |      0.967
  102         |      99.527      |      96.863  |      0.973
  103         |      99.527      |      96.918  |      0.974
  104         |      99.527      |      97.346  |      0.978
  105         |      99.527      |      96.240  |      0.967
  106         |      99.527      |      97.960  |      0.984
  107         |      99.527      |      96.604  |      0.971
