 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        32751.028    30639.959
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3179417E+01   19.88             3.15      21.03        0.99         20.71     18.11     720.00
stp                 0.2330217E+01   14.57             2.15      14.39        0.92         16.91     13.36     720.00
dyn_spg             0.1400213E+01    8.76             1.39       9.27        0.99          9.86      8.03     720.00
trc_stp             0.1397095E+01    8.74             1.25       8.36        0.90         16.31      4.57     720.00
tra_adv             0.1179918E+01    7.38             1.17       7.85        1.00          7.94      6.28     720.00
trc_nxt             0.1018415E+01    6.37             1.01       6.78        1.00          8.54      2.37     720.00
zdf_phy             0.8142153E+00    5.09             0.78       5.21        0.96          5.53      4.36     720.00
trc_ldf             0.5540166E+00    3.46             0.55       3.71        1.00          4.26      2.91     720.00
ldf_slp             0.5519507E+00    3.45             0.55       3.67        1.00          4.24      2.42     720.00
tra_nxt             0.4844256E+00    3.03             0.48       3.23        1.00          3.87      1.41     720.00
dia_wri             0.4604235E+00    2.88             0.10       0.65        0.21          3.33      1.21     720.00
p2z_opt             0.3194272E+00    2.00             0.32       2.12        0.99          2.25      1.80     720.00
trc_init            0.2729689E+00    1.71             0.06       0.41        0.22          1.71      1.71       1.00
sbc                 0.2261489E+00    1.41             0.23       1.51        1.00          1.72      0.97     720.00
dyn_nxt             0.2218134E+00    1.39             0.22       1.48        1.00          2.44      0.80     720.00
tra_ldf             0.2029864E+00    1.27             0.20       1.36        1.00          1.54      1.06     720.00
div_hor             0.1952173E+00    1.22             0.20       1.32        1.01          1.59      0.85    1441.00
rab_3d              0.1542143E+00    0.96             0.16       1.04        1.01          1.08      0.86    1440.00
ssh_nxt             0.1409442E+00    0.88             0.14       0.94        1.00          1.28      0.49     720.00
trc_sbc             0.1368131E+00    0.86             0.14       0.91        1.00          1.96      0.49     720.00
p2z_exp             0.1308226E+00    0.82             0.13       0.87        1.00          2.97      0.18     720.00
day                 0.1232859E+00    0.77             0.00       0.02        0.02          1.05      0.49     720.00
nemo_init           0.1077619E+00    0.67             0.06       0.42        0.59          0.74      0.60       1.00
trc_zdf             0.8352736E-01    0.52             0.08       0.57        1.01          0.62      0.46     720.00
tra_qsr             0.7479018E-01    0.47             0.08       0.51        1.02          0.60      0.39     720.00
eos-insitu          0.6457722E-01    0.40             0.07       0.44        1.01          0.47      0.35     720.00
dyn_zdf             0.6341381E-01    0.40             0.06       0.43        1.01          0.48      0.33     720.00
eos-pot             0.5959410E-01    0.37             0.06       0.40        1.01          0.44      0.33     720.00
dyn_ldf             0.5137653E-01    0.32             0.05       0.35        1.01          0.39      0.24     720.00
p2z_bio             0.4286526E-01    0.27             0.04       0.29        1.02          0.33      0.23     720.00
tra_zdf             0.4204226E-01    0.26             0.04       0.29        1.03          0.33      0.22     720.00
wzv                 0.4013455E-01    0.25             0.04       0.28        1.05          0.43      0.12    1440.00
bn2                 0.3631416E-01    0.23             0.04       0.26        1.06          0.29      0.18    1440.00
trc_trp             0.3279718E-01    0.21             0.03       0.17        0.79          0.30      0.17     720.00
dyn_keg             0.1983005E-01    0.12             0.02       0.14        1.05          0.16      0.07     720.00
dyn_zad             0.1900918E-01    0.12             0.02       0.13        1.06          0.16      0.08     720.00
dyn_vor             0.1826491E-01    0.11             0.02       0.13        1.06          0.14      0.09     720.00
p2z_sms             0.1786231E-01    0.11             0.01       0.09        0.75          0.27      0.08     720.00
dyn_hpg             0.9572343E-02    0.06             0.01       0.07        1.12          0.09      0.04     720.00
dyn_adv             0.8002932E-02    0.05             0.01       0.04        0.83          0.07      0.04     720.00
p2z_sed             0.5083026E-02    0.03             0.01       0.04        1.23          0.04      0.01     720.00
tra_sbc             0.3828305E-02    0.02             0.01       0.03        1.33          0.04      0.00     720.00
trc_sms             0.2170073E-02    0.01             0.00       0.01        1.00          0.02      0.01     720.00
dom_hgr             0.3916234E-04    0.00             0.00       0.00        0.54          0.00      0.00       1.00
ssh_swp            -0.8606012E-03   -0.01             0.00       0.00       -0.45          0.00     -0.03     720.00
dia_ar5            -0.1331591E-02   -0.01            -0.00      -0.00        0.07          0.00     -0.03     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      15.986      |      12.963  |      0.811
    1         |      15.992      |      14.972  |      0.936
    2         |      15.992      |      15.144  |      0.947
    3         |      15.992      |      15.043  |      0.941
    4         |      15.992      |      14.925  |      0.933
    5         |      15.992      |      15.104  |      0.944
    6         |      15.992      |      15.138  |      0.947
    7         |      15.992      |      15.035  |      0.940
    8         |      15.992      |      14.966  |      0.936
    9         |      15.992      |      15.086  |      0.943
   10         |      15.992      |      15.045  |      0.941
   11         |      15.992      |      14.959  |      0.935
   12         |      15.992      |      14.927  |      0.933
   13         |      15.992      |      15.016  |      0.939
   14         |      15.992      |      14.924  |      0.933
   15         |      15.992      |      15.049  |      0.941
   16         |      15.992      |      14.997  |      0.938
   17         |      15.992      |      14.951  |      0.935
   18         |      15.992      |      14.941  |      0.934
   19         |      15.992      |      15.062  |      0.942
   20         |      15.992      |      14.925  |      0.933
   21         |      15.992      |      15.047  |      0.941
   22         |      15.992      |      14.927  |      0.933
   23         |      15.992      |      14.901  |      0.932
   24         |      15.992      |      15.021  |      0.939
   25         |      15.992      |      14.936  |      0.934
   26         |      15.992      |      14.994  |      0.938
   27         |      15.992      |      14.935  |      0.934
   28         |      15.992      |      14.862  |      0.929
   29         |      15.992      |      14.937  |      0.934
   30         |      15.992      |      14.981  |      0.937
   31         |      15.992      |      14.920  |      0.933
   32         |      15.992      |      15.039  |      0.940
   33         |      15.992      |      15.117  |      0.945
   34         |      15.992      |      15.046  |      0.941
   35         |      15.992      |      15.031  |      0.940
   36         |      15.992      |      15.134  |      0.946
   37         |      15.992      |      14.989  |      0.937
   38         |      15.992      |      15.002  |      0.938
   39         |      15.992      |      15.025  |      0.940
   40         |      15.992      |      14.911  |      0.932
   41         |      15.992      |      15.157  |      0.948
   42         |      15.992      |      15.081  |      0.943
   43         |      15.992      |      15.080  |      0.943
   44         |      15.992      |      14.963  |      0.936
   45         |      15.992      |      15.026  |      0.940
   46         |      15.992      |      15.046  |      0.941
   47         |      15.992      |      15.063  |      0.942
   48         |      15.992      |      14.963  |      0.936
   49         |      15.992      |      15.010  |      0.939
   50         |      15.992      |      14.989  |      0.937
   51         |      15.992      |      15.151  |      0.947
   52         |      15.992      |      15.106  |      0.945
   53         |      15.992      |      15.033  |      0.940
   54         |      15.992      |      14.970  |      0.936
   55         |      15.992      |      14.990  |      0.937
   56         |      15.992      |      14.990  |      0.937
   57         |      15.992      |      15.023  |      0.939
   58         |      15.992      |      15.069  |      0.942
   59         |      15.992      |      15.087  |      0.943
   60         |      15.992      |      15.126  |      0.946
   61         |      15.992      |      15.050  |      0.941
   62         |      15.992      |      15.070  |      0.942
   63         |      15.992      |      15.020  |      0.939
   64         |      15.991      |      14.985  |      0.937
   65         |      15.992      |      14.935  |      0.934
   66         |      15.991      |      14.911  |      0.932
   67         |      15.992      |      15.073  |      0.943
   68         |      15.992      |      14.969  |      0.936
   69         |      15.991      |      15.153  |      0.948
   70         |      15.991      |      14.934  |      0.934
   71         |      15.992      |      14.986  |      0.937
   72         |      15.992      |      15.049  |      0.941
   73         |      15.991      |      15.051  |      0.941
   74         |      15.992      |      14.999  |      0.938
   75         |      15.992      |      14.955  |      0.935
   76         |      15.992      |      14.938  |      0.934
   77         |      15.992      |      14.966  |      0.936
   78         |      15.992      |      14.996  |      0.938
   79         |      15.992      |      14.974  |      0.936
   80         |      15.992      |      14.886  |      0.931
   81         |      15.992      |      14.899  |      0.932
   82         |      15.991      |      15.006  |      0.938
   83         |      15.992      |      14.900  |      0.932
   84         |      15.992      |      15.141  |      0.947
   85         |      15.992      |      15.110  |      0.945
   86         |      15.992      |      14.872  |      0.930
   87         |      15.991      |      15.116  |      0.945
   88         |      15.992      |      14.910  |      0.932
   89         |      15.992      |      15.087  |      0.943
   90         |      15.991      |      15.017  |      0.939
   91         |      15.991      |      14.996  |      0.938
   92         |      15.992      |      14.977  |      0.937
   93         |      15.991      |      14.917  |      0.933
   94         |      15.991      |      15.122  |      0.946
   95         |      15.991      |      14.913  |      0.933
   96         |      15.992      |      15.050  |      0.941
   97         |      15.992      |      15.000  |      0.938
   98         |      15.992      |      15.024  |      0.939
   99         |      15.992      |      14.997  |      0.938
  100         |      15.992      |      14.951  |      0.935
  101         |      15.992      |      15.025  |      0.940
  102         |      15.992      |      15.006  |      0.938
  103         |      15.992      |      15.048  |      0.941
  104         |      15.992      |      15.044  |      0.941
  105         |      15.992      |      15.002  |      0.938
  106         |      15.992      |      14.984  |      0.937
  107         |      15.992      |      15.024  |      0.939
