 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        13291.085    12150.492
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_stp             0.9623224E+01   18.54             7.19      15.15        0.75         20.27     17.38     720.00
trc_adv             0.7962500E+01   15.34             7.94      16.72        1.00         15.74     15.04     720.00
stp                 0.6691468E+01   12.89             5.31      11.19        0.79         13.54     12.37     720.00
trc_ldf             0.4265093E+01    8.22             4.26       8.98        1.00          8.67      7.93     720.00
tra_adv             0.2968232E+01    5.72             2.96       6.23        1.00          6.11      5.24     720.00
dyn_spg             0.2026157E+01    3.90             2.01       4.24        0.99          4.89      3.41     720.00
zdf_phy             0.2018377E+01    3.89             2.01       4.24        1.00          4.33      3.54     720.00
p2z_opt             0.1804174E+01    3.48             1.80       3.79        1.00          3.71      3.35     720.00
tra_ldf             0.1666491E+01    3.21             1.67       3.51        1.00          3.34      3.12     720.00
trc_nxt             0.1610513E+01    3.10             1.60       3.38        1.00          3.89      2.16     720.00
ldf_slp             0.1479702E+01    2.85             1.48       3.11        1.00          3.37      2.43     720.00
dia_wri             0.9380135E+00    1.81             0.49       1.03        0.52          3.44      1.21     720.00
trc_zdf             0.9114641E+00    1.76             0.91       1.92        1.00          2.31      1.61     720.00
rab_3d              0.8424933E+00    1.62             0.84       1.77        1.00          1.76      1.52    1440.00
trc_sbc             0.6817801E+00    1.31             0.68       1.43        1.00          2.73      0.24     720.00
dyn_nxt             0.6264616E+00    1.21             0.63       1.32        1.00          1.38      1.11     720.00
dyn_zdf             0.6060033E+00    1.17             0.61       1.28        1.00          1.26      1.08     720.00
p2z_exp             0.5224689E+00    1.01             0.52       1.10        1.00          2.60      0.18     720.00
tra_nxt             0.4379852E+00    0.84             0.44       0.92        1.00          1.08      0.65     720.00
tra_zdf             0.4168774E+00    0.80             0.42       0.88        1.00          0.88      0.77     720.00
tra_qsr             0.4065952E+00    0.78             0.41       0.86        1.00          0.87      0.74     720.00
div_hor             0.4047168E+00    0.78             0.41       0.86        1.00          1.33      0.65    1441.00
p2z_bio             0.3702884E+00    0.71             0.37       0.78        1.00          0.78      0.65     720.00
eos-insitu          0.3593674E+00    0.69             0.36       0.76        1.00          0.78      0.63     720.00
dyn_ldf             0.3507756E+00    0.68             0.35       0.74        1.00          0.72      0.65     720.00
eos-pot             0.3503034E+00    0.67             0.35       0.74        1.00          0.73      0.63     720.00
ssh_nxt             0.2476516E+00    0.48             0.25       0.52        1.00          1.04      0.36     720.00
bn2                 0.2443578E+00    0.47             0.25       0.52        1.00          0.56      0.39    1440.00
sbc                 0.2334349E+00    0.45             0.23       0.49        1.00          0.50      0.28     720.00
wzv                 0.2026860E+00    0.39             0.20       0.43        1.01          0.42      0.35    1440.00
nemo_init           0.1809414E+00    0.35             0.12       0.26        0.68          0.36      0.34       1.00
dyn_zad             0.1679859E+00    0.32             0.17       0.35        1.00          0.35      0.31     720.00
dyn_keg             0.1617589E+00    0.31             0.16       0.34        1.00          0.33      0.30     720.00
trc_trp             0.1277923E+00    0.25             0.12       0.25        0.92          0.32      0.19     720.00
dyn_vor             0.1262785E+00    0.24             0.13       0.27        1.00          0.27      0.23     720.00
dyn_hpg             0.8305136E-01    0.16             0.08       0.18        1.01          0.18      0.15     720.00
trc_init            0.8056141E-01    0.16             0.04       0.08        0.45          0.16      0.16       1.00
day                 0.4041701E-01    0.08             0.00       0.01        0.08          0.11      0.04     720.00
p2z_sms             0.3918443E-01    0.08             0.03       0.07        0.87          0.09      0.07     720.00
p2z_sed             0.3389231E-01    0.07             0.04       0.07        1.04          0.08      0.06     720.00
dyn_adv             0.2480161E-01    0.05             0.02       0.05        0.93          0.05      0.04     720.00
tra_sbc             0.1088480E-01    0.02             0.01       0.03        1.13          0.02      0.02     720.00
trc_sms             0.2673102E-02    0.01             0.00       0.01        1.10          0.01      0.00     720.00
ssh_swp             0.6496636E-03    0.00             0.00       0.00        2.96          0.00     -0.00     720.00
dom_hgr             0.6329877E-04    0.00             0.00       0.00        0.76          0.00      0.00       1.00
dia_ar5            -0.1319543E-02   -0.00            -0.00      -0.00        0.02          0.00     -0.01     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      51.911      |      49.184  |      0.947
    1         |      51.918      |      50.620  |      0.975
    2         |      51.918      |      45.655  |      0.879
    3         |      51.918      |      45.668  |      0.880
    4         |      51.918      |      45.553  |      0.877
    5         |      51.918      |      44.629  |      0.860
    6         |      51.919      |      44.853  |      0.864
    7         |      51.918      |      50.636  |      0.975
    8         |      51.919      |      44.716  |      0.861
    9         |      51.919      |      44.617  |      0.859
   10         |      51.918      |      50.796  |      0.978
   11         |      51.919      |      45.617  |      0.879
   12         |      51.918      |      50.403  |      0.971
   13         |      51.919      |      50.679  |      0.976
   14         |      51.918      |      44.909  |      0.865
   15         |      51.918      |      50.001  |      0.963
   16         |      51.918      |      45.531  |      0.877
   17         |      51.918      |      50.676  |      0.976
   18         |      51.919      |      50.041  |      0.964
   19         |      51.919      |      45.669  |      0.880
   20         |      51.918      |      50.736  |      0.977
   21         |      51.918      |      45.580  |      0.878
   22         |      51.918      |      50.870  |      0.980
   23         |      51.918      |      45.667  |      0.880
   24         |      51.919      |      50.748  |      0.977
   25         |      51.918      |      44.962  |      0.866
   26         |      51.919      |      49.917  |      0.961
   27         |      51.918      |      50.887  |      0.980
   28         |      51.918      |      50.849  |      0.979
   29         |      51.918      |      49.981  |      0.963
   30         |      51.918      |      49.851  |      0.960
   31         |      51.918      |      45.700  |      0.880
   32         |      51.919      |      50.697  |      0.976
   33         |      51.918      |      50.728  |      0.977
   34         |      51.918      |      50.629  |      0.975
   35         |      51.918      |      50.723  |      0.977
   36         |      51.918      |      50.689  |      0.976
   37         |      51.918      |      45.675  |      0.880
   38         |      51.918      |      45.658  |      0.879
   39         |      51.918      |      45.679  |      0.880
   40         |      51.918      |      45.674  |      0.880
   41         |      51.918      |      50.655  |      0.976
   42         |      51.918      |      45.625  |      0.879
   43         |      51.918      |      45.681  |      0.880
   44         |      51.918      |      45.664  |      0.880
   45         |      51.918      |      50.675  |      0.976
   46         |      51.918      |      50.715  |      0.977
   47         |      51.918      |      50.667  |      0.976
   48         |      51.918      |      50.716  |      0.977
   49         |      51.918      |      50.685  |      0.976
   50         |      51.918      |      50.699  |      0.977
   51         |      51.918      |      45.570  |      0.878
   52         |      51.918      |      50.729  |      0.977
   53         |      51.919      |      50.685  |      0.976
   54         |      51.918      |      50.621  |      0.975
   55         |      51.918      |      50.731  |      0.977
   56         |      51.918      |      50.712  |      0.977
   57         |      51.918      |      45.626  |      0.879
   58         |      51.918      |      50.721  |      0.977
   59         |      51.918      |      50.746  |      0.977
   60         |      51.919      |      45.659  |      0.879
   61         |      51.918      |      50.748  |      0.977
   62         |      51.918      |      45.636  |      0.879
   63         |      51.918      |      50.733  |      0.977
   64         |      51.918      |      43.136  |      0.831
   65         |      51.918      |      43.269  |      0.833
   66         |      51.918      |      47.526  |      0.915
   67         |      51.919      |      46.956  |      0.904
   68         |      51.918      |      42.727  |      0.823
   69         |      51.918      |      43.306  |      0.834
   70         |      51.918      |      47.085  |      0.907
   71         |      51.918      |      42.768  |      0.824
   72         |      51.918      |      44.813  |      0.863
   73         |      51.918      |      47.563  |      0.916
   74         |      51.918      |      47.723  |      0.919
   75         |      51.919      |      44.192  |      0.851
   76         |      51.918      |      44.696  |      0.861
   77         |      51.919      |      47.589  |      0.917
   78         |      51.918      |      43.087  |      0.830
   79         |      51.918      |      43.331  |      0.835
   80         |      51.918      |      47.529  |      0.915
   81         |      51.918      |      43.273  |      0.833
   82         |      51.918      |      47.557  |      0.916
   83         |      51.918      |      47.468  |      0.914
   84         |      51.918      |      43.292  |      0.834
   85         |      51.918      |      47.509  |      0.915
   86         |      51.918      |      42.770  |      0.824
   87         |      51.919      |      42.818  |      0.825
   88         |      51.918      |      43.140  |      0.831
   89         |      51.918      |      47.551  |      0.916
   90         |      51.918      |      43.168  |      0.831
   91         |      51.919      |      45.557  |      0.877
   92         |      51.918      |      49.822  |      0.960
   93         |      51.918      |      47.053  |      0.906
   94         |      51.918      |      43.061  |      0.829
   95         |      51.918      |      46.999  |      0.905
   96         |      51.918      |      42.734  |      0.823
   97         |      51.919      |      42.534  |      0.819
   98         |      51.918      |      42.753  |      0.823
   99         |      51.918      |      42.054  |      0.810
  100         |      51.918      |      42.685  |      0.822
  101         |      51.918      |      47.139  |      0.908
  102         |      51.918      |      42.068  |      0.810
  103         |      51.918      |      42.692  |      0.822
  104         |      51.918      |      42.956  |      0.827
  105         |      51.919      |      47.258  |      0.910
  106         |      51.919      |      47.324  |      0.911
  107         |      51.919      |      46.634  |      0.898
