 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        75025.408    66846.760
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.3635303E+01   19.85             3.60      22.06        0.99         20.62     18.84     720.00
stp                 0.3271131E+01   17.86             2.96      18.11        0.90         20.00     16.69     720.00
dyn_spg             0.2072155E+01   11.31             2.05      12.57        0.99         12.28     10.73     720.00
trc_stp             0.1337925E+01    7.30             1.06       6.49        0.79         13.22      4.45     720.00
trc_nxt             0.1303897E+01    7.12             1.30       7.95        1.00          8.70      2.83     720.00
tra_adv             0.1226153E+01    6.69             1.22       7.48        1.00          7.11      5.68     720.00
dia_wri             0.8706321E+00    4.75             0.07       0.43        0.08          5.45      2.29     720.00
zdf_phy             0.7354863E+00    4.02             0.70       4.28        0.95          4.40      3.56     720.00
trc_init            0.5759300E+00    3.14             0.12       0.71        0.20          3.14      3.14       1.00
ldf_slp             0.5330065E+00    2.91             0.53       3.25        1.00          3.55      1.98     720.00
tra_nxt             0.5284977E+00    2.89             0.53       3.22        1.00          3.68      1.14     720.00
trc_ldf             0.2887828E+00    1.58             0.29       1.78        1.00          1.87      1.14     720.00
sbc                 0.2752488E+00    1.50             0.28       1.69        1.00          2.10      0.91     720.00
day                 0.2593926E+00    1.42             0.00       0.02        0.01          1.98      0.85     720.00
p2z_exp             0.2310237E+00    1.26             0.23       1.41        1.00          4.06      0.22     720.00
div_hor             0.2264974E+00    1.24             0.23       1.39        1.01          1.90      0.86    1441.00
dyn_nxt             0.2054059E+00    1.12             0.21       1.26        1.00          2.20      0.55     720.00
p2z_opt             0.1927947E+00    1.05             0.19       1.18        1.00          1.18      0.86     720.00
trc_sbc             0.1719903E+00    0.94             0.17       1.05        1.00          1.60      0.58     720.00
ssh_nxt             0.1437844E+00    0.78             0.14       0.88        1.00          1.43      0.46     720.00
nemo_init           0.1120525E+00    0.61             0.07       0.42        0.61          0.67      0.54       1.00
tra_ldf             0.1035133E+00    0.57             0.10       0.64        1.01          0.69      0.40     720.00
rab_3d              0.9183171E-01    0.50             0.09       0.57        1.02          0.56      0.38    1440.00
tra_qsr             0.5779150E-01    0.32             0.06       0.36        1.02          0.37      0.24     720.00
trc_zdf             0.4075970E-01    0.22             0.04       0.26        1.03          0.26      0.16     720.00
eos-insitu          0.3845906E-01    0.21             0.04       0.24        1.02          0.25      0.15     720.00
eos-pot             0.3531084E-01    0.19             0.04       0.22        1.03          0.23      0.14     720.00
dyn_zdf             0.3172346E-01    0.17             0.03       0.20        1.03          0.21      0.12     720.00
trc_trp             0.2804852E-01    0.15             0.02       0.13        0.77          0.26      0.12     720.00
dyn_ldf             0.2705439E-01    0.15             0.03       0.17        1.04          0.19      0.09     720.00
p2z_bio             0.2092427E-01    0.11             0.02       0.13        1.05          0.14      0.06     720.00
tra_zdf             0.2022648E-01    0.11             0.02       0.13        1.06          0.14      0.07     720.00
bn2                 0.1990096E-01    0.11             0.02       0.14        1.12          0.14      0.04    1440.00
p2z_sms             0.1625242E-01    0.09             0.01       0.07        0.73          0.22      0.06     720.00
wzv                 0.1360603E-01    0.07             0.02       0.10        1.17          0.19      0.01    1440.00
dyn_keg             0.9591057E-02    0.05             0.01       0.07        1.12          0.07      0.01     720.00
dyn_vor             0.9439908E-02    0.05             0.01       0.06        1.12          0.07      0.02     720.00
dyn_zad             0.8976940E-02    0.05             0.01       0.06        1.13          0.07      0.02     720.00
dyn_adv             0.6939885E-02    0.04             0.01       0.03        0.81          0.06      0.03     720.00
dyn_hpg             0.4332388E-02    0.02             0.01       0.03        1.28          0.04     -0.01     720.00
tra_sbc             0.3072006E-02    0.02             0.00       0.03        1.41          0.03     -0.01     720.00
p2z_sed             0.2570201E-02    0.01             0.00       0.02        1.47          0.02     -0.01     720.00
trc_sms             0.2099333E-02    0.01             0.00       0.01        1.00          0.01      0.01     720.00
dom_hgr             0.3884770E-04    0.00             0.00       0.00        0.52          0.00      0.00       1.00
ssh_swp            -0.1047344E-02   -0.01             0.00       0.00       -0.19          0.00     -0.03     720.00
dia_ar5            -0.1304323E-02   -0.01            -0.00      -0.00        0.05          0.00     -0.03     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      18.313      |      13.376  |      0.730
    1         |      18.317      |      16.303  |      0.890
    2         |      18.317      |      16.249  |      0.887
    3         |      18.317      |      16.093  |      0.879
    4         |      18.317      |      16.430  |      0.897
    5         |      18.317      |      16.091  |      0.878
    6         |      18.317      |      16.248  |      0.887
    7         |      18.317      |      16.222  |      0.886
    8         |      18.317      |      16.204  |      0.885
    9         |      18.317      |      16.166  |      0.883
   10         |      18.317      |      16.239  |      0.887
   11         |      18.317      |      16.368  |      0.894
   12         |      18.317      |      16.146  |      0.881
   13         |      18.317      |      16.440  |      0.898
   14         |      18.317      |      16.234  |      0.886
   15         |      18.317      |      16.462  |      0.899
   16         |      18.317      |      16.252  |      0.887
   17         |      18.317      |      16.352  |      0.893
   18         |      18.317      |      16.269  |      0.888
   19         |      18.317      |      16.186  |      0.884
   20         |      18.317      |      16.194  |      0.884
   21         |      18.317      |      16.546  |      0.903
   22         |      18.317      |      16.060  |      0.877
   23         |      18.317      |      16.181  |      0.883
   24         |      18.317      |      16.146  |      0.881
   25         |      18.317      |      15.993  |      0.873
   26         |      18.317      |      16.329  |      0.891
   27         |      18.317      |      16.139  |      0.881
   28         |      18.317      |      16.219  |      0.885
   29         |      18.317      |      16.278  |      0.889
   30         |      18.317      |      16.423  |      0.897
   31         |      18.317      |      16.152  |      0.882
   32         |      18.317      |      16.294  |      0.890
   33         |      18.317      |      16.309  |      0.890
   34         |      18.317      |      16.150  |      0.882
   35         |      18.317      |      16.390  |      0.895
   36         |      18.317      |      16.360  |      0.893
   37         |      18.317      |      16.341  |      0.892
   38         |      18.317      |      16.342  |      0.892
   39         |      18.317      |      16.252  |      0.887
   40         |      18.317      |      16.408  |      0.896
   41         |      18.317      |      16.320  |      0.891
   42         |      18.317      |      16.256  |      0.888
   43         |      18.317      |      16.368  |      0.894
   44         |      18.317      |      16.119  |      0.880
   45         |      18.317      |      16.567  |      0.904
   46         |      18.317      |      16.282  |      0.889
   47         |      18.317      |      16.357  |      0.893
   48         |      18.317      |      16.213  |      0.885
   49         |      18.317      |      16.381  |      0.894
   50         |      18.317      |      16.386  |      0.895
   51         |      18.317      |      16.387  |      0.895
   52         |      18.317      |      16.337  |      0.892
   53         |      18.317      |      16.433  |      0.897
   54         |      18.317      |      16.364  |      0.893
   55         |      18.317      |      16.465  |      0.899
   56         |      18.317      |      16.337  |      0.892
   57         |      18.317      |      16.478  |      0.900
   58         |      18.317      |      16.311  |      0.891
   59         |      18.317      |      16.317  |      0.891
   60         |      18.317      |      16.549  |      0.903
   61         |      18.317      |      16.373  |      0.894
   62         |      18.317      |      16.359  |      0.893
   63         |      18.317      |      16.629  |      0.908
   64         |      18.317      |      16.462  |      0.899
   65         |      18.317      |      16.405  |      0.896
   66         |      18.317      |      16.509  |      0.901
   67         |      18.317      |      16.285  |      0.889
   68         |      18.317      |      16.439  |      0.897
   69         |      18.317      |      16.450  |      0.898
   70         |      18.317      |      16.431  |      0.897
   71         |      18.317      |      16.525  |      0.902
   72         |      18.317      |      16.605  |      0.907
   73         |      18.317      |      16.434  |      0.897
   74         |      18.317      |      16.508  |      0.901
   75         |      18.317      |      16.512  |      0.901
   76         |      18.317      |      16.642  |      0.909
   77         |      18.317      |      16.625  |      0.908
   78         |      18.317      |      16.481  |      0.900
   79         |      18.317      |      16.468  |      0.899
   80         |      18.317      |      16.394  |      0.895
   81         |      18.317      |      16.510  |      0.901
   82         |      18.317      |      16.458  |      0.899
   83         |      18.317      |      16.365  |      0.893
   84         |      18.317      |      16.208  |      0.885
   85         |      18.317      |      16.315  |      0.891
   86         |      18.317      |      16.429  |      0.897
   87         |      18.317      |      16.598  |      0.906
   88         |      18.317      |      16.420  |      0.896
   89         |      18.317      |      16.603  |      0.906
   90         |      18.317      |      16.432  |      0.897
   91         |      18.317      |      16.481  |      0.900
   92         |      18.317      |      16.553  |      0.904
   93         |      18.317      |      16.397  |      0.895
   94         |      18.317      |      16.328  |      0.891
   95         |      18.317      |      16.366  |      0.894
   96         |      18.317      |      16.428  |      0.897
   97         |      18.317      |      16.457  |      0.898
   98         |      18.317      |      16.440  |      0.898
   99         |      18.317      |      16.320  |      0.891
  100         |      18.317      |      16.540  |      0.903
  101         |      18.317      |      16.362  |      0.893
  102         |      18.317      |      16.565  |      0.904
  103         |      18.317      |      16.495  |      0.901
  104         |      18.317      |      16.730  |      0.913
  105         |      18.317      |      16.401  |      0.895
  106         |      18.317      |      16.468  |      0.899
  107         |      18.317      |      16.491  |      0.900
  108         |      18.317      |      16.480  |      0.900
