 
       CNRS - NERC - Met OFFICE - MERCATOR-ocean - CMCC - INGV
                              NEMO team
                   Ocean General Circulation Model
                         version 4.0  (2018) 
 
                         Timing Informations 
 
 
 Total timing (sum) :
 --------------------
Elapsed Time (s)  CPU Time (s)
        13124.097    12791.217
 
Averaged timing on all processors :
-----------------------------------
Section             Elap. Time(s)  Elap. Time(%)  CPU Time(s)  CPU Time(%)  CPU/Elap Max elap(%)  Min elap(%)  Freq
trc_adv             0.4646847E+01   18.13             4.62      18.50        0.99         18.67     17.26     720.00
stp                 0.2411036E+01    9.41             2.28       9.14        0.95         10.75      8.62     720.00
dyn_spg             0.2284370E+01    8.91             2.26       9.06        0.99          9.81      8.40     720.00
trc_ldf             0.2013369E+01    7.85             2.01       8.06        1.00          8.86      7.49     720.00
tra_adv             0.1923868E+01    7.51             1.91       7.66        1.00          7.82      6.79     720.00
trc_stp             0.1831458E+01    7.14             1.75       7.02        0.96          9.97      4.54     720.00
zdf_phy             0.1286985E+01    5.02             1.28       5.13        1.00          5.39      4.40     720.00
trc_nxt             0.1088981E+01    4.25             1.09       4.34        1.00          5.75      2.83     720.00
ldf_slp             0.1018784E+01    3.97             1.01       4.04        0.99          4.69      3.12     720.00
p2z_opt             0.1000496E+01    3.90             1.00       3.99        1.00          4.16      3.85     720.00
tra_ldf             0.7771786E+00    3.03             0.77       3.10        1.00          3.33      2.87     720.00
rab_3d              0.4864146E+00    1.90             0.49       1.95        1.00          1.97      1.79    1440.00
trc_zdf             0.4705704E+00    1.84             0.47       1.89        1.00          2.30      1.72     720.00
dia_wri             0.4530911E+00    1.77             0.25       1.00        0.55          2.05      1.30     720.00
tra_nxt             0.4193966E+00    1.64             0.42       1.68        1.00          2.26      1.13     720.00
dyn_nxt             0.3715859E+00    1.45             0.37       1.49        1.00          2.22      1.19     720.00
div_hor             0.2741819E+00    1.07             0.28       1.10        1.00          1.41      0.86    1441.00
dyn_zdf             0.2516207E+00    0.98             0.25       1.01        1.00          1.04      0.88     720.00
tra_qsr             0.2339260E+00    0.91             0.24       0.94        1.00          1.08      0.83     720.00
nemo_init           0.2241742E+00    0.87             0.13       0.53        0.59          0.91      0.82       1.00
eos-insitu          0.2107421E+00    0.82             0.21       0.84        1.00          0.87      0.75     720.00
tra_zdf             0.2030602E+00    0.79             0.20       0.82        1.00          0.88      0.76     720.00
eos-pot             0.2021270E+00    0.79             0.20       0.81        1.00          0.83      0.73     720.00
sbc                 0.1815087E+00    0.71             0.18       0.73        1.00          0.82      0.51     720.00
ssh_nxt             0.1811567E+00    0.71             0.18       0.72        1.00          1.06      0.52     720.00
dyn_ldf             0.1799726E+00    0.70             0.18       0.72        1.00          0.76      0.68     720.00
p2z_bio             0.1771444E+00    0.69             0.18       0.71        1.00          0.75      0.65     720.00
trc_sbc             0.1768772E+00    0.69             0.18       0.71        1.00          1.09      0.51     720.00
p2z_exp             0.1387703E+00    0.54             0.14       0.56        1.01          1.00      0.23     720.00
bn2                 0.1358135E+00    0.53             0.14       0.55        1.01          0.58      0.44    1440.00
wzv                 0.1193938E+00    0.47             0.12       0.48        1.01          0.58      0.42    1440.00
trc_init            0.1033649E+00    0.40             0.04       0.14        0.35          0.40      0.40       1.00
dyn_zad             0.8384376E-01    0.33             0.08       0.34        1.01          0.37      0.31     720.00
dyn_keg             0.7701150E-01    0.30             0.08       0.31        1.01          0.37      0.27     720.00
trc_trp             0.6960565E-01    0.27             0.06       0.24        0.88          0.36      0.23     720.00
dyn_vor             0.6761424E-01    0.26             0.07       0.27        1.01          0.28      0.25     720.00
day                 0.5240507E-01    0.20             0.00       0.01        0.06          0.29      0.12     720.00
dyn_hpg             0.4822621E-01    0.19             0.05       0.20        1.02          0.21      0.17     720.00
p2z_sms             0.2642647E-01    0.10             0.02       0.09        0.82          0.13      0.09     720.00
p2z_sed             0.1835588E-01    0.07             0.02       0.08        1.07          0.08      0.06     720.00
dyn_adv             0.1523886E-01    0.06             0.01       0.05        0.90          0.07      0.05     720.00
tra_sbc             0.8033373E-02    0.03             0.01       0.04        1.16          0.04      0.02     720.00
trc_sms             0.2434711E-02    0.01             0.00       0.01        1.11          0.01      0.01     720.00
dom_hgr             0.4845779E-04    0.00             0.00       0.00        0.55          0.00      0.00       1.00
ssh_swp            -0.1429609E-03   -0.00             0.00       0.00       -7.67          0.00     -0.01     720.00
dia_ar5            -0.1301970E-02   -0.01            -0.00      -0.00        0.04          0.00     -0.01     720.00
 
 MPI summary report :
 --------------------

 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
    0         |      25.627      |      23.391  |      0.913
    1         |      25.634      |      24.993  |      0.975
    2         |      25.633      |      25.029  |      0.976
    3         |      25.633      |      25.028  |      0.976
    4         |      25.634      |      25.003  |      0.975
    5         |      25.633      |      25.084  |      0.979
    6         |      25.633      |      25.012  |      0.976
    7         |      25.633      |      25.035  |      0.977
    8         |      25.633      |      25.025  |      0.976
    9         |      25.633      |      25.078  |      0.978
   10         |      25.633      |      25.059  |      0.978
   11         |      25.633      |      25.069  |      0.978
   12         |      25.633      |      25.109  |      0.980
   13         |      25.633      |      25.038  |      0.977
   14         |      25.633      |      25.037  |      0.977
   15         |      25.633      |      25.072  |      0.978
   16         |      25.633      |      25.106  |      0.979
   17         |      25.633      |      25.028  |      0.976
   18         |      25.633      |      25.131  |      0.980
   19         |      25.633      |      25.100  |      0.979
   20         |      25.633      |      25.158  |      0.981
   21         |      25.633      |      25.095  |      0.979
   22         |      25.633      |      25.110  |      0.980
   23         |      25.633      |      25.017  |      0.976
   24         |      25.633      |      25.123  |      0.980
   25         |      25.633      |      25.122  |      0.980
   26         |      25.633      |      25.033  |      0.977
   27         |      25.633      |      25.220  |      0.984
   28         |      25.633      |      25.122  |      0.980
   29         |      25.633      |      25.134  |      0.981
   30         |      25.633      |      25.091  |      0.979
   31         |      25.633      |      25.052  |      0.977
   32         |      25.633      |      24.991  |      0.975
   33         |      25.633      |      24.950  |      0.973
   34         |      25.633      |      25.017  |      0.976
   35         |      25.633      |      24.961  |      0.974
   36         |      25.633      |      24.991  |      0.975
   37         |      25.633      |      24.954  |      0.974
   38         |      25.633      |      25.087  |      0.979
   39         |      25.633      |      25.001  |      0.975
   40         |      25.633      |      25.052  |      0.977
   41         |      25.633      |      25.014  |      0.976
   42         |      25.633      |      24.989  |      0.975
   43         |      25.633      |      25.005  |      0.976
   44         |      25.633      |      25.029  |      0.976
   45         |      25.633      |      25.022  |      0.976
   46         |      25.633      |      25.045  |      0.977
   47         |      25.633      |      24.963  |      0.974
   48         |      25.633      |      25.031  |      0.977
   49         |      25.633      |      25.041  |      0.977
   50         |      25.633      |      24.998  |      0.975
   51         |      25.633      |      24.993  |      0.975
   52         |      25.633      |      25.074  |      0.978
   53         |      25.633      |      25.058  |      0.978
   54         |      25.633      |      25.000  |      0.975
   55         |      25.633      |      24.991  |      0.975
   56         |      25.633      |      25.008  |      0.976
   57         |      25.633      |      25.044  |      0.977
   58         |      25.633      |      25.032  |      0.977
   59         |      25.633      |      25.082  |      0.979
   60         |      25.633      |      25.041  |      0.977
   61         |      25.633      |      25.044  |      0.977
   62         |      25.633      |      25.194  |      0.983
   63         |      25.633      |      25.108  |      0.980
   64         |      25.633      |      24.944  |      0.973
   65         |      25.633      |      24.898  |      0.971
   66         |      25.633      |      24.963  |      0.974
   67         |      25.633      |      24.941  |      0.973
   68         |      25.633      |      24.944  |      0.973
   69         |      25.633      |      24.953  |      0.973
   70         |      25.633      |      24.972  |      0.974
   71         |      25.633      |      25.087  |      0.979
   72         |      25.633      |      25.012  |      0.976
   73         |      25.633      |      24.969  |      0.974
   74         |      25.633      |      24.957  |      0.974
   75         |      25.633      |      24.983  |      0.975
   76         |      25.633      |      25.105  |      0.979
   77         |      25.633      |      25.023  |      0.976
   78         |      25.633      |      24.992  |      0.975
   79         |      25.633      |      25.071  |      0.978
   80         |      25.633      |      25.058  |      0.978
   81         |      25.633      |      25.070  |      0.978
   82         |      25.633      |      25.032  |      0.977
   83         |      25.633      |      24.981  |      0.975
   84         |      25.633      |      24.958  |      0.974
   85         |      25.633      |      25.148  |      0.981
   86         |      25.633      |      24.960  |      0.974
   87         |      25.633      |      25.076  |      0.978
   88         |      25.633      |      25.019  |      0.976
   89         |      25.633      |      25.158  |      0.981
   90         |      25.633      |      25.015  |      0.976
   91         |      25.633      |      25.105  |      0.979
   92         |      25.633      |      24.999  |      0.975
   93         |      25.633      |      24.957  |      0.974
   94         |      25.633      |      25.005  |      0.976
   95         |      25.633      |      24.995  |      0.975
   96         |      25.633      |      25.005  |      0.975
   97         |      25.633      |      25.032  |      0.977
   98         |      25.633      |      24.920  |      0.972
   99         |      25.633      |      24.954  |      0.974
  100         |      25.633      |      25.005  |      0.976
  101         |      25.633      |      24.966  |      0.974
  102         |      25.633      |      24.867  |      0.970
  103         |      25.633      |      24.933  |      0.973
  104         |      25.633      |      25.002  |      0.975
  105         |      25.633      |      24.910  |      0.972
  106         |      25.633      |      24.897  |      0.971
  107         |      25.634      |      24.932  |      0.973
